科目,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
营业收入,1002920207.29,1470275397.69,1603742305.84,1562796827.50,1464629857.53,2310624820.92,4533125096.42,6758156802.03,7004542078.07,6160996353.35,5209563011.35,7325787819.60,8006125399.25,10692727718.69,14927919353.12,19504038734.85,15852310919.70,15559299702.82,22129944377.77,21689352666.07,24283623386.87,29573100815.61,41668819175.25,48463024922.95,42668767604.20,54450459133.32,60042935758.93
营业成本,,1242561678.99,1315569046.50,1247675924.00,1142012008.74,1979746380.20,4078653096.48,5907988124.61,5919286098.07,5593011467.38,4567217730.88,6775529001.20,7187460327.50,10075440236.04,14248724380.88,18619268721.16,14735095117.48,13351509843.09,19245998537.36,20144617077.44,21040324803.55,26333734447.01,33180332856.79,41221734934.73,35923227281.83,47244369808.60,49963451578.07
税金及附加,,1791460.29,1525131.90,1289638.35,2051307.43,2667590.49,24705948.00,24929526.24,12590876.11,8522212.17,5283048.32,8183410.12,16828132.10,16777867.57,6204740.37,7305379.60,17984290.91,59568252.69,124128944.71,153376011.30,292278784.83,278284349.46,327365596.55,361837223.93,357047685.39,384890205.06,440666129.45
销售费用,,27759393.08,33329145.19,33432688.81,26357157.30,43879255.39,78466816.54,101230918.37,113452255.20,113206696.51,125883503.32,150240952.91,173165650.89,202463574.58,302097111.61,415048932.46,433856664.12,414632016.94,412334604.87,463016303.33,538963773.61,56707823.66,68307011.26,71158295.09,45720268.33,39353490.73,34422487.83
管理费用,,50678388.93,52847491.80,63324058.27,72597172.63,91994750.12,112439516.01,160253439.66,135640986.55,271376160.40,217372828.33,254846847.71,293805194.04,264447532.14,340108345.95,476924799.06,456631887.41,627933585.42,707289334.44,1261889903.70,827127848.62,683529779.94,773517649.09,640270080.77,620869663.84,748879996.11,814492963.24
研发费用,,,,,,,,,,,,,,,,,,,,27381460.30,10281521.41,31115216.66,55244170.05,82553671.81,197997087.32,227104135.36,171210512.14
财务费用,,49010280.21,47136624.07,30513618.44,17015520.15,41740000.04,81901375.28,149787184.14,144992768.44,158533005.84,100143622.34,169774401.26,240630127.77,319699905.95,528193006.49,927734777.96,992002221.26,798639544.49,772759450.26,861606498.64,898151474.91,646816134.99,588143490.59,233064552.88,110284499.19,23060223.52,-29118803.10
利息费用,,,,,,,,830563454.45,803649929.66,,,,,346051962.00,560767331.64,924629460.86,983583145.52,830563454.45,803649929.66,911406079.25,945785611.32,672885013.35,611809618.60,274053905.29,154179149.45,114576428.40,68297303.70
利息收入,,,,,,,,34293335.54,41266508.31,,,,,20236528.08,19329112.23,22577657.48,36565280.41,34293335.54,41266508.31,43025434.29,46865036.81,35345210.83,31058243.29,40877565.67,47541063.34,94326230.77,100221438.45
投资收益,,5483864.87,30569060.76,720147.76,-3119072.83,61538941.71,7911439.52,4243785.92,-1659777.80,63324935.81,-79915081.56,15885864.95,4043867.82,13548557.90,1097868.99,69520384.10,-2685031.56,542596.80,-13143279.18,16162311.23,23626007.16,32263512.40,784317.88,121067367.56,-76889005.08,-4871572.09,91226551.12
营业利润,,109204603.69,149498187.74,187924176.12,204938730.65,182850195.91,159300668.70,430040228.55,677092539.26,29206574.09,53937460.97,-25195269.04,97004188.23,-199788046.70,-525952046.40,-1017436674.97,-918504083.45,262220372.06,812305219.43,-1790605680.94,582716055.65,1370023236.93,4721213849.34,5905050629.24,5542268193.22,5968046715.98,8650946558.70
利润总额,,114649696.27,177392836.72,180404621.87,193616019.82,222100469.03,166596430.26,435279306.53,701683076.88,36224785.44,61631677.78,59458420.55,147309092.46,47999357.07,-133801765.09,-953305261.35,-361651854.44,274664198.70,802047788.72,-1798149790.14,596545798.99,1356505192.12,4688130922.04,5906586236.29,5543529089.23,5972391464.91,8652031647.89
所得税费用,,17081546.31,27281027.69,28062066.36,29118153.68,33155456.69,25272295.45,54908170.72,112657921.60,14761675.59,-202995.30,10570667.81,27136469.87,19098431.71,-23612795.44,-182328061.15,76883729.04,66254949.14,85457778.73,-52476932.70,51339557.98,122718520.64,475795434.58,638890602.48,825031590.19,873409956.27,1304152966.62
净利润,63602442.45,97568149.96,150111809.03,152342555.51,164497866.14,188945012.34,141186262.05,380371135.81,589025155.28,21463109.85,61834673.08,48887752.74,120172622.59,28900925.36,-110188969.65,-770977200.20,-438535583.48,208409249.56,716590009.99,-1745672857.44,545206241.01,1233786671.48,4212335487.46,5267695633.81,4718497499.04,5098981508.64,7347878681.27
归属于母公司股东的净利润,63602442.45,97568149.96,150111809.03,152342555.51,164497866.14,188945012.34,141186262.05,322703169.53,496160636.40,69789595.16,46362229.63,30477878.21,96721876.43,13537557.83,16092654.61,-495935634.73,29393534.95,111129253.77,657000965.36,-1466019023.23,495225700.67,902555209.17,3319026414.54,4568388029.28,3955771178.74,4411670800.53,6054686552.59
扣非归母净利润,,,150795403.43,,169059722.28,,125580126.02,310077580.26,474729937.89,60565269.20,41264464.28,-14158936.51,63925882.04,-122869388.74,-246143478.28,-511906642.91,-370971307.33,101366302.84,628803308.12,-1493218550.13,337616941.37,770807759.16,3311596129.99,4351951413.49,3930422607.56,4258125461.66,6000259649.47
少数股东损益,,,,,,,,57667966.28,92864518.88,-48326485.31,15472443.45,18409874.53,23450746.16,15363367.53,-126281624.26,-275041565.47,-467929118.43,97279995.79,59589044.63,-279653834.21,49980540.34,331231462.31,893309072.92,699307604.53,762726320.30,687310708.11,1293192128.68
