单位:比率为百分数或倍数;金额沿用三表口径(千元人民币)。空=上游科目该年未披露
来源:**通用底**由 `scripts/derived.py` 计算(跨准则科目别名层);**定制层**为周期/资源行业特有项
⚠️ 本表 2026-09-14 补建 —— 此前本库只有三表+分部，无比率表
科目,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
—— 通用底（derived.py） ——,,,,,,,,,,,,,,,,,,,,,,,,,,,
毛利率 Gross margin,,15.49%,17.97%,20.16%,22.03%,14.32%,10.03%,12.58%,15.49%,9.22%,12.33%,7.51%,10.23%,5.77%,4.55%,4.54%,7.05%,14.19%,13.03%,7.12%,13.36%,10.95%,20.37%,14.94%,15.81%,13.23%,16.79%
净利率 Net margin,6.34%,6.64%,9.36%,9.75%,11.23%,8.18%,3.11%,5.63%,8.41%,0.35%,1.19%,0.67%,1.50%,0.27%,-0.74%,-3.95%,-2.77%,1.34%,3.24%,-8.05%,2.25%,4.17%,10.11%,10.87%,11.06%,9.36%,12.24%
销售费用率 S&D exp ratio,,1.89%,2.08%,2.14%,1.80%,1.90%,1.73%,1.50%,1.62%,1.84%,2.42%,2.05%,2.16%,1.89%,2.02%,2.13%,2.74%,2.66%,1.86%,2.13%,2.22%,0.19%,0.16%,0.15%,0.11%,0.07%,0.06%
管理/行政费用率 Admin exp ratio,,3.45%,3.30%,4.05%,4.96%,3.98%,2.48%,2.37%,1.94%,4.40%,4.17%,3.48%,3.67%,2.47%,2.28%,2.45%,2.88%,4.04%,3.20%,5.82%,3.41%,2.31%,1.86%,1.32%,1.46%,1.38%,1.36%
研发费用率 R&D exp ratio,,,,,,,,,,,,,,,,,,,,0.13%,0.04%,0.11%,0.13%,0.17%,0.46%,0.42%,0.29%
ROE(期末) Return on year-end equity,8.57%,13.64%,19.83%,10.63%,11.04%,11.34%,8.32%,15.27%,19.51%,2.02%,1.03%,0.67%,1.94%,0.27%,0.30%,-8.34%,0.44%,1.12%,6.01%,-15.91%,3.94%,6.56%,15.87%,18.07%,13.53%,13.72%,17.10%
ROE(年均) Return on avg equity,,13.39%,20.39%,13.91%,11.25%,11.97%,8.39%,16.94%,21.31%,2.33%,1.17%,0.67%,2.03%,0.27%,0.31%,-8.73%,0.47%,1.34%,6.31%,-14.55%,4.55%,6.86%,19.15%,19.78%,14.51%,14.37%,17.92%
经营现金流/净利 OCF/Net profit,2.5832,2.0335,2.4555,,0.8785,,2.8052,1.5681,1.9941,24.3758,8.5189,-4.4907,7.2555,33.0832,-21.0536,-0.6429,-7.0144,4.3652,2.8359,-0.1932,6.7569,4.0371,1.6527,1.3126,1.2442,1.3625,1.1476
Capex/净利 Capex/Net profit,,,0.7007,,3.3253,,1.1667,0.5645,0.7023,41.1414,30.5127,42.9632,23.9441,110.1185,-17.0654,-1.8155,-2.2136,6.8069,3.9255,-2.1016,6.4929,4.2848,0.3025,0.1829,0.1554,0.1291,0.0872
应收/营收 AR/Revenue,,4.13%,1.84%,0.46%,0.72%,0.53%,0.41%,0.12%,0.10%,0.14%,0.10%,0.00%,0.04%,2.55%,1.04%,1.49%,1.73%,2.16%,1.11%,1.42%,0.98%,0.55%,0.08%,1.98%,0.38%,0.63%,0.57%
存货/营收 Inventory/Revenue,,20.11%,17.71%,19.57%,30.64%,28.96%,21.62%,15.86%,13.83%,11.15%,26.70%,17.07%,14.00%,16.05%,16.63%,16.03%,14.91%,20.91%,20.18%,18.47%,13.90%,11.98%,7.30%,8.08%,9.49%,9.77%,7.85%
资产负债率 Liabilities/Total assets,65.42%,68.73%,67.39%,48.09%,57.25%,59.89%,63.16%,62.42%,55.50%,53.52%,53.55%,61.69%,66.54%,73.42%,76.42%,78.31%,77.31%,69.07%,69.53%,75.44%,68.23%,66.46%,44.74%,35.29%,25.60%,23.28%,19.84%
归母/净利 Parent/Net profit,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,84.84%,84.23%,325.16%,74.98%,62.34%,80.49%,46.84%,-14.60%,64.33%,-6.70%,53.32%,91.68%,83.98%,90.83%,73.15%,78.79%,86.72%,83.84%,86.52%,82.40%
扣非净利率 Adj net margin,,,9.40%,,11.54%,,2.77%,4.59%,6.78%,0.98%,0.79%,-0.19%,0.80%,-1.15%,-1.65%,-2.62%,-2.34%,0.65%,2.84%,-6.88%,1.39%,2.61%,7.95%,8.98%,9.21%,7.82%,9.99%
应收账款周转天数 AR turnover days,,15.1,10.3,4.3,2.2,1.8,1.2,0.7,0.4,0.5,0.5,0.1,0.1,4.7,5.2,4.2,6.5,7.2,4.8,4.7,4.1,2.5,0.9,3.7,4.8,1.7,2.1
存货周转天数 Inventory turnover days,,86.9,80.4,86.3,120.6,103.1,73.8,63.4,62.9,54.0,83.0,71.1,60.2,51.4,53.8,55.0,68.0,76.8,73.2,76.7,64.0,48.0,36.2,30.8,40.5,36.2,36.7
应付账款周转天数 AP turnover days,,27.2,29.0,40.9,94.4,53.0,24.2,20.9,18.0,17.7,42.6,44.6,51.4,51.4,52.0,53.6,82.8,111.1,89.5,89.4,93.7,91.7,68.1,40.1,30.9,18.9,19.4
现金及金融资产/总资产 Cash&financial/TA,,8.91%,11.60%,19.29%,10.77%,11.26%,8.54%,16.83%,15.32%,25.75%,18.35%,18.57%,15.16%,7.35%,4.69%,6.61%,11.09%,13.42%,11.49%,11.70%,10.24%,2.89%,4.29%,7.80%,13.38%,14.98%,15.32%
固定资产PPE/总资产 PPE/TA,,66.18%,70.96%,56.97%,46.16%,67.88%,63.14%,57.39%,55.91%,44.70%,37.71%,33.72%,25.83%,42.18%,51.92%,54.87%,55.39%,54.73%,49.13%,52.44%,57.35%,68.54%,66.69%,62.42%,58.56%,51.86%,46.04%
存货/总资产 Inventory/TA,,12.93%,12.24%,11.07%,12.88%,16.10%,21.27%,19.07%,16.96%,9.24%,14.36%,10.52%,7.54%,9.12%,10.81%,11.41%,8.07%,10.18%,12.45%,10.68%,8.53%,8.64%,8.04%,10.03%,10.31%,12.70%,10.67%
(应收+预付)/总资产 Receivables&prepay/TA,0.00%,2.90%,1.52%,0.38%,0.55%,0.38%,1.97%,1.03%,3.23%,4.49%,7.99%,6.53%,4.21%,2.11%,1.66%,2.28%,2.59%,2.25%,1.75%,1.46%,0.84%,0.73%,0.37%,2.76%,0.67%,1.02%,1.04%
当年分红率 Payout ratio,,,97.70%,,,,189.81%,79.59%,74.05%,775.38%,500.38%,952.31%,470.11%,5401.19%,5086.30%,-188.90%,2873.94%,631.82%,105.76%,-60.42%,165.57%,74.61%,17.52%,19.61%,25.54%,45.93%,34.66%
—— 定制层：周期/资源 ——,,,,,,,,,,,,,,,,,,,,,,,,,,,
自由现金流 FCF = OCF − |capex|,,,263427256,,-402499691,,231333405,381743551,760916503,-359840974,-1359982753,-2319910133,-2005513816,-2226390482,439452492,-904037478,2105331456,-508870728,-780766596,-3331440267,143963991,-305673958,5687386535,5950956133,5137967915,6289328216,7791818549
固定资产周转 营收÷固定资产,,0.97,0.97,0.99,0.91,0.82,1.56,2.09,2.19,1.85,1.43,1.83,2.08,1.35,1.25,1.30,0.98,0.89,1.26,1.10,1.07,1.05,1.65,1.99,1.85,2.51,2.95
⏳ 待补:吨铝完全成本 / 吨毛利 / 产能利用率 —— 需从年报「经营情况讨论与分析」取产销量，是周期股「底部能否不亏」的核心判据（见 `_模板/财报关注要点-行业模板.md` 周期块）,,,,,,,,,,,,,,,,,,,,,,,,,,,
