科目,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
货币资金,,203798284.03,269402764.03,532959696.20,375343965.50,467852928.59,393598319.97,946466652.08,875321679.96,1914213949.76,1778201517.65,2207503285.67,2255137774.08,1384066932.48,1077016847.08,1809975409.13,3248079558.29,4286292940.72,4121467363.47,4389532822.02,4052271314.99,1186778341.03,1622638217.34,3044874813.87,5260938229.50,6277375049.54,6769027693.49
应收账款,,60766729.27,29440591.15,7209666.22,10533067.29,12252085.44,18450087.49,7878721.87,7165430.55,8453984.22,5034696.90,10673.71,3117962.23,272647100.43,155001837.91,290229836.28,274893057.93,336849929.88,245628599.59,308332117.23,237616864.65,162616528.94,34692444.05,959656234.96,162380537.74,343988785.55,344273709.15
存货,,295742573.59,284071714.12,305797485.64,448812700.32,669122191.02,979996084.26,1072024722.17,969058009.45,686830336.36,1390954353.02,1250301765.20,1121032614.87,1716548250.93,2481831517.75,3126842799.55,2363017351.98,3253684898.04,4465597860.49,4005892783.41,3375666668.67,3543978904.95,3041709471.97,3917810689.47,4051137471.62,5320421289.87,4713584177.13
流动资产合计,,578557228.20,605454693.56,865702741.87,882338600.10,1199184751.15,1519950684.11,2116782549.29,2051641512.04,3035541765.46,4016276556.65,4327456491.52,4103142625.01,3746064890.56,5566921483.86,6841386673.95,7792664065.23,9425558909.50,10301644608.26,9830445118.12,9067446886.23,6051377930.65,5360495062.98,8245649722.35,9862919866.66,14432017339.81,17804066713.76
固定资产,,1513910999.47,1647337529.17,1573614714.17,1608276689.20,2820931311.06,2908344228.47,3226820476.15,3194980479.23,3322546785.31,3654059587.31,4008715361.01,3842376031.09,7938192952.77,11924351888.02,15031013738.76,16217615517.03,17484304406.39,17627643150.22,19675722666.37,22697666092.74,28115806967.88,25233851336.56,24379704945.99,23019637937.24,21729710683.10,20336840208.87
在建工程,,131541795.60,37059900.78,194009873.60,723372674.46,2310404.07,29669358.26,76524208.48,263848118.60,813410037.58,1621235857.53,2810323030.97,6014186959.88,4964610639.50,3335447293.47,2744484599.77,2199264523.76,1896371048.43,3514409510.19,3658923088.69,3556880370.63,1998518315.74,2614997266.55,613242818.45,588283023.80,627870824.18,313950288.20
资产总计,2146930912.13,2287439157.79,2321605879.98,2762263995.24,3483797033.52,4155906549.08,4606351283.32,5622790811.30,5714304427.34,7433714546.04,9689468900.95,11889385044.98,14876594415.87,18819280727.26,22966881737.88,27394587280.49,29281507819.44,31948786017.35,35877405580.95,37521372777.03,39579456610.20,41018597713.34,37837121415.33,39058639961.51,39309705821.93,41901504028.87,44175520008.47
短期借款,,194200000.00,144600000.00,294400000.00,130000000.00,580200000.00,557200000.00,415200000.00,466120000.00,1270200000.00,1110200000.00,1303200000.00,1918700000.00,4604539922.95,5521392598.76,5436823608.21,5259424098.93,5349625290.33,7280950000.00,9921016815.34,8501813067.79,5632438846.00,2717847625.93,469994666.67,70200000.00,0.00,0.00
长期借款,,1032000000.00,912000000.00,575000000.00,1170000000.00,1336840000.00,1519228123.20,1436840000.00,656840000.00,1494400000.00,1589960000.00,4010720000.00,4446440000.00,4771331775.32,4149488875.32,4799082225.32,3237028693.32,2305264062.00,3984932401.75,4013837431.00,4701180000.00,9357661896.00,6667050000.00,4377000000.00,3765000000.00,2365000000.00,1814000000.00
负债合计,,1572091308.10,1564646221.26,1328491393.28,1994326565.42,2489011068.64,2909270303.85,3509994889.06,3171298265.81,3978539041.19,5189145416.46,7334304295.32,9898294060.44,13817251914.76,17550283207.79,21451335392.86,22637406047.88,22067293938.58,24944770166.96,28305418497.82,27005963509.46,27259900416.66,16926783084.85,13782962977.16,10062774176.03,9754043554.51,8762965168.19
股本,310000000.00,310000000.00,310000000.00,364000000.00,364000000.00,546000000.00,546000000.00,546000000.00,873600000.00,1053544437.00,1183979219.00,1183979219.00,1539172984.00,1539172984.00,1539172984.00,1539172984.00,1898611645.00,2606838797.00,2606838797.00,2606838797.00,3128206556.00,3128206556.00,3467957405.00,3467957405.00,3467957405.00,3467957405.00,3467957405.00
未分配利润,,5432927.46,2011193.79,6368110.42,12316616.72,172919877.21,116031140.01,351809039.02,556999958.48,249724317.39,208765687.18,202050338.34,256272296.11,231004154.86,194767854.44,-266829858.25,-249326302.02,-139660992.21,509720634.15,-1138698238.89,-604038993.25,298516215.92,3495042399.53,7533754407.74,10867076404.96,13407132278.98,17524002051.35
归属于母公司所有者权益,742324153.13,715347849.69,756959658.72,1433772601.96,1489470468.10,1666895480.44,1644343106.71,1922359394.24,2173202983.35,2881138453.50,3979486390.47,3942884545.27,4000880774.44,3923606540.70,3898892789.68,4435917591.09,5617001463.67,9246350329.68,9868340853.52,8264475801.47,10919669032.50,11805692887.88,18191320779.96,22350373661.45,25729228476.89,28320473093.19,32032276442.64
少数股东权益,,,,,,,,190436528.00,369803178.18,574037051.35,520837094.02,612196204.39,977419580.99,1078422271.80,1517705740.41,1507334296.54,1027100307.89,635141749.09,1064294560.47,951478477.74,1653824068.24,1953004408.80,2719017550.52,2925303322.90,3517703169.01,3826987381.17,3380278397.64
所有者权益合计,742324153.13,715347849.69,756959658.72,1433772601.96,1489470468.10,1666895480.44,1697080979.47,2112795922.24,2543006161.53,3455175504.85,4500323484.49,4555080749.66,4978300355.43,5002028812.50,5416598530.09,5943251887.63,6644101771.56,9881492078.77,10932635413.99,9215954279.21,12573493100.74,13758697296.68,20910338330.48,25275676984.35,29246931645.90,32147460474.36,35412554840.28
预收款项/合同负债,,14088542.75,12012542.00,20083744.30,12648661.65,16359357.45,36208998.07,73385477.86,36335496.08,38560977.14,25798454.25,34063840.77,17825438.33,127565148.82,265423726.19,326711300.39,334715796.70,369062725.12,601857964.88,149330686.21,179159574.06,197815977.50,303475750.53,137842169.72,186937161.26,308874094.26,423751685.17
预付款项,,5674053.92,5752444.62,3313056.09,8603469.76,3443151.46,72109493.07,50033458.74,177465864.54,325360863.62,769260275.21,776416081.21,622494808.17,125054697.01,226467584.33,334059151.63,484557137.52,382823818.55,382376806.61,239816772.00,94917866.14,134966969.83,103539208.60,120177472.43,101296923.34,83813535.06,116700096.21
其他应收款,,11820903.50,15438812.16,16362388.92,38979173.06,46034116.56,46917639.84,38818994.43,21630527.54,50925731.50,72825713.87,89085086.41,85879465.66,188356316.66,390725166.06,98849084.61,230327167.85,327065222.89,259816209.60,147855397.42,152866204.77,73711158.71,67868865.71,35605990.74,26547594.91,39236594.92,202028934.11
应付票据,,,,,60000000.00,180000000.00,260000000.00,220000000.00,320000000.00,441683412.89,696420392.83,168436258.27,,103877160.90,621548550.36,1540514259.01,3336938376.14,2114292715.12,2221022870.55,1671021163.08,1276247851.28,2014772391.82,120000000.00,1800000000.00,1595000000.00,2450000000.00,1436000000.00
应付账款,,92703407.28,116092744.00,163429766.56,427362066.36,147046802.57,394728530.69,280302628.39,304647933.26,237980455.65,828631485.90,825349076.50,1199552174.26,1636519032.81,2420551094.26,3044979850.21,3643498667.27,4484109140.88,4952240301.40,4916730671.34,5889023792.36,7347790425.84,5037637261.39,4011723730.64,2078694978.65,2805833230.47,2492453204.08
