报告日,营业总收入,营业收入,利息收入,已赚保费,手续费及佣金收入,房地产销售收入,其他业务收入,营业总成本,营业成本,手续费及佣金支出,房地产销售成本,退保金,赔付支出净额,提取保险合同准备金净额,保单红利支出,分保费用,其他业务成本,营业税金及附加,研发费用,销售费用,管理费用,财务费用,利息费用,利息支出,投资收益,对联营企业和合营企业的投资收益,以摊余成本计量的金融资产终止确认产生的收益,汇兑收益,净敞口套期收益,公允价值变动收益,期货损益,托管收益,补贴收入,其他收益,资产减值损失,信用减值损失,其他业务利润,资产处置收益,营业利润,营业外收入,非流动资产处置利得,营业外支出,非流动资产处置损失,利润总额,所得税费用,未确认投资损失,净利润,持续经营净利润,终止经营净利润,归属于母公司所有者的净利润,被合并方在合并前实现净利润,少数股东损益,其他综合收益,归属于母公司所有者的其他综合收益,（一）以后不能重分类进损益的其他综合收益,重新计量设定受益计划变动额,权益法下不能转损益的其他综合收益,其他权益工具投资公允价值变动,企业自身信用风险公允价值变动,（二）以后将重分类进损益的其他综合收益,权益法下可转损益的其他综合收益,可供出售金融资产公允价值变动损益,其他债权投资公允价值变动,金融资产重分类计入其他综合收益的金额,其他债权投资信用减值准备,持有至到期投资重分类为可供出售金融资产损益,现金流量套期储备,现金流量套期损益的有效部分,外币财务报表折算差额,其他,归属于少数股东的其他综合收益,综合收益总额,归属于母公司所有者的综合收益总额,归属于少数股东的综合收益总额,基本每股收益,稀释每股收益,数据源,是否审计,公告日期,币种,类型,更新日期
20160331,8825564213.47,8825564213.47,,,,,,4862712652.11,2661635000.47,,,,,,,,,681549806.35,,1125781380.21,572834323.13,-179087361.55,,,,,,,,,,,,,,,,,3962851561.36,32517529.26,144217.34,4826458.59,2727098.04,3990542632.03,982264538.23,,3008278093.8,,,2903112187.15,,105165906.65,,,,,,,,,,,,,,,,,,,,3008278093.8,2903112187.15,105165906.65,0.765,0.765,定期报告,未审计,20170428,CNY,合并期末,2020-03-13T16:00:40
20160630,13255638646.02,13255638646.02,,,,,,7973349652.22,3976153298.88,,,,,,,,,1036442502.02,,2195621788.48,1107396572.58,-341637035.05,,,10147483.09,10147483.09,,,,,,,,,,,,,5292436476.89,43962304.34,209100.77,13424376.28,3656083.11,5322974404.95,1296349816.03,,4026624588.92,,,3886813135.28,,139811453.64,,,,,,,,,,,,,,,,,,,,4026624588.92,3886813135.28,139811453.64,1.024,1.024,定期报告,未审计,20170828,CNY,合并期末,2020-03-13T16:00:40
20160930,17699643832.21,17699643832.21,,,,,,10754163494.47,5287169637.43,,,,,,,,,1369574668.29,,3042710866.35,1614574317.92,-559238520.83,,,10147483.09,10147483.09,,,,,,,,,,,,,6955627820.83,88263186.11,333125.92,17255083.41,4291932.85,7026635923.53,1730020354.03,,5296615569.5,,,5101313177.67,,195302391.83,,,,,,,,,,,,,,,,,,,,5296615569.5,5101313177.67,195302391.83,1.344,1.344,定期报告,未审计,20171027,CNY,合并期末,2020-03-13T16:00:40
20161231,24543792660.59,24543792660.59,,,,,,15340010355.95,7314252452.38,,,,,,,,,1941174540.51,,4694545075.85,2143703443.82,-765864110.92,,,33428752.97,33428752.97,,,,,,,,,,,,-6305863.92,9230905193.69,118552442.44,362520.65,12046979.2,6668384.57,9337410656.93,2280645088.07,,7056765568.86,7056765568.86,,6784533260.36,,272232308.5,,,,,,,,,,,,,,,,,,,,7056765568.86,6784533260.36,272232308.5,1.787,1.787,定期报告,是,20180428,CNY,合并期末,2020-03-13T16:00:40
20170331,10158807519.1,10158807519.1,,,,,,5219248648.67,2993353291.31,,,,,,,,,761977874.68,,1096463607.3,583795810.88,-216710540.4,,,,,,,,,,,,12068383.94,,,,-1203808.4,4950423445.97,6927338.33,92226.08,4118403.15,1296034.48,4953232381.15,1214027296.16,,3739205084.99,3739205084.99,,3593112440.79,,146092644.2,,,,,,,,,,,,,,,,,,,,3739205084.99,3593112440.79,146092644.2,0.947,0.947,定期报告,未审计,20180428,CNY,合并期末,2020-03-13T16:00:40
20170630,15621127660.56,15621127660.56,,,,,,8681153496.36,4428529135.9,,,,,,,,,1428602683.29,,2174133716.02,1076103861.25,-427404960.65,,,22396528.84,22396528.84,,,,,,,,22634911.08,,,,3245153.05,6988250757.17,20690556.12,4799533.2,12530898.99,1554380.15,6996410414.3,1806600454.54,,5189809959.76,5189809959.76,,4971505554.13,,218304405.63,,,,,,,,,,,,,,,,,,,,5189809959.76,4971505554.13,218304405.63,1.31,1.31,定期报告,未审计,20180828,CNY,合并期末,2020-03-13T16:00:40
20170930,21977596629.7,21977596629.7,,,,,,12351635651.33,6350106683.52,,,,,,,,,2330495982.27,42785819.3,2696626088.88,1570156351.09,-639724334.28,13542928.16,,22396528.84,22396528.84,,,,,,,,32693945.77,,,,5107664.44,9686159117.42,27375681.01,6765683.15,18722595.58,1658018.71,9694812202.85,2429837036.36,,7264975166.49,7264975166.49,,6964763242.98,,300211923.51,,,,,,,,,,,,,,,,,,,,7264975166.49,6964763242.98,300211923.51,1.835,1.835,定期报告,未审计,20181029,CNY,合并期末,2020-03-13T16:00:40
20171231,30186780409.14,30186780409.14,,,,,,16954329682.61,8450087271.36,,,,,,,,,3494696079.68,77840417.85,3625397914.06,2191184283.19,-890505901.86,,,68210911.07,68210911.07,,,,,,,,70216219.29,,,,3657328.2,13374535185.09,45130040.42,,27977016.6,,13391688208.91,3305718978.88,,10085969230.03,10085969230.03,,9673721498.15,,412247731.88,,,,,,,,,,,,,,,,,,,,10085969230.03,9673721498.15,412247731.88,2.548,2.548,定期报告,是,20190328,CNY,合并期末,2020-03-13T16:00:40
20180331,13897660045.38,13897660045.38,,,,,,7013986778.5,3725553183.07,,,,,,,,,1954791761.82,9778670.43,1002891971.85,585207632.54,-264236441.21,,,,,,,,,,,,10030601.19,,,,-74520.12,6893629347.95,14935320.23,,5187234.27,,6903377433.91,1689408345.84,,5213969088.07,5213969088.07,,4971013118.03,,242955970.04,,,,,,,,,,,,,,,,,,,,5213969088.07,4971013118.03,242955970.04,1.31,1.31,定期报告,未审计,20190429,CNY,合并期末,2020-03-13T16:00:40
20180630,21421181221.36,21421181221.36,,,,,,11655836688.08,5818583155.19,,,,,,,,,3026570088.89,39951174.23,2155689822.07,1141660814.55,-526618366.85,,,50098836.63,50098836.63,,,,,,,,43898718.76,-3001320.83,,,-261019.6,9856079748.24,25438038.84,,26047446.83,,9855470340.25,2391579054.36,,7463891285.89,7463891285.89,,7110255593.99,,353635691.9,,,,,,,,,,,,,,,,,,,,7463891285.89,7110255593.99,353635691.9,1.859,1.859,定期报告,未审计,20190831,CNY,合并期末,2020-03-13T16:00:40
