报告日,经营活动产生的现金流量,销售商品、提供劳务收到的现金,客户存款和同业存放款项净增加额,向中央银行借款净增加额,向其他金融机构拆入资金净增加额,收到原保险合同保费取得的现金,收到再保险业务现金净额,保户储金及投资款净增加额,处置交易性金融资产净增加额,收取利息、手续费及佣金的现金,拆入资金净增加额,回购业务资金净增加额,收到的税费返还,收到的其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,客户贷款及垫款净增加额,存放中央银行和同业款项净增加额,支付原保险合同赔付款项的现金,支付利息、手续费及佣金的现金,支付保单红利的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付的其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,投资活动产生的现金流量,收回投资所收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产所收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到的其他与投资活动有关的现金,减少质押和定期存款所收到的现金,处置可供出售金融资产净增加额,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产所支付的现金,投资所支付的现金,质押贷款净增加额,取得子公司及其他营业单位支付的现金净额,增加质押和定期存款所支付的现金,支付的其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,筹资活动产生的现金流量,吸收投资收到的现金,子公司吸收少数股东投资收到的现金,取得借款收到的现金,发行债券收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息所支付的现金,子公司支付给少数股东的股利、利润,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,汇率变动对现金及现金等价物的影响,现金及现金等价物净增加额,期初现金及现金等价物余额,现金的期末余额,现金的期初余额,现金等价物的期末余额,现金等价物的期初余额,期末现金及现金等价物余额,数据源,是否审计,公告日期,币种,类型,更新日期
20160331,,6669657116.43,,,,,,,,,,,16245833.28,297019187.02,6982922136.73,1827172284.39,,,,,,995029152.66,2793153484.13,608050271.4,6223405192.58,759516944.15,,,36000000.0,18700.8,,,,,36018700.8,98697173.26,,,,,,98697173.26,-62678472.46,,,,,,,0.0,,,,,0.0,0.0,-10314.63,696828157.06,26324190180.51,,,,,27021018337.57,定期报告,未审计,20170428,CNY,合并期末,2020-03-13T14:58:48
20160630,,13621985528.36,,,,,,,,,,,22259999.93,467033372.94,14111278901.23,2804626998.24,,,,,,1660122901.89,4172326226.11,1162960545.41,9800036671.65,4311242229.58,,67000000.0,36000000.0,455569.2,,,,,103455569.2,167783179.62,,,,,,167783179.62,-64327610.42,,,,,,2077260.0,2077260.0,,,,,0.0,2077260.0,43813.84,4249035693.0,26324190180.51,30557758703.07,26311138400.74,15467170.44,13051779.77,30573225873.51,定期报告,未审计,20170828,CNY,合并期末,2020-03-13T14:58:48
20160930,,22848292297.96,,,,,,,,,,,31695416.57,955871690.34,23835859404.87,3705764934.91,,,,,,2358857410.87,5446477487.34,1762369278.04,13273469111.16,10562390293.71,,76100000.0,36000000.0,485842.2,,,,,112585842.2,206243187.98,8000000.0,,,,,214243187.98,-101657345.78,,15900000.0,15900000.0,,,2127260.0,18027260.0,,3141873139.14,175099763.14,,3141873139.14,-3123845879.14,59851.15,7336946919.94,26324190180.51,,,,,33661137100.45,定期报告,未审计,20171027,CNY,合并期末,2020-03-13T14:58:48
20161231,,33044819191.48,,,,,,,,,,,35161976.57,854825585.61,33934806753.66,9565959989.07,,,,,,3198746989.09,7276097905.9,2197241300.39,22238046184.45,11696760569.21,,107813538.0,36000000.0,5353619.61,,,,,149167157.61,307337776.3,8000000.0,,-4911283.58,,,310426492.72,-161259335.11,,15952288.85,15900000.0,,,2139760.0,18092048.85,,3212019610.56,175246234.56,,3212019610.56,-3193927561.71,153983.15,8341727655.54,26324190180.51,34596654426.98,26311138400.74,69263409.07,13051779.77,34665917836.05,定期报告,是,20180428,CNY,合并期末,2020-03-13T14:58:48
20170331,,7704893440.56,,,,,,,,,,,7978813.93,311400709.55,8024272964.04,1571495565.89,,,,,,1000142663.72,2861340911.2,747681155.97,6180660296.78,1843612667.26,,,,1579366.99,,,,,1579366.99,66866188.82,,,,,,66866188.82,-65286821.83,,,,,,,0.0,,,,,0.0,0.0,-13952.3,1778311893.13,34665917836.05,,,,,36444229729.18,定期报告,未审计,20180428,CNY,合并期末,2020-03-13T14:58:48
20170630,,14461279629.17,,,,,,,,,,,16181591.06,482470937.31,14959932157.54,2954674110.52,,,,,,1730371896.0,5843190466.69,1267003986.78,11795240459.99,3164691697.55,,,,7622099.84,,,,,7622099.84,89131857.5,,,,,,89131857.5,-81509757.66,,,,,,128035650.0,128035650.0,,3416370048.0,,,3416370048.0,-3288334398.0,-62722.36,-205215180.47,34665917836.05,34377586703.85,34596654426.98,83115951.73,69263409.07,34460702655.58,定期报告,未审计,20180828,CNY,合并期末,2020-03-13T14:58:48
20170930,,21956722427.07,,,,,,,,,,,25329875.74,925030795.92,22907083098.73,4416529916.94,,,,,,2664960126.43,7814824936.87,1917602720.85,16813917701.09,6093165397.64,,,,16278927.95,,,,,16278927.95,126545615.28,,,,,,126545615.28,-110266687.33,,,,,,491047150.0,491047150.0,,3617502790.55,201132742.55,512787500.0,4130290290.55,-3639243140.55,-108910.63,2343546659.13,34665917836.05,,,,,37009464495.18,定期报告,未审计,20181029,CNY,合并期末,2020-03-13T14:58:48
20171231,,35753619516.24,,,,,,,,,,,50151825.93,1271650789.53,37075422131.7,12623099402.75,,,,,,3494598459.27,9102235873.47,2089312573.55,27309246309.04,9766175822.66,,,,15177613.02,,,,,15177613.02,216058886.55,,,,,,216058886.55,-200881273.53,,,,,,491047150.0,491047150.0,,3617502790.55,201132742.55,512787500.0,4130290290.55,-3639243140.55,-165838.85,5925885569.73,34665917836.05,40529000014.21,34596654426.98,62803391.57,69263409.07,40591803405.78,定期报告,是,20190328,CNY,合并期末,2020-03-13T14:58:48
20180331,,10414204004.89,,,,,,,,,,,4336017.86,245110857.33,10663650880.08,2212969074.62,,,,,,1285809156.06,4111252308.57,655591797.14,8265622336.39,2398028543.69,,,,97938.49,,,,,97938.49,148455263.44,,,,,,148455263.44,-148357324.95,,,,,,,0.0,,,,,0.0,0.0,-128438.01,2249542780.73,40591803405.78,,,,,42841346186.51,定期报告,未审计,20190429,CNY,合并期末,2020-03-13T14:58:48
20180630,,17210556067.07,,,,,,,,,,,4336017.86,537203911.56,17752095996.49,4107343273.95,,,,,,2683558317.44,8826830083.14,1537717304.22,17155448978.75,596647017.74,,,,4590653.97,,,,,4590653.97,220511645.3,,,,,,220511645.3,-215920991.33,,1813717926.36,980000.0,,,,1813717926.36,,360002591.64,360002591.64,,360002591.64,1453715334.72,85882.9,1834527244.03,40591803405.78,42231529832.64,40529000014.21,194800817.17,62803391.57,42426330649.81,定期报告,未审计,20190831,CNY,合并期末,2020-03-13T14:58:48
