报告日,流动资产,货币资金,结算备付金,拆出资金,交易性金融资产,买入返售金融资产,衍生金融资产,应收票据及应收账款,应收票据,应收账款,应收款项融资,预付款项,应收股利,应收利息,应收保费,应收分保账款,应收分保合同准备金,应收出口退税,应收补贴款,应收保证金,内部应收款,其他应收款,其他应收款(合计),存货,划分为持有待售的资产,待摊费用,待处理流动资产损益,一年内到期的非流动资产,其他流动资产,流动资产合计,非流动资产,发放贷款及垫款,债权投资,其他债权投资,以公允价值计量且其变动计入其他综合收益的金融资产,以摊余成本计量的金融资产,可供出售金融资产,长期股权投资,投资性房地产,长期应收款,其他权益工具投资,其他非流动金融资产,其他长期投资,固定资产原值,累计折旧,固定资产净值,固定资产减值准备,在建工程合计,在建工程,工程物资,固定资产净额,固定资产清理,固定资产及清理合计,生产性生物资产,公益性生物资产,油气资产,合同资产,使用权资产,无形资产,开发支出,商誉,长期待摊费用,股权分置流通权,递延所得税资产,其他非流动资产,非流动资产合计,资产总计,流动负债,短期借款,向中央银行借款,吸收存款及同业存放,拆入资金,交易性金融负债,衍生金融负债,应付票据及应付账款,应付票据,应付账款,预收款项,合同负债,卖出回购金融资产款,应付手续费及佣金,应付职工薪酬,应交税费,应付利息,应付股利,应付保证金,内部应付款,其他应付款,其他应付款合计,其他应交款,担保责任赔偿准备金,应付分保账款,保险合同准备金,代理买卖证券款,代理承销证券款,国际票证结算,国内票证结算,预提费用,预计流动负债,应付短期债券,划分为持有待售的负债,一年内的递延收益,一年内到期的非流动负债,其他流动负债,流动负债合计,非流动负债,长期借款,应付债券,应付债券：优先股,应付债券：永续债,租赁负债,长期应付职工薪酬,长期应付款,长期应付款合计,专项应付款,预计非流动负债,长期递延收益,递延所得税负债,其他非流动负债,非流动负债合计,负债合计,所有者权益,实收资本(或股本),其他权益工具,优先股,永续债,资本公积,减:库存股,其他综合收益,专项储备,盈余公积,一般风险准备,未确定的投资损失,未分配利润,拟分配现金股利,外币报表折算差额,归属于母公司股东权益合计,少数股东权益,所有者权益(或股东权益)合计,负债和所有者权益(或股东权益)总计,数据源,是否审计,公告日期,币种,类型,更新日期
20160331,,27021018337.57,,,,,,16313666353.26,16167613235.6,146053117.66,,389494047.28,,434804190.7,,,,,,,,32211234.28,467015424.98,8929792868.56,,,,,,53120987031.65,,,,,,,1200000.0,866009462.48,,,,,,,,,,622952054.95,621285037.23,1667017.72,5243340408.95,29416.67,5243369825.62,,,,,,410580251.27,,1621619.53,102748671.52,,614806961.21,,7863288846.58,60984275878.23,,,,,,,,1740193595.83,168562188.22,1571631407.61,6826442994.04,,,,2210304258.06,1130744682.31,,,,,1489404677.67,1489404677.67,,,,,,,,,,,,,,,,13397090207.91,,,,,,,6677340.0,,,,,227016985.12,,,233694325.12,13630784533.03,,3795966720.0,,,,953255757.17,,,,8172440644.01,,,33310418920.94,,,46232082042.12,1121409303.08,47353491345.2,60984275878.23,定期报告,未审计,20160429,CNY,合并期末,2020-03-13T15:29:48
20160630,,30573225873.51,,,,,,11276219789.53,11151897352.93,124322436.6,,314006426.76,,579948348.64,,,,,,,,63325655.53,643274004.17,9355869460.91,,,,,,52162595554.88,,,,,,,1200000.0,777443407.57,,,,,,13281801076.71,8102609292.72,5179191783.99,470000.0,653273403.04,651606385.32,1667017.72,5178721783.99,547544.29,5179269328.28,,,,,,408260788.24,,1621619.53,96261860.17,,682999347.14,,7800329753.97,59962925308.85,,,,,,,,1826037166.69,217131959.85,1608905206.84,4416995952.94,,,,2416873000.23,1024186092.38,,3036773376.0,,,1674159681.18,4710933057.18,,,,,,,,,,,,,,,,14395025269.42,,,,,,,6677340.0,,,,,226158235.11,,,232835575.11,14627860844.53,,3795966720.0,,,,953255757.17,,,,8172440644.01,,,31257346493.07,,,44179009614.25,1156054850.07,45335064464.32,59962925308.85,定期报告,未审计,20160824,CNY,合并期末,2020-03-13T15:29:48
20160930,,33661137100.45,,,,,,8611370258.01,8483681711.95,127688546.06,,281844564.43,,553030925.94,,,,,,,,76936616.31,629967542.25,9442953679.82,,,,,,52627273144.96,,,,,,,1200000.0,776343407.57,,,,,,,,,,681461196.72,679794179.0,1667017.72,5075825005.04,3915320.77,5079740325.81,,,,,,405058608.17,,1621619.53,96525402.33,,675871507.95,,7717822068.08,60345095213.04,,,,,,,,1816251953.6,281697340.71,1534554612.89,6723035776.49,,,,2401117225.57,1077097693.23,,70146471.42,,,1521840057.29,1591986528.71,,,,,,,,,,,,,,,,13609489177.6,,,,,,,6677340.0,,,,,283219485.1,,,289896825.1,13899386002.7,,3795966720.0,,,,953255757.17,,,,8172440644.01,,,32471846535.46,,,45393509656.64,1052199553.7,46445709210.34,60345095213.04,定期报告,未审计,20161028,CNY,合并期末,2020-03-13T15:29:48
20161231,,34665917836.05,,,,,,9686800987.44,9579098215.23,107702772.21,,271649757.8,,604019151.69,,,,,,,,18782965.6,622802117.29,9257369374.48,,,,,,54504540073.06,,,,,,,1200000.0,794643093.02,,,,,,13698089108.68,8261621023.73,5436468084.95,5382351.79,294548829.33,292881811.61,1667017.72,5431085733.16,376757.14,5431462490.3,,,,,,402445490.66,,1621619.53,125948144.17,,617996843.13,,7669866510.14,62174406583.2,,,,,,,,2498762288.62,327474650.48,2171287638.14,6298680313.88,,,,2273948506.89,1091867750.03,,,,,1524627778.99,1524627778.99,,,,,,,,,,,,,,,,13687886638.41,,,,,,,,,,,,280660735.09,,,280660735.09,13968547373.5,,3795966720.0,,,,953255757.17,,,,9352029056.75,,,32975478205.41,,,47076729739.33,1129129470.37,48205859209.7,62174406583.2,定期报告,是,20180428,CNY,合并期末,2020-03-13T15:29:48
20170331,,36444229729.18,,,,,,13312664329.74,13159107548.99,153556780.75,,363047875.53,,696005435.28,,,,,,,,31034384.08,727039819.36,9364037239.77,,,,,,60211018993.58,,,,,,,1200000.0,794643093.02,,,,,,,,,,350201125.79,348440047.03,1761078.76,5357774717.21,428414.15,5358203131.36,,,,,,403375212.82,,1621619.53,123455998.7,,622896896.26,,7655597077.48,67866616071.06,,,,,,,,3434166166.0,393457461.22,3040708704.78,6237059999.73,,,,2277365113.01,1623532023.67,,,,,2068230974.09,2068230974.09,,,,,,,,,,,,,,,,15640354276.5,,,,,,,,,,,,281197499.87,,,281197499.87,15921551776.37,,3795966720.0,,,,953255757.17,,,,9352029056.75,,,36568590646.2,,,50669842180.12,1275222114.57,51945064294.69,67866616071.06,定期报告,未审计,20170428,CNY,合并期末,2020-03-13T15:29:48
20170630,,34460702655.58,,,,,,11649542492.36,11527797189.12,121745303.24,,237477969.99,,829863225.0,,,,,,,,25246550.28,855109775.28,9627605128.63,,,,,,56830438021.84,,,,,,,1200000.0,817039621.86,,,,,,13749924688.5,8434333573.69,5315591114.81,5382351.79,326299239.87,324538161.11,1761078.76,5310208763.02,462889.13,5310671652.15,,,,,,402106287.05,,1621619.53,125281603.21,,618709496.93,,7602929520.6,64433367542.44,,,,,,,,3928004400.49,401616467.53,3526387932.96,5511067556.0,,,,2277944100.88,581008449.64,,201132742.55,,,1870305164.11,2071437906.66,,,,,,,,,,,,,,,,14369462413.67,,,,,,,,,,,,285738749.86,,,285738749.86,14655201163.53,,3795966720.0,,,,953255757.17,,,,9352029056.75,,,34530613711.54,,,48631865245.46,1146301133.45,49778166378.91,64433367542.44,定期报告,未审计,20170828,CNY,合并期末,2020-03-13T15:29:48
20170930,,37009464495.18,,,,,,10551529387.26,10434216114.75,117313272.51,,285151661.41,,749721710.38,,,,,,,,40418418.96,790140129.34,9913263627.94,,,,,,58549549301.13,,,,,,,1200000.0,817039621.86,,,,,,,,,,295615088.13,293854009.37,1761078.76,5277803007.66,415003.29,5278218010.95,,,,,,401014121.88,,1621619.53,118149951.62,,620993168.42,,7533851582.39,66083400883.52,,,,,,,,4000345252.38,444281179.76,3556064072.62,4925694275.44,,,,2308344141.98,924311008.66,,,,,1786094619.57,1786094619.57,,,,,,,,,,,,,,,,13944789298.03,,,,,,,,,,,,285279999.85,,,285279999.85,14230069297.88,,3795966720.0,,,,953255757.17,,,,9352029056.75,,,36523871400.39,,,50625122934.31,1228208651.33,51853331585.64,66083400883.52,定期报告,未审计,20171027,CNY,合并期末,2020-03-13T15:29:48
20171231,,40591803405.78,,,,,,11297770038.17,11188200510.91,109569527.26,,198058435.49,,613136431.43,,,,,,,,21131300.66,634267732.09,10557801464.12,,,,,,63279701075.65,,,,,,,1200000.0,862854004.09,,,,,,13939156069.68,8641190290.69,5297965778.99,5382351.79,273414828.29,271653749.53,1761078.76,5292583427.2,288961.94,5292872389.14,,,,,,399362442.36,,1621619.53,131727256.62,,679873063.75,,7642925603.78,70922626679.43,,,,,,,,3767584112.15,629668486.54,3137915625.61,4645721765.99,,,,2566575608.48,2644725962.59,,,,,2343421664.52,2343421664.52,,,,,,,,,,,,,,,,15968029113.73,,,,,,,,,,,,280271916.52,,,280271916.52,16248301030.25,,3795966720.0,,,,953255757.17,,,,10909576690.57,,,37675282021.74,,,53334081189.48,1340244459.7,54674325649.18,70922626679.43,定期报告,是,20190328,CNY,合并期末,2020-03-13T15:29:48
20180331,,42841346186.51,,,,,,17349190757.99,17196073686.74,153117071.25,,459361428.92,,698586641.74,,,,,,,,45736774.26,744323416.0,10505467773.08,,,,,,71899689562.5,,,,,,,1200000.0,862854004.09,,,,,,,,,,462867488.22,461106398.15,1761090.07,5210283730.35,909214.56,5211192944.91,,,,,,405233901.17,,1621619.53,120670925.28,,682568492.45,,7748209375.65,79647898938.15,,,,,,,,4404828240.47,565844194.5,3838984045.97,5771644744.03,,,,2583211456.79,4101546395.65,,,,,2620675030.77,2620675030.77,,,,,,,,,,,,,,,,19481905867.71,,,,,,,,,,,,277698333.19,,,277698333.19,19759604200.9,,3795966720.0,,,,953255757.17,,,,10909576690.57,,,42646295139.77,,,58305094307.51,1583200429.74,59888294737.25,79647898938.15,定期报告,未审计,20180428,CNY,合并期末,2020-03-13T15:29:48
20180630,,42426330649.81,,,,,,17156257482.85,16977557220.09,178700262.76,,457883202.29,,896209492.2,,,,,,,,54701761.46,950911253.66,11334058116.57,,,,,,72325440705.18,,,,,,,1200000.0,912952840.72,,,,,,14139350071.39,8791295990.07,5348054081.32,5382351.79,291410292.94,289649202.87,1761090.07,5342671729.53,893413.43,5343565142.96,,,,,,405011373.6,,1621619.53,112515295.46,,1036875258.38,,8105151823.59,80430592528.77,,,,,,,,4464707847.49,493870872.73,3970836974.76,4418983399.23,,,,2568412966.92,2431664835.91,,5046990406.5,,,2680768736.93,7727759143.43,,,,,,,,,,,,,,,,21611528192.98,,,,,,,,,,,,271827784.88,,,271827784.88,21883355977.86,,3881608005.0,,,,2682647086.15,,,,10909576690.57,,,39739447209.23,,,57213278990.95,1333957559.96,58547236550.91,80430592528.77,定期报告,未审计,20180828,CNY,合并期末,2020-03-13T15:29:48
