期间,营业收入,归母净利润,扣非归母净利,经营现金流净额,口径备注
2023Q1,31138862489.34,12542086212.64,12455824184.77,9535617536.41,sell-in
2023Q2,14367522329.03,4494622578.54,4485445516.33,1794201349.89,sell-in
2023Q3,17030002820.69,5796220371.11,5800445897.62,11058926288.67,sell-in
2023Q4,20735679678.13,7377656107.01,7374753312.07,19353734733.26,sell-in
2024Q1,34832906762.77,14045140540.62,14038692986.63,516195072.59,sell-in
2024Q2,15815119815.88,5011688988.25,4900120697.13,12911733583.04,sell-in
2024Q3,17267553533.6,5873953027.68,5893768253.73,16366190077.96,sell-in
2024Q4,21259598210.45,6922389977.43,6909377338.78,4145636459.19,sell-in
2025Q1,17085765657.95,4416313048.41,4417458056.53,15848802262.24,sell-through·追溯下调
2025Q2,6424206390.7,207537666.72,194094150.38,15287934366.34,sell-through·追溯下调
2025Q3,7127755606.32,1850701077.05,1846685921.89,-2889248211.64,sell-through·追溯下调
2025Q4,9890782115.26,2479705410.33,2357397814.47,1458771502.19,sell-through·首次披露
2026Q1,22838024164.27,8062764940.78,8036134136.04,-2535371232.04,sell-through
