科目,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
一、营业总收入,7397006488.91,7328555841.62,7933068723.21,11129220549.61,15541300510.85,20350594468.71,27201045951.34,24718588617.99,21011491536.14,21659287359.66,24543792660.59,30186780409.14,40030189599.87,50118105877.14,57321059453.15,66209053612.11,73968640704.54,83272067317.19,89175178322.7,40528509770.23
  营业收入,7397006488.91,7328555841.62,7933068723.21,11129220549.61,15541300510.85,20350594468.71,27201045951.34,24718588617.99,21011491536.14,21659287359.66,24543792660.59,30186780409.14,40030189599.87,50118105877.14,57321059453.15,66209053612.11,73968640704.54,83272067317.19,89175178322.7,40528509770.23
二、营业总成本,5607025333.07,5148150422.42,5503519534.64,6561185342.73,9443020432.27,11853596549.1,13502689947.56,13283383589.25,12993577702.66,13447194528.95,15340010355.95,16954329682.61,21513284355.9,26123144090.12,29738554309.94,33957661247.5,37049016916.17,41653257827.54,45321474085.74,28652689973.67
  营业成本,3493996530.48,3377979573.0,3618072871.25,3860659982.32,4863189610.83,6895411289.13,8015724440.85,6610410852.24,5772029404.03,6671963269.67,7314252452.38,8450087271.36,10486782934.27,12802259947.34,14811961478.65,16318778588.82,18178425659.64,20157143952.21,20461423083.74,9101956953.59
  税金及附加(消费税等),686318177.31,582633454.81,565747370.87,798585260.9,1392170702.85,1601644134.96,2005704155.21,1849030035.48,1517236398.19,1784675660.32,1941174540.51,3494696079.68,5908497298.57,6984343102.55,8092348596.1,9789698016.98,10748802377.04,12531695628.42,13040913970.28,11038061739.93
  销售费用,1005292875.11,782758181.11,890832654.12,1164153836.17,1803233837.68,2069991386.15,2258966257.29,3382176991.35,4308897447.57,3568061356.21,4694545075.85,3625397914.06,3778433675.01,4985579336.77,5578918523.98,6503506131.9,6844237013.17,7796298418.13,10692376117.41,7628615140.51
  管理费用,478340453.18,497940571.16,588986100.3,838973053.2,1561852181.17,1750685037.93,2009184257.85,2263637925.03,2047028546.72,2128805680.22,2143703443.82,2269024701.04,2340498705.44,2655347148.09,2609529686.09,2899968867.37,3068119268.45,3319445339.77,3555238122.5,3096502911.23
  研发费用,,,,,,,,,,,,,84082506.26,126360421.11,131315225.33,177411727.65,235783645.79,321845165.28,405053632.27,449183817.5
  财务费用,-50497352.53,-92227613.05,-159954267.43,-109732181.41,-192470846.37,-476587420.81,-789586016.6,-826879677.56,-657775551.17,-732111447.74,-765864110.92,-890505901.86,-1085010763.65,-1430745865.74,-1485519200.21,-1731702085.22,-2026351047.92,-2473170676.27,-2833530840.46,-2661630589.09
    利息费用,,,,,,,,,,,,,,,,69130792.55,48003667.91,11618338.87,40436892.68,28573949.37
