日期,SKU,出厂价(元/瓶),开票价(元/瓶),批价(元/瓶),电商价(元/瓶),vs出厂偏离,一手来源,备注
2026-06-28,第八代普五,1019,900,835,835,倒挂 18%🔴,新浪财经+澎湃新闻(见事实编年 2026-06.md),批价 820-850 中位;开票 900=2026 直降 119"补贴";经销商基本不赚
2026-06-28,五粮液 1618,⏳待补,⏳待补,1349,⏳待补,⏳待补,新浪财经(见事实编年 2026-06.md),市场价 1299-1398 中位;经销商拿货 1050-1150
2026-06-28,39 度普五,⏳待补,⏳待补,⏳待补,⏳待补,⏳待补,⏳待补(daily-news 每月抓),低度千元价位段标杆·2024 上新
2025-12-XX,第八代普五,1019,⏳待补,⏳900-950,⏳待补,⏳倒挂 6-12%,⏳待补(daily-news 抓 2025 全年月度),年初批价快照·从 2025 年报"深度调整期"表述可推
2024-XX-XX,第八代普五,1019,⏳,⏳900-970,⏳,⏳,⏳待补,2024 提价至 1019 元(2024 起)
2023-XX-XX,第八代普五,969,⏳,⏳930-960,⏳,⏳,⏳待补,2023 出厂价 969 元
2022-XX-XX,第八代普五,969,⏳,⏳970-1000,⏳,⏳,⏳待补,2022 稳态
2021-XX-XX,第八代普五,969,⏳,⏳1000-1050,⏳,⏳,⏳待补,2021 峰值·批价高于出厂
2020-XX-XX,第八代普五,889→969,⏳,⏳900-980,⏳,⏳,⏳待补,2020 提价 889→969 元
2019-09,第八代普五(新上市),889,⏳,⏳,⏳,⏳,⏳待补,第八代五粮液上市·首发出厂价 889 元
2019-06,普五(第七代→第八代切换前),889,⏳,⏳,⏳,⏳,⏳待补,出厂价 789→889 元
2018-01,普五(第七代),789,⏳,⏳,⏳,⏳,⏳待补,出厂价 739→789 元
