科目,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
销售商品、提供劳务收到的现金,8308499134.2,9077978285.47,9514523471.02,15120503779.3,20906767904.15,27452271742.6,33004835030.01,24903786975.08,20235325675.32,26084485451.91,33044819191.48,35753619516.24,46031388431.46,63111448367.92,62667576569.99,80952960804.29,81770582903.92,105349992178.96,101868590728.87,91400295974.06
收到的税费返还,,,,26966485.6,40882192.09,41742269.28,40083712.98,33140174.72,18420248.68,14914536.35,35161976.57,50151825.93,17688897.86,29278082.3,56724988.21,24522993.0,72322800.0,83435000.0,94626847.8,31878354.72
收到其他与经营活动有关的现金,66164474.52,74197514.55,161494811.9,257024052.25,252083597.23,289926526.59,838173591.62,1027600435.96,938546509.95,692873442.75,854825585.61,1271650789.53,1237237895.28,1463776630.55,2243660435.98,2045885363.36,2006197288.41,2328844302.03,2946413228.48,2982189922.58
经营活动现金流入小计,8374663608.72,9152175800.02,9676018282.92,15404494317.15,21199733693.47,27783940538.47,33883092334.61,25964527585.76,21192292433.95,26792273431.01,33934806753.66,37075422131.7,47286315224.6,64604503080.77,64967961994.18,83023369160.65,83849102992.33,107762271480.99,104909630805.15,94414364251.36
购买商品、接受劳务支付的现金,-3177920435.07,-3186991994.31,-3537850736.16,-3522042233.62,-5101181751.02,-7495207406.26,-10788665683.21,-9279412931.38,-8040615495.1,-8602256449.04,-9565959989.07,-12623099402.75,-13866014356.07,-16858330333.04,-17340551154.28,-19137502429.86,-19397297581.75,-21310361287.23,-21471357324.45,-19575747032.1
支付给职工及为职工支付的现金,-454799729.91,-692192269.19,-895049489.41,-1127353033.62,-1728275530.49,-2209763985.92,-2539978448.13,-2748658533.36,-2849896873.71,-2874978784.31,-3198746989.09,-3494598459.27,-4824010398.0,-5633645226.36,-5740856054.71,-7240759270.94,-7879082833.54,-7890206082.92,-8160223972.99,-8202043064.9
支付的各项税费,-2219507758.89,-2551496896.78,-2155455747.63,-3165458270.11,-4414637565.81,-5860930835.05,-9072901623.78,-8864027684.57,-7273342171.76,-6660468211.86,-7276097905.9,-9102235873.47,-13308818523.69,-15634936299.82,-23227933861.45,-25084613186.47,-27773048881.11,-30999125076.75,-34415656693.45,-30797656038.37
支付其他与经营活动有关的现金,-1186165317.4,-1055948696.03,-1115025758.91,-1535631116.8,-2252518560.89,-2685015386.83,-2731879495.01,-3613517679.57,-2233872248.04,-1963501536.02,-2197241300.39,-2089312573.55,-2970112911.94,-3365519180.89,-3960293330.53,-4785552400.33,-4368537434.45,-5820099125.86,-6922637621.48,-6132658196.86
经营活动现金流出小计,-7038393241.27,-7486629856.31,-7703381732.11,-9350484654.15,-13496613408.21,-18250917614.06,-25133425250.13,-24505616828.88,-20397726788.61,-20101204981.23,-22238046184.45,-27309246309.04,-34968956189.7,-41492431040.11,-50269634400.97,-56248427287.6,-59417966730.85,-66019791572.76,-70969875612.37,-64708104332.23
经营活动产生的现金流量净额,1336270367.45,1665545943.71,1972636550.81,6054009663.0,7703120285.26,9533022924.41,8749667084.48,1458910756.88,794565645.34,6691068449.78,11696760569.21,9766175822.66,12317359034.9,23112072040.66,14698327593.21,26774941873.05,24431136261.48,41742479908.23,33939755192.78,29706259919.13
