科目,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
毛利率(%),52.76,53.91,54.39,65.31,68.71,66.12,70.53,73.26,72.53,69.2,70.2,72.01,73.8,74.46,74.16,75.35,75.42,75.79,77.05,77.54
净利率(%),15.91,20.1,23.06,31.15,29.35,31.42,38.0,33.67,28.83,29.6,28.75,33.41,35.07,36.37,36.48,37.02,37.81,37.85,37.22,22.99
归母净利率(%),15.78,20.04,22.82,29.16,28.28,30.26,36.52,32.25,27.77,28.51,27.64,32.05,33.44,34.72,34.81,35.31,36.08,36.28,35.72,22.09
"ROE(归母÷期末归母权益, %)",14.13,15.35,15.91,22.73,24.28,26.63,31.89,22.09,14.8,14.25,14.41,18.14,21.08,23.42,23.28,23.6,23.41,23.32,23.9,7.47
销售费用率(%),13.59,10.68,11.23,10.46,11.6,10.17,8.3,13.68,20.51,16.47,19.13,12.01,9.44,9.95,9.73,9.82,9.25,9.36,11.99,18.82
管理费用率(%),6.47,6.79,7.42,7.54,10.05,8.6,7.39,9.16,9.74,9.83,8.73,7.52,5.85,5.3,4.55,4.38,4.15,3.99,3.99,7.64
税金及附加/营收(%·消费税+城建教育附加),9.28,7.95,7.13,7.18,8.96,7.87,7.37,7.48,7.22,8.24,7.91,11.58,14.76,13.94,14.12,14.79,14.53,15.05,14.62,27.24
经营现金流/净利(现金含量),1.14,1.13,1.08,1.75,1.69,1.49,0.85,0.18,0.13,1.04,1.66,0.97,0.88,1.27,0.7,1.09,0.87,1.32,1.02,3.19
销售收现/营收(白酒常态 ~1.1x),1.12,1.24,1.2,1.36,1.35,1.35,1.21,1.01,0.96,1.2,1.35,1.18,1.15,1.26,1.09,1.22,1.11,1.27,1.14,2.26
capex/净利(%·轻/重资产),21.37,16.89,5.98,28.42,10.15,8.38,3.44,4.1,6.78,6.17,4.36,2.14,2.72,9.32,4.75,6.28,6.37,9.38,8.03,21.12
应收账款周转天数,0.3,0.3,0.2,3.4,2.1,1.4,1.1,1.1,2.1,1.8,1.6,1.3,1.2,1.0,0.3,0.4,0.2,0.2,0.2,0.3
存货周转天数,157.5,195.1,209.5,328.7,338.9,293.1,304.2,380.2,511.7,476.0,462.0,456.0,410.5,390.0,326.0,313.5,320.9,314.9,325.3,804.6
(合同负债+预收)/营收(%·预收蓄水池),4.68,9.71,13.27,39.32,45.73,44.46,23.78,3.34,4.08,9.21,25.66,15.39,16.75,25.0,15.08,19.74,16.76,8.26,13.12,33.24
资产负债率(%),19.72,16.81,15.12,30.07,35.95,36.47,30.34,16.11,13.09,15.61,22.47,22.91,24.36,28.48,22.95,25.24,23.64,20.0,27.55,35.69
当年现金分红/归母(%·含少数股东部分),23.23,11.08,,5.85,15.03,24.41,21.28,42.54,51.33,39.79,47.34,37.4,40.42,41.67,46.25,46.52,47.51,52.61,60.4,312.76
"ROE(归母÷年均归母权益, %)",,16.47,17.29,25.3,27.15,29.88,36.61,23.71,15.45,14.93,15.01,19.27,22.91,25.26,24.94,25.3,25.05,24.8,24.24,7.07
归母/净利(%·少数股东leak),99.21,99.74,98.96,93.6,96.35,96.29,96.12,95.8,96.31,96.34,96.14,95.91,95.34,95.47,95.42,95.39,95.42,95.84,95.96,96.11
应付账款周转天数,3.8,3.6,3.4,13.1,14.8,10.3,22.0,36.3,38.9,46.6,80.6,114.7,109.5,91.4,81.8,98.3,127.0,145.9,160.0,353.1
现金及金融资产/总资产(%),26.95,35.09,43.9,36.18,49.29,58.39,61.54,58.38,48.23,50.19,55.76,57.23,56.87,59.44,59.89,60.71,60.44,69.79,67.67,66.86
固定资产/总资产(%),50.23,40.36,32.12,33.27,22.23,16.0,12.15,13.33,12.23,10.18,8.74,7.46,6.11,5.74,5.15,4.14,3.48,3.14,3.86,4.02
存货/总资产(%),14.58,15.61,15.39,16.68,15.75,15.0,14.76,15.6,17.44,16.56,14.89,14.89,13.7,12.86,11.61,10.33,10.46,10.51,9.69,10.56
(应收+预付)/总资产(%),0.09,0.12,0.38,1.43,1.46,0.89,0.75,0.66,0.91,0.84,0.61,0.43,0.4,0.34,0.25,0.19,0.11,0.13,0.1,0.12
