科目,2024-12-31,2025-12-31,2026-03-31,2025 vs 2024 变动,2026Q1 vs 2025 变动
货币资金,127398915484.11,127014443016.86,124259000313.65,-0.3%,-2.2%
应收票据,10297383.0,4841437.44,11163679.3,-53.0%,+130.6%
应收账款,37346561.95,37745419.51,186892598.91,+1.1%,+395.1%
应收款项融资,19566397992.11,9401640775.74,20705725822.87,-52.0%,+120.2%
存货,18233702166.62,20065336751.2,20139576875.04,+10.0%,+0.4%
合同负债,11689880975.04,13459591156.56,14138270216.02,+15.1%,+5.0%
预收款项,9237322.95,13915018.07,8424935.55,+50.6%,-39.5%
其他流动资产,344496042.69,7968202942.1,7476057642.42,+2213.0%,-6.2%
应交税费,7287276026.82,2093071546.91,2808794666.2,-71.3%,+34.2%
流动资产合计,165783297845.86,164751563109.67,173162335933.25,-0.6%,+5.1%
资产总计,188252218704.17,189984270815.47,198638173212.42,+0.9%,+4.6%
负债合计,51857424971.48,67803587170.33,,+30.8%,
归母权益,133285282015.97,119932271234.99,127996671799.63,-10.0%,+6.7%
