科目,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
货币资金,2786258119.36,4060766891.58,5925396594.68,7543588700.03,14134459002.65,21550861665.98,27845507237.17,25763495274.95,22382106584.48,26374190180.51,34665917836.05,40591803405.78,48960048897.95,63238825723.79,68209577022.61,82335955927.74,92358426975.79,115456300910.64,127398915484.11,127014443016.86
应收票据,669717586.73,523942546.5,601748849.88,1842131762.62,2180616262.52,1938673301.02,2594222586.93,3625484719.41,7369422899.46,8665339281.59,9579098215.23,11188200510.91,16134641950.86,14643149595.72,18568421154.3,23859058132.07,119918307.6,,10297383.0,4841437.44
应收账款,6260195.02,6792521.38,5170935.73,102759224.96,89308643.66,75620180.15,80997122.24,75473277.19,122947745.88,106953033.25,107702772.21,109569527.26,127331336.97,134449693.03,41496170.35,64193116.22,35686942.32,42647461.48,37346561.95,37745419.51
应收款项融资,,,,,,,,,,,,,,3450166659.06,2024442016.72,1641509588.69,28904198420.44,14086450565.79,19566397992.11,9401640775.74
预付款项,2846244.14,7624049.38,45462986.79,195685085.4,328380998.28,254497498.01,258719181.6,213651778.22,298155704.17,332130005.32,271649757.8,198058435.49,220916820.64,231909140.09,247259080.42,195652974.42,135982868.14,169425745.15,144877853.45,194996398.52
其他应收款,25060355.11,27592841.54,25936687.26,68864328.27,37700601.64,42779907.2,25692147.43,23332076.12,19560121.19,19436307.34,18782965.6,21131300.66,871770375.85,1248644572.4,36199607.12,26288496.24,30901231.69,39624933.74,47264361.93,64356368.3
存货,1508022529.59,1805867257.73,2076930883.61,3476844741.04,4514778551.63,5536502482.54,6680023737.32,6885585995.39,8091488733.56,8700851179.53,9257369374.48,10557801464.12,11795461088.43,13679619615.41,13228273631.45,14015067118.25,15980657013.57,17387841712.87,18233702166.62,20065336751.2
其他流动资产,,,,,,,,,,,,,,,,,,,344496042.69,7968202942.1
流动资产合计,5030942334.61,6483891981.71,8741552060.11,13282916685.76,21369714857.57,29713141282.56,37922333462.1,36942220104.97,38500080935.4,44597411226.19,54504540073.06,63279701075.65,78110170470.7,96626764999.5,102355668682.97,122137725353.63,137565771759.55,147182291329.67,165783297845.86,164751563109.67
长期股权投资,26391145.92,26391145.92,27470267.23,29979054.25,32524090.85,130875383.31,120351122.77,120577356.5,867864898.54,902009462.48,794643093.02,862854004.09,919477978.54,1021778731.59,1849977103.3,1911228653.63,1986387524.78,2020366240.69,2081612703.43,2233514411.45
其他非流动金融资产,,,,,,,,,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0
固定资产,5193905238.77,4670657791.36,4334380905.88,6935927656.62,6373457302.86,5905055195.5,5497236500.98,5882125515.16,5676482317.65,5347549946.88,5431085733.16,5292583427.2,5262163428.02,6108745912.72,5866880860.03,5610147000.37,5312971445.61,5189917302.17,7264740683.62,7641231013.35
在建工程,18177836.87,322898322.74,327723836.09,218457910.43,514643508.65,787493319.78,855585255.33,223094343.48,384533672.73,554771287.6,292881811.61,271653749.53,351993452.86,812428248.3,1482098184.64,2646087846.01,3773155983.95,5623356422.2,5795172321.07,7034061137.4
使用权资产,,,,,,,,,,,,,,,,697805952.69,380922885.84,126810315.49,796264399.72,406402594.29
无形资产,64073912.23,62487767.35,60901622.47,308093817.98,299598624.01,297477470.22,289762684.53,293642157.84,421573592.34,411690665.45,402445490.66,399362442.36,412650156.71,410155227.81,433611890.55,556398465.19,518517835.31,2056870639.03,2671286519.55,2674326878.83
商誉,,,,1621619.53,1621619.53,1621619.53,1621619.53,1621619.53,1621619.53,1621619.53,1621619.53,1621619.53,1621619.53,1621619.53,1621619.53,1621619.53,1621619.53,1621619.53,1621619.53,1621619.53
长期待摊费用,820470.57,,,66356766.63,70535041.77,48772420.08,74221410.43,62472496.58,52451701.8,88655857.09,125948144.17,131727256.62,111897668.36,91601331.96,122881072.66,155512345.82,158586327.06,163120023.86,141764604.11,121712293.75
递延所得税资产,5843382.51,5324118.02,4392036.46,5737024.53,11405479.92,16785901.95,485655212.66,578932509.06,503061914.86,639980604.65,617996843.13,679873063.75,871859716.03,1157391979.0,1486071579.95,1683957848.54,2140289194.58,2242610567.82,3397108317.96,4813123125.48
其他非流动资产,,,,,,,,,,,,,51231242.34,165284283.25,293128020.09,219127135.72,972502674.97,824817224.29,318149689.32,305514631.72
非流动资产合计,5309211986.87,5087759145.39,4754868668.13,7566173849.97,7303785667.59,7192699496.68,7325302679.74,7187282033.33,7908789717.45,7949223714.32,7669866510.14,7642925603.78,7984095262.39,9770207334.16,11537470330.75,13483086867.5,15246155491.63,18250690355.08,22468920858.31,25232707705.8
资产总计,10340154321.48,11571651127.1,13496420728.24,20849090535.73,28673500525.16,36905840779.24,45247636141.84,44129502138.3,46408870652.85,52546634940.51,62174406583.2,70922626679.43,86094265733.09,106396972333.66,113893139013.72,135620812221.13,152811927251.18,165432981684.75,188252218704.17,189984270815.47
应付票据,,,,,56456400.0,,,52577851.1,85449379.48,206060495.8,327474650.48,629668486.54,413918369.11,419485425.61,763628891.84,872040239.87,887970376.53,732432611.26,416456848.09,1352014535.9
应付账款,36304903.15,30308923.31,38079985.51,239072532.94,155435476.76,234517751.8,730530919.9,583987991.93,647043070.0,1058247050.29,2171287638.14,3137915625.61,3152374810.72,3257672975.56,3382875146.71,5403561392.95,7246802709.58,8864206997.09,9076595227.75,8534820869.28
预收款项,345968840.58,711587261.15,1052920496.85,4376268193.67,7107610071.86,9047172727.93,6467422141.71,824725426.75,858110981.89,1993934055.91,6298680313.88,4645721765.99,6706735898.48,12530706854.77,23949793.92,10970385.19,16160671.49,17522814.61,9237322.95,13915018.07
合同负债,,,,,,,,,,,,,,,8618543467.25,13058652246.11,12379125542.7,6864383635.25,11689880975.04,13459591156.56
应付职工薪酬,216890964.3,193361894.02,37475412.42,41710820.66,348244603.84,1063798296.81,1971327322.39,2329068193.83,2272260762.63,2387050259.07,2273948506.89,2566575608.48,2769295510.19,3594886729.81,3629524988.52,3335937141.3,3375526829.88,3872122436.43,4574708782.13,4319426136.5
应交税费,1367448489.35,941728762.87,827803261.9,1046110746.79,1582292614.6,2087153334.95,2780243294.14,2194188016.66,1097979258.65,1042400938.18,1091867750.03,2644725962.59,5080135497.74,7939166588.84,5542200330.67,5192183704.9,5301718185.93,6268458145.77,7287276026.82,2093071546.91
其他应付款,69842246.95,65927301.58,84204694.84,339959685.67,689020663.08,801788668.84,1394952635.38,1058057337.88,964097340.1,1279924101.98,1524627778.99,2343421664.52,2585355687.52,2292680733.51,2800763582.13,3693858108.21,4631434915.43,5385776903.69,16507125170.07,10185754419.34
一年内到期的非流动负债,,,,,,,,,,,,,,,,360027399.06,375682599.77,14512448.92,408675726.69,364149470.84
其他流动负债,,,,,,,,,,,,,,,1117452799.61,1688367639.42,1544723419.34,663723991.63,1056550277.52,27029072199.84
流动负债合计,2036455444.33,1942914142.93,2040483851.52,6263747969.98,10288335820.39,13409430780.33,13666976313.52,7042604818.15,5924940792.75,7967616901.23,13687886638.41,15968029113.73,20707815773.76,30034599308.1,25878939000.65,33615598257.01,35759145250.65,32683139984.65,51026506357.06,67351815353.24
租赁负债,,,,,,,,,,,,,,,,355338950.93,16976148.73,115722608.68,393922062.84,44381182.44
递延收益,,,,,,,,,145257768.02,227179736.73,280660735.09,280271916.52,267010618.22,266325368.4,255953368.36,257991368.32,254416864.75,253043325.37,242976829.32,307239518.79
递延所得税负债,61703.4,,,3880421.16,2152565.08,1538490.4,1731506.96,,,,,,,,,,94360946.95,31702578.88,194019722.26,100151115.86
非流动负债合计,2561703.4,2500000.0,,4880421.16,19063163.3,49721258.46,59589275.02,67612768.06,150849414.02,233857076.73,280660735.09,280271916.52,267010618.22,266325368.4,255953368.36,613330319.25,365753960.43,400468512.93,830918614.42,451771817.09
负债合计,2039017147.73,1945414142.93,2040483851.52,6268628391.14,10307398983.69,13459152038.79,13726565588.54,7110217586.21,6075790206.77,8201473977.96,13968547373.5,16248301030.25,20974826391.98,30300924676.5,26134892369.01,34228928576.26,36124899211.08,33083608497.58,51857424971.48,67803587170.33
股本,2711404800.0,3795966720.0,3795966720.0,3795966720.0,3795966720.0,3795966720.0,3795966720.0,3795966720.0,3795966720.0,3795966720.0,3795966720.0,3795966720.0,3881608005.0,3881608005.0,3881608005.0,3881608005.0,3881608005.0,3881608005.0,3881608005.0,3881608005.0
资本公积,953203468.32,953203468.32,953203468.32,953203468.32,953203468.32,953203468.32,953203468.32,953203468.32,953203468.32,953203468.32,953255757.17,953255757.17,2682647086.15,2682647086.15,2682647086.15,2682647086.15,2682647086.15,2682647086.15,2682647086.15,2682980307.4
盈余公积,1656708344.77,1803743654.97,1985197516.32,2318892624.67,2759520038.09,3368959934.78,4356977349.02,5678791405.48,7070005102.93,8172440644.01,9352029056.75,10909576690.57,13120411030.42,16092197023.01,19698525995.51,23866103395.72,28432482367.38,33588553502.81,39064267000.43,42948822868.25
未分配利润,2941826765.34,3016465972.27,4645699661.08,7206958728.18,10592343301.51,15001578576.23,22050450622.42,25664678173.2,27611203050.69,30407306733.79,32975478205.41,37675282021.74,43802603958.99,51634248548.06,59443191559.08,68638139859.37,79031159753.65,89405432446.55,87656759924.39,70418860054.34
