# 单位：元。🔴 两个口径**差一整年**，跨年比较前先对齐：「本年度宣派」= 该财政年度利润分配方案的分红总额（决策口径）；「当年实付」= 现金流量表「分配股利、利润或偿付利息支付的现金」（含付息，本公司无有息负债故≈纯分红），实际支付发生在宣派年度的**次年**。
科目,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
本年度宣派现金分红总额,,,,120000000.00,240629910.00,240468252.00,239804222.00,167584271.00,23461797.90,35192696.85
"宣派分红率(占当年归母净利,%)",,,,37.05,59.81,39.64,46.82,131.07,36.75,34.23
当年实付现金分红(现金流量表口径),8000000.00,74750000.00,45250000.00,40000000.00,120000000.00,240963742.73,240468252.00,239406102.00,167584271.00,23461797.90
当年实付对应的财政年度,,2016,2017,2018,2019,2020,2021,2022,2023,2024

# 上市以来股东回报 vs 股权融资（单位：元）
累计宣派现金分红(2019-2025年度),1067141149.75
累计回购并注销金额,67339829.00
累计股东回报合计,1134480978.75
累计股权融资净额(仅 IPO),1237580200.00
股东回报 ÷ 股权融资(%),91.67
# 注：上市至今仅 IPO 一次股权融资。2021 年度非公开发行预案虽于 2022-05-19 获证监会核准批复，但公司于 2023-04-28 公告终止，未实施【源·cninfo 公告 id=1216666782】。

# 宣派金额出处逐年备注
2019,"每10股派10元 × 120,000,000 股【源·2019年报利润分配预案】；2020 年实付 120,000,000.00 精确吻合"
2020,"每10股派20元 × 120,314,955 股【推·2020年报预案×年末股本】；2021 年实付 240,963,742.73（差异来自股权登记日股本口径）"
2021,【推·按 2022 年实付倒推】每10股派20元、扣回购专户差异化分红
2022,"【源·2025-04-30《2024年度利润分配方案公告》最近三年分红表】；2023 年实付 239,406,102.00"
2023,【源·2024-06-25《关于调整2023年度利润分配方案现金分红总额…的公告》】；2024 年实付同额
2024,【源·2025-04-30《2024年度利润分配方案公告》】；2025 年实付同额
2025,【源·2026-04-29《2025年度利润分配方案公告》】；2026H1 实付同额
