# 单位：元（毛利率为 %）；来源：各年年报「主营业务分产品/分地区情况」当年列；四重勾稽通过（分产品收入和=分地区收入和=主营业务收入；成本同理）。⚠️ 分产品口径逐年变动，2025 起「电池」并入「套件」，跨年比较见 重述与口径变更.csv
科目,2019,2020,2021,2022,2023,2024,2025
分产品-中置电机-营业收入,487860341.85,,,,,,
分产品-中置电机-营业成本,236932637.10,,,,,,
分产品-中置电机-毛利率(%),51.43,,,,,,
分产品-轮毂电机-营业收入,300888081.37,,,,,,
分产品-轮毂电机-营业成本,177188224.94,,,,,,
分产品-轮毂电机-毛利率(%),41.11,,,,,,
分产品-仪表-营业收入,101106551.55,,,,,,
分产品-仪表-营业成本,58285773.31,,,,,,
分产品-仪表-毛利率(%),42.35,,,,,,
分产品-控制器-营业收入,54987515.46,,,,,,
分产品-控制器-营业成本,33834154.94,,,,,,
分产品-控制器-毛利率(%),38.47,,,,,,
分产品-其他配套件-营业收入,165690523.64,,,,,,
分产品-其他配套件-营业成本,101528066.73,,,,,,
分产品-其他配套件-毛利率(%),38.72,,,,,,
分产品-电池-营业收入,85665867.21,77269875.37,106337194.99,179890683.83,129374204.27,135003671.05,
分产品-电池-营业成本,77225853.40,56788548.57,88350333.66,148119836.40,99093493.45,117380953.87,
分产品-电池-毛利率(%),9.85,26.51,16.91,17.66,23.41,13.05,
分产品-电踏车电机-营业收入,,980935963.53,1542310226.81,1367488170.16,743040036.11,591633271.89,580062431.91
分产品-电踏车电机-营业成本,,489754478.99,808715013.84,700101998.98,383864714.60,347302922.22,373893523.61
分产品-电踏车电机-毛利率(%),,50.07,47.56,48.80,48.34,41.30,35.54
分产品-套件-营业收入,,338593138.78,521465055.53,516029709.63,269708009.53,337732525.08,376916917.37
分产品-套件-营业成本,,232633084.24,364460236.45,350864093.90,176517066.27,250583494.83,255814165.71
分产品-套件-毛利率(%),,31.29,30.11,32.01,34.55,25.80,32.13
分产品-运费-营业收入,,,,,,,
分产品-运费-营业成本,,13416507.07,22543898.19,20105595.40,15652073.58,13796120.89,13351303.35
分产品-运费-毛利率(%),,,,,,,
分产品-一体轮电机-营业收入,,,475726545.91,781135191.41,499910813.98,288418537.05,370534116.79
分产品-一体轮电机-营业成本,,,456242416.45,739665056.85,496286778.78,294902922.73,356505542.17
分产品-一体轮电机-毛利率(%),,,4.10,5.31,0.72,-2.25,3.79
分地区-境内-营业收入,539419076.71,944441229.70,1730869733.51,1881271796.63,1099730931.52,936209899.15,1055504650.86
分地区-境内-营业成本,303673760.40,544286898.47,1199466400.34,1356702757.76,842375697.30,718705130.93,792957732.71
分地区-境内-毛利率(%),43.70,42.37,30.70,27.88,23.40,23.23,24.87
分地区-境外-营业收入,656779804.37,452357747.98,914969289.73,963271958.40,542302132.37,416578105.92,272008815.21
分地区-境外-营业成本,381320950.02,234889213.33,518301600.06,582048228.37,313386355.80,291465162.72,193255498.78
分地区-境外-毛利率(%),41.94,48.07,43.35,39.58,42.21,30.03,28.95
分地区-运费-营业收入,,,,,,,
分地区-运费-营业成本,,13416507.07,22543898.19,20105595.40,15652073.58,13796120.89,13351303.35
分地区-运费-毛利率(%),,,,,,,
主营业务收入(年报自述),1196198900.00,1396799000.00,2645839000.00,2844543800.00,1642033100.00,1352788000.00,1327513500.00
主营业务成本(年报自述),684994700.00,792592600.00,1740311900.00,1958856600.00,1171414100.00,1023966400.00,999564500.00
