# 单位：元；来源：report/八方股份/八方股份-2026-Q2.pdf（未经审计）；期间=半年度累计(1-6月)，非单季、非全年
科目,2026H1,2025H1
营业总收入,860912259.92,643391853.08
营业收入,860912259.92,643391853.08
营业总成本,737150296.22,608623900.10
营业成本,623727137.35,502824296.23
税金及附加,8114441.49,7348912.77
销售费用,21499716.08,22180117.53
管理费用,49368396.63,51289470.65
研发费用,30904434.94,27047799.64
财务费用,3536169.73,-2066696.72
其中：利息费用,130730.90,210871.22
其中：利息收入,1203972.01,1948106.94
其他收益,3447160.20,2210616.99
投资收益,9630026.28,9355805.43
公允价值变动收益,-331075.89,-536433.33
信用减值损失,-9090177.51,-3599297.83
资产减值损失,-2367907.10,-5371385.52
资产处置收益,-754374.52,14800.64
营业利润,124295615.16,36842059.36
营业外收入,10492.06,65166.17
营业外支出,1051078.43,75846.74
利润总额,123255028.79,36831378.79
所得税费用,15833538.03,4638636.17
净利润,107421490.76,32192742.62
归属于母公司股东的净利润,107290311.14,32192742.62
少数股东损益,131179.62,
其他综合收益的税后净额,-5226196.89,7589296.20
综合收益总额,102195293.87,39782038.82
基本每股收益,0.46,0.14
