# 单位：元；来源：report/八方股份/ 招股说明书(2016-2018) + 历年年报(2019-2025) 逐行解析；空=该期财报无此科目；数值一律取「当年年报的当年列」(as-reported)，被后续年报重述的格见 重述与口径变更.csv
科目,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
营业总收入,391713939.46,615406393.60,942100758.36,1196645496.93,1397194255.18,2647228671.03,2849963567.86,1647722871.51,1356816800.97,1336862464.04
营业收入,391713939.46,615406393.60,942100758.36,1196645496.93,1397194255.18,2647228671.03,2849963567.86,1647722871.51,1356816800.97,1336862464.04
营业总成本,,,673697789.45,825781769.53,954881140.84,1987177940.85,2229201803.35,1472782174.99,1268063790.20,1220846958.32
营业成本,238340947.37,358464151.48,570488468.90,684994710.42,792592618.87,1740311898.59,1960183221.22,1172162102.22,1025054832.00,1004073897.89
税金及附加,2280330.61,5410645.26,7487765.02,6427776.34,8681068.91,9823392.52,20878326.46,12695303.09,13817879.13,14203217.28
销售费用,17646742.60,26833449.37,41595817.71,56524861.90,58015600.13,84428118.25,102940072.91,117695466.20,50832685.29,46603199.92
管理费用,11783676.86,121331188.21,22887237.12,33109849.17,47686601.40,82888537.53,99478457.98,113216660.12,120830744.55,102251140.86
研发费用,13613897.70,22370885.14,30622421.04,43897830.25,47136721.63,80674190.53,84814618.39,89868605.33,82186112.79,57971388.96
财务费用,-920837.22,6189133.54,616079.66,826741.45,768529.90,-10948196.57,-39092893.61,-32855961.97,-24658463.56,-4255886.59
其中：利息费用,,,,,,1214493.01,1040022.75,699530.08,655483.84,350844.77
其中：利息收入,130993.13,578218.33,276909.09,910283.10,11603673.34,19178758.41,16857457.72,31247959.26,20381175.47,3701865.83
其他收益,,,522000.00,1734890.90,3334500.22,4235915.34,15976163.98,12081003.88,8489818.38,4718418.08
投资收益,1197124.12,463953.84,1941972.60,6095135.38,28609937.97,10422900.63,534921.98,9251548.52,7247575.58,15792809.13
公允价值变动收益,,,,,,64400.00,-20478410.96,,2046861.11,2263700.00
信用减值损失,,,,-3012886.98,-5174337.32,-17166606.48,3232597.51,-23958873.63,-17979479.59,-10233629.93
资产减值损失,-2777857.23,-1261857.30,-4418702.43,-496561.70,-991887.53,-1807715.15,-34442889.02,-35403652.11,-16465463.19,-12838902.19
资产处置收益,40.76,-18055.42,,,205560.86,21785.60,-26144.48,-109176.56,6479642.98,-122719.76
营业利润,107388489.19,73990981.72,266448239.08,375184305.00,468296888.54,655821410.12,585558003.52,136801546.62,78571966.04,115595181.05
营业外收入,1071528.26,6313293.99,4132417.41,2246416.87,3244462.29,49459471.67,5540677.32,4757442.85,4551038.47,199639.93
营业外支出,3808971.00,126944.47,6017.00,,300000.00,49389.18,183661.07,321030.13,555436.55,1784359.28
利润总额,104651046.45,80177331.24,270574639.49,377430721.87,471241350.83,705231492.61,590915019.77,141237959.34,82567567.96,114010461.70
所得税费用,15311927.44,26847643.14,38220665.39,53582564.43,68946505.07,98614215.76,78784786.11,13380616.27,18721746.22,11191139.19
净利润,89339119.01,53329688.10,232353974.10,323848157.44,402294845.76,606617276.85,512130233.66,127857343.07,63845821.74,102819322.51
归属于母公司股东的净利润,89339119.01,53329688.10,232353974.10,323848157.44,402294845.76,606617276.85,512130233.66,127857343.07,63845821.74,102819322.51
其他综合收益的税后净额,16740.72,46263.18,5939.61,-24460.26,1301045.40,-5913831.88,2369620.82,5209367.82,-2503210.24,4228469.15
综合收益总额,89355859.73,53375951.28,232359913.71,323823697.18,403595891.16,600703444.97,514499854.48,133066710.89,61342611.50,107047791.66
基本每股收益,2.98,0.85,2.58,3.50,3.35,5.04,4.27,0.76,0.27,0.44
非经常性损益合计,-1857246.18,-97674633.29,5601596.11,8562827.07,29777249.99,54522170.76,1077006.59,20895697.22,22576354.54,17214771.78
扣非归母净利润,91196365.19,151004321.39,226752377.99,315285330.37,372517595.77,552095106.09,511053227.07,106961645.85,41269467.20,85604550.73
