# 单位：元；来源：report/八方股份/八方股份-2026-Q2.pdf（未经审计）；期间=半年度累计(1-6月)
科目,2026H1,2025H1
销售商品、提供劳务收到的现金,795930304.64,603925710.83
收到的税费返还,8130096.39,9831155.42
收到其他与经营活动有关的现金,30476392.62,35984804.71
经营活动现金流入小计,834536793.65,649741670.96
购买商品、接受劳务支付的现金,682320199.37,407768670.47
支付给职工以及为职工支付的现金,93416450.00,87455929.01
支付的各项税费,28456676.72,30982460.34
支付其他与经营活动有关的现金,31556360.33,34764808.33
经营活动现金流出小计,835749686.42,560971868.15
经营活动产生的现金流量净额,-1212892.77,88769802.81
收回投资收到的现金,1768000000.00,1570000000.00
取得投资收益收到的现金,8912886.40,8294513.96
处置固定资产等收回的现金净额,67894.69,3456.65
收到其他与投资活动有关的现金,1127103.93,1746341.56
投资活动现金流入小计,1778107885.02,1580044312.17
购建固定资产等支付的现金,9614095.83,73129882.95
投资支付的现金,1900000000.00,1562000000.00
投资活动现金流出小计,1909614095.83,1635129882.95
投资活动产生的现金流量净额,-131506210.81,-55085570.78
吸收投资收到的现金,8000000.00,
筹资活动现金流入小计,8000000.00,
分配股利、利润或偿付利息支付的现金,35192696.85,23461797.90
支付其他与筹资活动有关的现金,1044066.55,1998089.99
筹资活动现金流出小计,36236763.40,25459887.89
筹资活动产生的现金流量净额,-28236763.40,-25459887.89
汇率变动对现金的影响,-5500324.45,3501217.42
现金及现金等价物净增加额,-166456191.43,11725561.56
期初现金及现金等价物余额,559551323.53,649157960.70
期末现金及现金等价物余额,393095132.10,660883522.26
