# 单位：元；来源：report/八方股份/ 招股说明书(2016-2018) + 历年年报(2019-2025) 逐行解析；空=该期财报无此科目；数值一律取「当年年报的当年列」(as-reported)，被后续年报重述的格见 重述与口径变更.csv
科目,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
销售商品、提供劳务收到的现金,427680136.32,644433932.75,984963292.60,1224182073.94,1397751175.38,2014613328.47,2372133299.95,1874971098.22,1381372059.16,1222308278.01
收到的税费返还,7683225.56,19658727.40,22611522.97,37228276.97,24446892.66,34130844.46,38198519.04,28173047.07,49456055.16,40379025.81
收到其他与经营活动有关的现金,2131067.26,6237933.51,4877137.41,14027653.00,8378345.21,5830462.72,25040520.14,19382861.24,34444377.20,35035852.66
经营活动现金流入小计,437494429.14,670330593.66,1012451952.98,1275438003.91,1430576413.25,2054574635.65,2435372339.13,1922527006.53,1465272491.52,1297723156.48
购买商品、接受劳务支付的现金,295024009.01,423608134.28,614615027.82,803224136.84,963653003.95,1352686893.17,1604305163.36,1015709991.57,944791184.34,811286826.86
支付给职工以及为职工支付的现金,23153289.08,36434540.23,47429999.64,66401450.40,86856553.10,149955151.72,216026372.35,213842160.69,205641767.38,164055550.93
支付的各项税费,16991180.70,45004292.65,68647103.78,78820410.85,94648061.90,124513329.45,172352693.97,56195385.54,62883559.58,55304255.92
支付其他与经营活动有关的现金,25172601.33,41653196.18,62911267.85,58474313.67,53970573.89,92479471.69,91884224.56,178374395.33,85975780.19,125078279.28
经营活动现金流出小计,360341080.12,546700163.34,793603399.09,1006920311.76,1199128192.84,1719634846.03,2084568454.24,1464121933.13,1299292291.49,1155724912.99
经营活动产生的现金流量净额,77153349.02,123630430.32,218848553.89,268517692.15,231448220.41,334939789.62,350803884.89,458405073.40,165980200.03,141998243.49
收回投资收到的现金,126400000.00,175000000.00,369000000.00,1138000000.00,2450000000.00,1080000000.00,301456700.00,445317500.00,1925529500.00,3060000000.00
取得投资收益收到的现金,1197124.12,463953.84,1941972.60,6095135.38,27488337.97,10422900.63,1326519.89,,6172792.96,15843571.50
处置固定资产等收回的现金净额,6000.00,54532.56,,,32711584.10,32501980.35,1234179.12,55450.90,21622650.36,14797156.18
收到其他与投资活动有关的现金,130993.13,578218.33,276909.09,910283.10,11603673.34,18839536.49,17892948.59,30091355.51,21773094.77,3527510.18
投资活动现金流入小计,127734117.25,176096704.73,371218881.69,1145005418.48,2521803595.41,1141764417.47,321910347.60,475464306.41,1975098038.09,3094168237.86
购建固定资产等支付的现金,1581024.73,1953472.12,36939812.21,26816036.60,112929145.23,226425350.84,268021776.59,287183075.51,114647958.85,92592577.86
投资支付的现金,126400000.00,175000000.00,369000000.00,2118000000.00,1470000000.00,1080000000.00,496456700.00,250317500.00,2715529500.00,3208000000.00
投资活动现金流出小计,127981024.73,176953472.12,405939812.21,2144816036.60,1582929145.23,1306425350.84,764478476.59,548584051.09,2830177458.85,3300592577.86
投资活动产生的现金流量净额,-246907.48,-856767.39,-34720930.52,-999810618.12,938874450.18,-164660933.37,-442568128.99,-73119744.68,-855079420.76,-206424340.00
吸收投资收到的现金,,18000000.00,,1254966037.55,25205848.65,,,,,
收到其他与筹资活动有关的现金,,,,,,,,2483500.00,1193156.00,
筹资活动现金流入小计,,18000000.00,,1254966037.55,25205848.65,,,2483500.00,1193156.00,
分配股利、利润或偿付利息支付的现金,8000000.00,74750000.00,45250000.00,40000000.00,120000000.00,240963742.73,240468252.00,239406102.00,167584271.00,23461797.90
支付其他与筹资活动有关的现金,,,2075471.67,14260377.20,1050000.00,9458839.38,79542586.90,14034820.43,14997521.41,7400289.02
筹资活动现金流出小计,8000000.00,74750000.00,47325471.67,54260377.20,121050000.00,250422582.11,320010838.90,253440922.43,182581792.41,30862086.92
筹资活动产生的现金流量净额,-8000000.00,-56750000.00,-47325471.67,1200705660.35,-95844151.35,-250422582.11,-320010838.90,-250957422.43,-181388636.41,-30862086.92
汇率变动对现金的影响,870799.60,-6650935.77,-690049.05,2132098.22,-7244501.75,-2723135.49,17344427.75,2575053.44,3000883.16,5681546.26
现金及现金等价物净增加额,69777241.14,59372727.16,136112102.65,471544832.60,1067234017.49,-82866861.35,-394430655.25,136902959.73,-867486973.98,-89606637.17
期初现金及现金等价物余额,52998570.51,122775811.65,182148538.81,318260641.46,789805474.06,1857039491.55,1774172630.20,1379741974.95,1516644934.68,649157960.70
期末现金及现金等价物余额,122775811.65,182148538.81,318260641.46,789805474.06,1857039491.55,1774172630.20,1379741974.95,1516644934.68,649157960.70,559551323.53
