科目,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
毛利率 Gross margin,0.39,0.42,0.39,0.43,0.43,0.34,0.31,0.29,0.24,0.25
净利率 Net margin,0.23,0.09,0.25,0.27,0.29,0.23,0.18,0.08,0.05,0.08
销售费用率 S&D exp ratio,0.05,0.04,0.04,0.05,0.04,0.03,0.04,0.07,0.04,0.03
管理/行政费用率 Admin exp ratio,0.03,0.20,0.02,0.03,0.03,0.03,0.03,0.07,0.09,0.08
研发费用率 R&D exp ratio,0.03,0.04,0.03,0.04,0.03,0.03,0.03,0.05,0.06,0.04
ROE(期末) Return on year-end equity,0.51,0.20,0.50,0.16,0.17,0.23,0.18,0.05,0.02,0.04
ROE(年均) Return on avg equity,,0.24,0.64,0.27,0.19,0.24,0.19,0.05,0.02,0.04
经营现金流/净利 OCF/Net profit,0.86,2.32,0.94,0.83,0.58,0.55,0.68,3.59,2.60,1.38
Capex/净利 Capex/Net profit,0.02,0.04,0.16,0.08,0.28,0.37,0.52,2.25,1.80,0.90
应收/营收 AR/Revenue,0.18,0.15,0.15,0.16,0.21,0.23,0.17,0.17,0.24,0.27
存货/营收 Inventory/Revenue,0.16,0.18,0.13,0.14,0.19,0.15,0.13,0.14,0.14,0.14
资产负债率 Liabilities/Total assets,0.40,0.42,0.33,0.13,0.19,0.24,0.20,0.18,0.16,0.17
归母/净利 Parent/Net profit,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
扣非净利率 Adj net margin,0.23,0.25,0.24,0.26,0.27,0.21,0.18,0.06,0.03,0.06
应收账款周转天数 AR turnover days,65.19,47.89,45.92,51.15,63.34,61.83,69.18,83.46,80.27,92.52
存货周转天数 Inventory turnover days,97.22,87.73,72.67,75.51,99.81,70.15,72.24,93.57,73.02,68.34
应付账款周转天数 AP turnover days,121.56,109.08,100.31,109.33,144.72,111.72,106.48,130.66,122.39,116.59
现金及金融资产/总资产 Cash&financial/TA,0.42,0.40,0.46,0.77,0.65,0.50,0.44,0.46,0.47,0.49
固定资产PPE/总资产 PPE/TA,0.06,0.04,0.03,0.01,0.01,0.06,0.13,0.16,0.26,0.23
存货/总资产 Inventory/TA,0.22,0.24,0.17,0.07,0.09,0.11,0.10,0.07,0.06,0.06
(应收+预付)/总资产 Receivables&prepay/TA,0.24,0.20,0.21,0.08,0.10,0.17,0.13,0.08,0.10,0.11
当年分红率 Payout ratio,0.09,1.40,0.19,0.12,0.30,0.40,0.47,1.87,2.62,0.23
境外营收占比(%),,,,54.91,32.39,34.58,33.86,33.03,30.79,20.49
电踏车电机销量(万台),,,,99.08,126.06,212.73,164.27,101.51,102.53,120.28
电踏车电机均价(元/台),,,,796.10,778.13,725.00,832.45,732.01,577.04,482.25
一体轮电机销量(万台),,,,,,286.05,413.52,305.60,189.96,251.38
一体轮电机均价(元/台),,,,,,166.31,188.90,163.59,151.83,147.40
一体轮电机毛利率(%),,,,,,4.10,5.31,0.72,-2.25,3.79
电踏车电机毛利率(%),,,,,50.07,47.56,48.80,48.34,41.30,35.54
类现金(货币+交易性金融资产+债权投资)占总资产(%),42.12,39.56,45.96,77.40,65.14,50.12,43.87,46.19,47.09,49.35
有息负债占总资产(%),0.00,0.00,0.00,0.00,0.00,0.31,0.15,0.20,0.17,0.05
