# 单位：元；来源：report/八方股份/八方股份-2026-Q2.pdf（未经审计）；时点=2026-06-30 期末 vs 2025-12-31 上年度末
科目,2026-06-30,2025-12-31
货币资金,439673657.64,774073298.73
交易性金融资产,971932624.11,740263700.00
应收票据,49088581.09,30655324.87
应收账款,512571125.92,356125506.88
应收款项融资,87769060.10,106655100.84
预付款项,19194888.63,14920803.65
其他应收款,6770327.96,5027269.09
存货,245280857.83,191454375.88
其他流动资产,10571778.40,13365199.29
流动资产合计,2447707422.23,2232540579.23
债权投资,,103707777.80
投资性房地产,102246797.82,90592447.13
固定资产,721385499.24,758719006.65
在建工程,307914.25,
使用权资产,4940891.35,6468156.02
无形资产,64113912.17,65896203.75
长期待摊费用,2790.61,34526.77
递延所得税资产,19937941.56,18471847.60
其他非流动资产,2166742.70,1965313.70
非流动资产合计,915102489.70,1045855279.42
资产总计,3362809911.93,3278395858.65
应付票据,63940541.28,140860804.45
应付账款,382515300.08,318167809.42
预收款项,1036345.15,1153399.33
合同负债,43011255.96,31469221.17
应付职工薪酬,15695977.19,21722284.19
应交税费,23976384.05,14792325.33
其他应付款,1834172.54,2961045.62
一年内到期的非流动负债,737619.92,1754147.99
其他流动负债,18957903.53,9830632.19
流动负债合计,551705499.70,542711669.69
租赁负债,4598795.78,3992235.91
预计负债,1359242.50,1441212.50
递延收益,1069636.48,1176600.10
非流动负债合计,7027674.76,6610048.51
负债合计,558733174.46,549321718.20
实收资本（股本）,234617979.00,234617979.00
资本公积,1208773876.82,1208773876.82
其他综合收益,-569880.39,4656316.50
盈余公积,82632245.80,82632245.80
未分配利润,1270491336.62,1198393722.33
归属于母公司所有者权益合计,2795945557.85,2729074140.45
少数股东权益,8131179.62,
所有者权益合计,2804076737.47,2729074140.45
负债和所有者权益总计,3362809911.93,3278395858.65
