# 单位：元；来源：report/八方股份/ 招股说明书(2016-2018) + 历年年报(2019-2025) 逐行解析；空=该期财报无此科目；数值一律取「当年年报的当年列」(as-reported)，被后续年报重述的格见 重述与口径变更.csv
科目,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
货币资金,122775811.65,182148538.81,318260641.46,789805474.06,1857039491.55,1775633452.12,1380149141.61,1543303904.09,694377033.87,774073298.73
交易性金融资产,,,,980000000.00,,64400.00,195079089.04,,692046861.11,740263700.00
应收票据,3447888.19,37310717.35,42402248.86,,79158551.73,124239413.12,162608961.24,75162388.53,33171653.18,30655324.87
应收账款,69957071.74,91527340.40,145507913.53,189905165.08,295049737.88,601888365.67,478377225.07,275186864.30,321594320.90,356125506.88
应收款项融资,,,,69041159.74,67088765.84,115600518.68,162430081.72,63581038.89,65576998.98,106655100.84
预付款项,605861.90,693851.42,527073.53,1870952.42,2618022.21,4688190.58,743362.01,1527514.68,2299453.23,14920803.65
其他应收款,1539748.14,974160.29,3516690.76,2757520.80,4054898.84,4138213.27,9238982.20,6300114.63,18516204.50,5027269.09
存货,63480724.22,108832575.54,118344573.80,165072578.35,268400341.09,400535976.54,375418444.31,225577005.20,184541639.32,191454375.88
其他流动资产,4499606.91,5283078.87,7683557.84,6825691.17,6009212.61,15893384.66,37216304.31,76825225.36,55977246.60,13365199.29
流动资产合计,266306712.75,426770262.68,636242699.78,2205278541.62,2579419021.75,3042681914.64,2801261591.51,2267464055.68,2068101411.69,2232540579.23
债权投资,,,,,,,,,101357777.80,103707777.80
投资性房地产,4608321.41,2564393.77,37170.01,,,,,,49815825.59,90592447.13
固定资产,16416078.72,18001135.38,19760701.23,25441056.01,33312793.43,200866066.41,458290637.65,536108359.36,836196755.25,758719006.65
在建工程,,,387523.56,18798185.16,189038396.02,221873847.70,193180746.44,408373807.12,6331085.43,
使用权资产,,,,,,22541686.30,17447519.61,12446827.14,10091278.65,6468156.02
无形资产,2185982.10,11701348.58,33725603.92,33694116.12,32135112.96,29073948.76,87483534.39,87426178.84,68270353.69,65896203.75
长期待摊费用,,,,,1150538.53,6217041.03,3720890.07,1470830.12,97999.33,34526.77
递延所得税资产,1469247.84,1185623.67,2038432.20,2767984.63,4538283.02,9586822.03,20650771.53,24565237.49,17632580.51,18471847.60
其他非流动资产,477950.00,160000.00,269348.00,565712.60,11039115.65,10063525.44,8339242.48,3517921.26,1707418.30,1965313.70
非流动资产合计,25157580.07,33612501.40,56218778.92,81267054.52,271214239.61,500222937.67,789113342.17,1073909161.33,1091501074.55,1045855279.42
资产总计,291464292.82,460382764.08,692461478.70,2286545596.14,2850633261.36,3542904852.31,3590374933.68,3341373217.01,3159602486.24,3278395858.65
短期借款,,,,,,3000000.00,,2490391.70,1198553.04,
应付票据,,,,,,,,107793953.57,89438910.70,140860804.45
应付账款,79376165.46,134869695.90,178693732.84,231671294.20,396846219.23,668546197.54,475100175.90,364132329.36,323285185.86,318167809.42
预收款项,17313353.64,29778324.64,23898333.76,31149958.39,,,,,1143784.00,1153399.33
合同负债,,,,,48516183.60,62398622.56,43172942.54,35652965.72,34595593.61,31469221.17
应付职工薪酬,5818093.22,7810662.57,10173281.17,14643772.66,15028130.24,27050416.06,27118869.91,24456185.06,18226930.36,21722284.19
应交税费,11295167.57,18728380.97,18112042.72,14605681.40,19247235.59,38056742.38,31020457.37,8270625.09,16222863.81,14792325.33
其他应付款,288904.64,240540.43,269014.93,11755930.35,12812040.04,5720324.93,19201197.99,10805203.66,3537783.07,2961045.62
一年内到期的非流动负债,,,,,,8094245.52,5538100.49,4061091.81,4098600.39,1754147.99
其他流动负债,,,,,22862112.71,41576552.12,97264774.38,21588860.99,15018171.75,9830632.19
流动负债合计,114091684.53,191427604.51,231146405.42,303826637.00,515311921.41,854443101.11,718974018.58,579251606.96,506766376.59,542711669.69
租赁负债,,,,,,13342504.74,10699018.06,8693770.52,5957435.62,3992235.91
预计负债,3653400.00,,,,,,,,,1441212.50
递延收益,,,,,,,1818381.82,1604454.58,1390527.34,1176600.10
递延所得税负债,,,,,,9660.00,300645.71,,,
非流动负债合计,3653400.00,,,,32433210.44,13352164.74,12818045.59,10298225.10,7347962.96,6610048.51
负债合计,117745084.53,191427604.51,231146405.42,303826637.00,547745131.85,867795265.85,731792064.17,589549832.06,514114339.55,549321718.20
实收资本（股本）,30000000.00,90000000.00,90000000.00,120000000.00,120314955.00,120304050.00,120297135.00,168118637.00,235013003.00,234617979.00
资本公积,,166935748.51,166935748.51,1374515937.19,1401651006.34,1413809833.32,1405740559.96,1350082602.75,1275726452.09,1208773876.82
减：库存股,,,,,,,82482131.07,74715805.17,67347599.27,
其他综合收益,-65828.36,-19565.18,-13625.57,-38085.83,1262959.57,-4650872.31,-2281251.49,2931057.59,427847.35,4656316.50
盈余公积,15000000.00,942782.44,23759741.54,56420733.52,60157477.50,60157477.50,60157477.50,74311457.18,74695916.84,82632245.80
未分配利润,128785036.65,11096193.80,180633208.80,431820374.26,719501731.10,1085489097.95,1357151079.61,1231095435.60,1126972526.68,1198393722.33
归属于母公司所有者权益合计,173719208.29,268955159.57,461315073.28,1982718959.14,2302888129.51,2675109586.46,2858582869.51,2751823384.95,2645488146.69,2729074140.45
所有者权益合计,173719208.29,268955159.57,461315073.28,1982718959.14,2302888129.51,2675109586.46,2858582869.51,2751823384.95,2645488146.69,2729074140.45
负债和所有者权益总计,291464292.82,460382764.08,692461478.70,2286545596.14,2850633261.36,3542904852.31,3590374933.68,3341373217.01,3159602486.24,3278395858.65
