"# 单位: 人民币千元(RMB'000), 当期六个月, 来源: 中报 YYYY-H1.pdf"
科目,2021-H1,2022-H1,2023-H1,2024-H1,2025-H1
收益 Revenue,15174757,16598761,20462425,22173084,25622201
销售成本 Cost of sales,-5933765,-6761083,-8152496,-9140616,-10165771
毛利 Gross profit,9240992,9837678,12309929,13032468,15456430
"其他收入及收益净额 Other income & gains, net",382387,751368,900521,1039655,807547
销售及分销开支 Selling & distribution exp,-3554032,-3611520,-4695318,-4971457,-5010696
行政开支 Administrative expenses,-662882,-876351,-958569,-913377,-1067728
其他开支 Other expenses,-55757,-9579,-2589,-5536,-127414
财务费用 Finance costs,-23930,-22341,-29670,-39438,-24563
除税前溢利 Profit before tax,5326778,6069255,7524304,8142315,10033576
所得税开支 Income tax expense,-1313860,-1460930,-1748883,-1902736,-2411494
母公司应占期内溢利 Profit attrib to parent,4012918,4608325,5775421,6239579,7622082
每股基本及摊薄盈利(元) Basic&diluted EPS,0.3600,0.4100,0.5100,0.5550,0.6770
