"# 单位: 人民币千元 (RMB'000), 流出/减项=负数, 来源: 招股书(2017-2019)+年报(2020-2025)"
科目,2017,2018,2019,2020,2021,2022,2023,2024,2025
除税前溢利 Profit before tax,4434970,4763238,6498760,6986253,9354300,11050332,15688202,15787858,20917593
物业厂房及设备折旧 Depreciation of PPE,1103867,1326057,1663650,1871177,2287083,2358940,2522236,2727727,3213368
使用权资产折旧 Depreciation of right-of-use assets,38096,52965,57753,41437,83123,119238,97774,135676,160179
无形资产摊销 Amortisation of intangible assets,17821,15719,12170,12834,7980,8747,11432,11298,19011
FVTPL公平值(收益)/亏损 Fair value (gains)/loss on FVTPL,-1779,14193,-35750,,-4754,-2289,,-9438,-45354
出售FVTPL金融资产收益 Gains on disposal of FVTPL,,,,,,,,-50952,-125904
出售物业厂房设备项目亏损/(收益) Loss/(gain) disposal of PPE,7343,7143,-35709,2361,9803,14456,5265,9737,18749
出售使用权资产收益 Gain on disposal of ROU,,-1631,,,,,,,
出售无形资产项目亏损 Loss on disposal of intangibles,,,,,,,199,,5
出售衍生工具收益 Gain on disposal of derivative instruments,,,,-3759,-7331,634,,,
利息收入 Interest income,-136760,-205513,-216933,-147893,-330656,-623360,-991247,-866098,-579671
贸易应收款项减值/(拨回) Impairment of trade receivables,4550,1643,5254,2903,11401,-3434,4169,2429,4413
存货减值 Impairment of inventories,,,,,,16372,,,82784
预付款项等减值/(拨回) Impairment of financial assets in prep,-706,5594,-9872,-960,-2654,-715,2158,2460,-2224
出售附属公司收益 Gain on disposal of subsidiaries,,,-1580,-1621,,,,,
损益确认的递延收益 Deferred income recognised in P&L,-19566,-24184,-30299,-45597,-23785,-25799,-20505,-24314,-30367
财务费用 Finance costs (add back),8381,4113,15525,78963,52945,76028,99735,91469,66899
以股权结算的股份支付开支 Equity-settled SBC expenses,,,156894,,,101793,25857,5516,76839
外汇亏损/(收益) Foreign exchange loss/(gain),,,,241604,115632,-386615,-46023,-75092,147298
经营资本变动前现金流 OP profit before working capital changes,5456217,5959337,8079863,9037702,11553087,12704328,17399252,17748276,23923618
存货增加 Increase in inventories,-339659,-463514,136590,-78113,-3776,-315514,-983357,-1921318,-916212
贸易应收款项(增加)/减少 (Inc)/dec in trade receivables,-75717,-30185,-92480,-118753,-130113,1123,-72603,-36780,-21192
预付款项等(增加)/减少 (Inc)/dec in prepayments etc,-206885,-574071,98485,104157,381622,-153,-177579,-530149,-164623
