"# 派生比率: 从一手三表计算, EPS/比率为小数"
科目,2017,2018,2019,2020,2021,2022,2023,2024,2025
毛利率 Gross margin,0.5608,0.5334,0.5541,0.5905,0.5946,0.5745,0.5955,0.5808,0.6053
净利率 Net margin,0.1936,0.1764,0.2062,0.2307,0.2412,0.2556,0.2831,0.2826,0.3019
销售费用率 S&D expense ratio,0.2796,0.2548,0.2421,0.2409,0.2436,0.2353,0.2176,0.2138,0.1865
行政费用率 Admin expense ratio,0.0491,0.0520,0.0576,0.0579,0.0590,0.0552,0.0507,0.0457,0.0467
ROE(期末) Return on year-end equity,0.3033,0.2505,0.5013,0.3406,0.3453,0.3527,0.4228,0.3755,0.4020
ROE(年均) Return on avg equity,,0.2824,0.4078,0.4160,0.3953,0.3790,0.4588,0.3984,0.4423
经营现金流/净利 OCF/Net profit,1.387,1.282,1.508,1.597,1.592,1.417,1.433,0.9092,1.332
Capex/净利 Capex/Net profit,0.6713,0.9239,0.6521,0.4237,0.3438,0.4936,0.3903,0.5284,0.4084
应收/营收 AR/Revenue,0.0111,0.0109,0.0127,0.0156,0.0160,0.0144,0.0128,0.0136,0.0114
存货/营收 Inventory/Revenue,0.0825,0.0931,0.0734,0.0789,0.0609,0.0634,0.0725,0.1169,0.1112
资产负债率 Liabilities/Total assets,0.3283,0.3119,0.4447,0.4009,0.3695,0.3865,0.4185,0.3926,0.3943
