"# 单位: 人民币千元 (RMB'000), 资产负债权益全部正数, 来源: 招股书(2017-2019)+年报(2020-2025)"
科目,2017,2018,2019,2020,2021,2022,2023,2024,2025
"物业、厂房及设备 Property, plant and equipment",8930732,11088681,12314346,12591585,12800140,15397585,17179628,21083239,24719336
使用权资产 Right-of-use assets,546377,599817,656421,694565,724242,853488,946979,1026650,1262195
无形资产 Intangible assets,36037,63676,59841,57885,65104,58077,74222,71557,80894
递延税项资产 Deferred tax assets,212946,340767,372789,314633,293090,433105,921333,1087893,1346932
长期银行存款 Long-term bank deposits,,,,,1121461,4101670,1510722,10630882,11087643
质押存款(非流动) Pledged deposits (non-current),,,,,,,,,20000
其他非流动资产 Other non-current assets,39734,16012,20738,9105,56405,49435,42831,188217,88574
非流动资产总额 Total non-current assets,9765826,12108953,13424135,13667773,15060442,20893360,20675715,34088438,38605574
存货 Inventories,1442450,1906335,1762103,1805454,1809230,2108372,3091729,5013047,5846475
贸易应收款项及应收票据 Trade and bills receivables,194069,222651,306003,357564,476276,478587,547021,581372,598151
预付款项、其他应收款项及其他资产 Prepayments etc,568991,1165323,1021088,909741,558169,560307,694778,1218292,1377874
结构性存款(流动·招股书口径) Structured deposits (cur),2035000,3600000,200000,,,,,,
受限资金/质押存款(流动) Restricted cash / Pledged dep,48959,5634,,,3648,3059,2677,7677,8126
现金及现金等价物(招股书口径) Cash & cash equivalents,2562883,1763664,1083142,,,,,,
现金及银行结余 Cash and bank balances,,,,9118880,14783577,15211156,24125210,10722048,11177574
FVTPL金融资产(流动) Financial assets at FVTPL (current),4415,177438,,,204754,,,1529438,7555354
流动资产总额 Total current assets,6856767,8841045,4372336,12191639,17835654,18361481,28461415,19071874,26563554
贸易应付款项及应付票据 Trade and bills payables,821043,837328,791462,881800,1153133,1425069,1770098,1499397,1654233
其他应付款项及应计费用 Other payables and accruals,1991760,2604345,2855079,3322040,4487638,6505820,9288983,9543746,11961882
合约负债 Contract liabilities,1578017,1995570,2077549,2247323,2350952,2677190,3584921,3565558,4194560
衍生金融工具(流动负债) Derivative financial instruments,,,,7331,,,,,
计息借贷(流动) Interest-bearing borrowings (current),50066,,1000000,2413957,2500108,2425093,3120619,3625433,4390000
租赁负债(流动) Lease liabilities (current),21259,29027,5941,14068,46721,68678,58030,55705,61838
应付税项 Tax payables,734541,697127,711435,938127,1050359,1499579,2053907,1694898,2560299
流动负债总额 Total current liabilities,5196686,6163397,7441466,9824646,11588911,14601429,19876558,19984737,24822812
流动资产/(负债)净额 Net current assets/(liabilities),1660081,2677648,-3069130,2366993,6246743,3760052,8584857,-912863,1740742
总资产减流动负债 Total assets less current liabilities,11425907,14786601,10355005,16034766,21307185,24653412,29260572,33175575,40346316
递延收益 Deferred income,229166,208927,248088,267272,264550,291420,303061,319404,359322
递延税项负债 Deferred tax liabilities,138,145281,194628,233907,257697,246737,355356,503098,476153
租赁负债(非流动) Lease liabilities (non-current),31135,16628,30421,41305,43304,31179,31250,65909,40861
非流动负债总额 Total non-current liabilities,260439,370836,473137,542484,565551,569336,689667,888411,876336
资产净额 Net assets,11165468,14415765,9881868,15492282,20741634,24084076,28570905,32287164,39469980
股本 Share capital,360000,360000,360000,1124647,1124647,1124647,1124647,1124647,1124647
储备 Reserves,10767435,14011546,9521868,14367635,19616987,22959429,27446258,31162517,38345333
母公司拥有人应占权益 Equity attrib to parent,11127435,14371546,9881868,15492282,20741634,24084076,28570905,32287164,39469980
非控股权益 Non-controlling interests,38033,44219,,,,,,,
权益总额 Total equity,11165468,14415765,9881868,15492282,20741634,24084076,28570905,32287164,39469980
