# 分众传媒 中报关键数据跟踪 · 单位:元 · 源=2026年半年度报告(report/分众传媒/分众传媒-2026-Q2.pdf P7-8摘要·P15-16收入构成与非主营·P48合并资产负债表) · 年度数据以年报建库为准(利润表.csv等)
# 2026H1剪刀差:归母+17.39%全靠非经常8.38亿——P16非主营分析实证:处置长期股权投资投资收益5.74亿(=数禾清仓·对价7.91亿等于减值后账面,损益主要为权益法历史累计权益变动随清仓转入)+政府补助2.75亿;扣非-7.06%才是主业真实脉搏
# 分行业为楼宇及其他+影院两块加总(同分部营收.csv口径)
科目,2025H1,2026H1
分产品:楼宇媒体,5631770993.49,5628815097.39
分产品:影院媒体,468517413.09,345354769.81
分产品:其他媒体及其他,12068298.52,17205761.97
分产品:楼宇媒体毛利率(%),67.08,69.77
分行业:日用消费品,3400381785.12,2899124059.32
分行业:互联网,985031657.64,1655233827.36
分行业:交通,411753306.61,322295701.98
分行业:娱乐及休闲,359292549.06,286323432.30
分行业:房产家居,192117219.31,290285254.78
分行业:商业及服务,241473415.82,231090090.63
分行业:通讯,326499517.33,151912828.19
分行业:杂类,195807254.21,155110434.61
营业收入,6112356705.10,5991375629.17
归母净利润,2664779621.19,3128055743.26
扣非归母净利润,2464564464.89,2290530695.17
非经常性损益合计,,837525048.09
其中:非流动资产处置损益,,576152450.02
其中:政府补助,,275260206.02
经营活动现金流量净额,3401989747.90,4453428032.40
基本每股收益(元/股),0.1845,0.2166
加权平均ROE(%),14.52,20.44
期末总资产,,22458013067.66
期末归母净资产,,13990395374.43
期末应收账款,,2694229783.09
期末其他应收款,,260823843.90
期末长期股权投资,,86857783.21
期末交易性金融资产,,6781697675.41
期末在建工程,,209230397.49
中期分红(每10股0.50元·拟派总额),,722109986.30
