# 分众传媒 分部营收 2014-2025 · 单位:元 · 各年年报自家当年数(铁律:严禁次年比较列反推) · 2012-2013分部⏳待补(重组报告书第十节可深挖)
# 分行业=公司整体(2020-2025年报按楼宇/影院分块披露·此处两块加总);2019年报调整行业分类(互联网扩围)→2019前后行业数不可比;2017年报将卖场从其他重分类进楼宇(2016起口径·本表2014-2016用当年原口径)。
科目,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
分产品:楼宇媒体,,,6155923415.43,6945208130.70,7847007319.59,9383457076.50,12075911151.93,10049430049.66,11575707549.15,13617777775.34,8875457981.73,11118911514.24,11549203221.76,12034145652.02
分产品:影院媒体,,,956099202.39,1353174988.14,2044164023.29,2333135373.83,2381757656.89,1982712837.80,478495613.17,1172677441.06,537556380.42,769249476.21,688995692.04,639146316.01
分产品:其他媒体及其他,,,385233800.97,329028442.77,321962948.85,296960735.09,93616323.91,103805163.45,42902890.44,45967720.29,11944781.07,15563928.53,23903894.08,85404574.13
分产品:楼宇媒体毛利率(%),,,,73.96,74.50,76.70,70.09,47.76,64.13,71.00,58.70,65.86,66.10,69.96
分产品:影院媒体毛利率(%),,,,62.19,60.57,57.62,48.60,33.70,,,,,,
分行业:日用消费品,,,2403385006.02,2132564307.03,2083633637.45,2373354604.80,3412807277.01,4196555158.78,4497861171.07,6330819073.76,5201673312.21,6693631766.68,7590799882.48,6364792058.29
分行业:互联网,,,1221876003.06,2077380979.77,2639812451.90,2745654163.50,2884027740.63,2490799136.48,3336081553.67,4227454268.17,1106850365.14,1398816822.97,1132803281.11,3242259897.57
分行业:交通(2015-2018年报称汽车),,,1478385903.71,1397005208.91,1395043365.86,1723802741.08,2172501105.20,1568126381.76,1103767961.16,820180981.14,601942070.97,866799142.28,821260986.33,733203821.34
分行业:通讯,,,526359101.32,765242642.70,1293916665.70,1513597467.77,2169338621.43,359934445.81,397525546.32,381771068.45,245617691.33,608358861.53,592708007.03,443208589.19
分行业:房产家居,,,443465101.10,414666155.19,839819351.22,1034928478.08,1039971578.76,765866684.80,621140317.21,590603381.14,758693509.68,660311692.33,585569863.59,388016471.27
分行业:娱乐及休闲,,,366556100.92,607669968.80,522776512.68,867504984.77,1022719880.36,991364896.79,784875631.59,1127108630.69,633296453.82,823215973.32,639378874.10,717167977.97
分行业:商业及服务,,,395570800.99,471000203.58,534816750.61,711827981.84,921010561.11,1085300893.86,617382734.24,730610253.97,471106154.68,486603897.96,475664266.75,470167065.92
分行业:杂类/其他,,,661658401.67,761882095.63,903315556.31,1042882763.58,928908368.23,678000452.63,738471137.50,627875279.37,405779585.39,365986761.91,423917646.49,399880660.61
分地区:华东,,,2570898806.44,3051552899.42,3675341845.40,4324139126.23,5296244219.43,4252010385.25,4201684821.62,5145053499.00,3051630598.22,4130013185.13,4173396279.04,4260052132.36
分地区:华南,,,1373040303.44,1590136416.48,1993782038.30,2401166438.10,2881783497.74,2561653803.44,2406792040.34,2995964039.55,1775343947.73,2259585545.68,2318076278.61,2382509450.02
分地区:华北,,,1596866704.00,2042496461.70,2280610750.76,2509591685.85,3082088247.60,2310578703.15,2389040867.55,2626235391.12,1679844752.09,2067148924.22,2101791862.38,2128134628.35
分地区:西南,,,872542102.19,900863796.06,1038789393.09,1200124498.96,1526951049.49,1377132522.21,1411560646.31,1809525495.86,1120341692.25,1376164931.14,1460015984.81,1500686158.45
分地区:华中,,,523164301.31,611497390.81,705747944.66,830100863.85,1053874395.93,984579092.35,875213645.80,1281719608.51,936373456.46,1097750381.76,1189067481.37,1188912444.66
分地区:其他(含境外),,,560744201.41,430864597.14,518862319.52,748430572.43,710343722.54,649993544.51,812814031.14,977924902.65,861424696.47,973061951.05,1019754921.67,1298401728.32
