# 分众传媒 合并利润表 2012-2025 · 单位:元 · 2012-2013源自重组报告书(万元×10000·模拟合并) · 2014源自2015年报比较列 · 2015-2025各年年报本年列
# 2012-2018资产减值损失在营业总成本内(正数);2019+移营业利润上方(负数)。扣非/非经常/政府补助=年报披露值(2012推导)。
科目,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
营业总收入,6172049300.00,6674514200.00,7497256418.79,8627411561.61,10213134291.73,12013553185.42,14551285132.73,12135948050.91,12097106052.76,14836422936.69,9424959143.22,11903724918.98,12262102807.88,12758696542.16
营业收入,6172049300.00,6674514200.00,7497256418.79,8627411561.61,10213134291.73,12013553185.42,14551285132.73,12135948050.91,12097106052.76,14836422936.69,9424959143.22,11903724918.98,12262102807.88,12758696542.16
营业总成本,4435938300.00,4528692800.00,4922020443.04,5129152063.37,5910744473.92,6251124475.21,8626935536.11,9893074349.39,7320906014.47,7977891159.88,6322813794.24,6980347772.80,7182957152.13,7053418574.00
营业成本,1960978200.00,1992037400.00,2234473955.62,2539763220.91,3019106728.34,3276730966.20,4916492040.02,6649604127.87,4446949111.19,4816882123.50,3797381885.69,4109241760.63,4136938836.74,3765853344.17
税金及附加,299835300.00,311321100.00,269945051.96,310465362.11,359170361.47,398232001.35,431918450.07,282860611.36,63435693.29,79551730.78,178335712.41,235861505.44,245025908.94,256745996.89
销售费用,1671083000.00,1848928800.00,1901801646.94,1729332379.20,1944385090.40,1997531387.85,2331004250.64,2256255903.67,2150276113.07,2658293987.33,1779172318.91,2203398051.69,2267557609.14,2423506017.24
管理费用,552856800.00,461591700.00,539307920.46,436324004.60,469217823.34,525970044.69,412197245.38,576072150.24,684306297.03,502538615.01,608929128.26,442922876.07,501304862.47,554288552.49
研发费用,,,,,,,228938370.62,147971437.22,102544615.76,89308345.41,68957035.52,61855535.44,50204661.02,53143884.48
财务费用,-130155200.00,-127979900.00,-177407116.83,-129330393.90,-142063223.63,-128343374.78,-93655308.74,-19689880.97,-126605815.87,-168683642.15,-109962286.55,-72931956.47,-18074726.18,-119221.27
利息费用(财务费用内),,,,,,,48197112.27,56111184.55,45916923.94,106995952.27,115397942.41,129262578.50,135839562.73,110278608.26
利息收入(财务费用内),,,,,,,142156448.99,78309143.64,177555334.79,279391018.11,228421146.24,204584802.26,156929887.11,116877907.32
资产减值损失(营业总成本内),81340200.00,42793800.00,153898984.89,242597490.45,260927694.00,181003449.90,400040488.12,,,,,,,
其他收益,,,,,,735607758.11,872485667.18,722900777.89,301162100.68,585952387.67,715046015.40,455755475.51,488887104.59,309036083.58
投资收益,,,,-657407.87,73972.14,748797400.51,168343627.00,218134401.99,309708528.94,268165423.34,555455044.65,411128957.44,706613572.79,207514023.46
其中:联营合营企业投资收益,,,,-657407.87,73972.14,-5325411.62,-27940285.93,96231769.65,187530949.33,265413246.00,300962585.69,278633889.16,498359873.04,55665700.33
公允价值变动收益,,,,,,,,-57487154.14,46996615.07,263280563.96,-493612166.65,-4337084.25,-96800269.43,-165758137.89
信用减值损失,,,,,,,,-739926918.51,-369525588.81,-164826491.34,-387508635.97,47575426.44,-130765540.28,-18706921.39
资产减值损失,,,,,,,,,14471973.38,-71081114.97,16167929.32,-38683604.22,-10181416.56,-2148124928.59
资产处置收益,,,,,,-2689647.80,-11891085.06,-20479112.11,1025349.94,4988122.24,-876887.50,-3292390.40,4078523.04,3173947.73
营业利润,1736111000.00,2145821300.00,2575235975.75,3497602090.37,4302463789.95,7244144221.03,6953287805.74,2366015696.64,5080039017.49,7745010667.71,3506816648.23,5791523926.70,6040977629.90,3892412035.06
营业外收入,157944100.00,251142800.00,384303225.21,477214197.96,1040064132.81,3853461.45,4493112.46,995180.69,12192911.03,4105630.97,3917219.78,10411802.69,8895386.40,8313019.49
营业外支出,14703100.00,5142400.00,11251242.68,6860603.94,26270280.46,16273125.59,15848651.11,18845893.98,44859619.20,16262867.57,11126632.23,8855885.10,11658061.37,10992294.24
利润总额,1879352100.00,2391821700.00,2948287958.28,3967955684.39,5316257642.30,7231724556.89,6941932267.09,2348164983.35,5047372309.32,7732853431.11,3499607235.78,5793079844.29,6038214954.93,3889732760.31
所得税费用,553572400.00,314013100.00,531169769.85,582182844.02,868404108.03,1258329392.71,1149705092.58,493085869.93,1046476547.45,1621225875.25,660404766.64,993463126.29,966607523.39,969718130.90
净利润,1325779700.00,2077808600.00,2417118188.43,3385772840.37,4447853534.27,5973395164.18,5792227174.51,1855079113.42,4000895761.87,6111627555.86,2839202469.14,4799616718.00,5071607431.54,2920014629.41
持续经营净利润,,,,,,6029540627.77,5798740519.55,1867591123.24,4000895761.87,6111627555.86,2839202469.14,4799616718.00,5071607431.54,2920014629.41
终止经营净利润,,,,,,-56145463.59,-6513345.04,-12512009.82,0,0,0,0,0,0
归母净利润,1338829500.00,2076938600.00,2414829929.04,3389142023.94,4451211722.61,6004706786.08,5822974766.98,1875276692.44,4003835613.29,6063162192.53,2789952461.91,4827101718.50,5155394136.42,2946332500.88
少数股东损益,-13049900.00,870000.00,2288259.39,-3369183.57,-3358188.34,-31311621.90,-30747592.47,-20197579.02,-2939851.42,48465363.33,49250007.23,-27485000.50,-83786704.88,-26317871.47
基本每股收益(元/股·各年报口径·转增/回购未追溯不可比),4.60,7.13,7.99,7.55,0.52,0.49,0.4,0.13,0.28,0.42,0.19,0.33,0.36,0.2
扣非归母净利润(披露),1227355900.00,1884818700.00,2124651698.20,3069331836.65,3631698548.22,4851996085.18,5025532327.24,1282022237.62,3646173547.71,5413868941.52,2394252544.09,4373844125.99,4667987379.70,2719391993.26
非经常性损益合计(披露),111473600.00,192119900.00,290178230.84,319810187.29,819513174.39,1152710700.90,797442439.74,593254454.82,357662065.58,649293251.01,395699917.82,453257592.51,487406756.72,226940507.62
其中:政府补助计入当期损益(披露),128922700.00,247986800.00,367938563.30,470427666.35,1036645852.32,735607758.11,854450230.60,722900777.89,301162100.68,585952387.67,715046015.40,455755475.51,488887104.59,309036083.58
