# 分众传媒 合并现金流量表 2012-2025 · 单位:元 · 流出/减项=负数 · 血缘同利润表
# 2021+新租赁准则:租金支付主要在'支付其他与筹资活动有关的现金'(此前在经营活动)。
科目,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
销售商品、提供劳务收到的现金,6212102400.00,7140116400.00,7975362630.03,9243726853.61,10937682296.01,12369216727.90,13357771387.90,13219778408.34,13150401416.36,16129570704.43,11304756748.46,12332307453.36,11968041064.12,12249891921.84
收到的税费返还,,,,,,,,,35600323.85,0,,,,
收到其他与经营活动有关的现金,1046222900.00,1358157900.00,648405749.95,823470775.94,1373559965.63,846012789.57,1369375099.40,817305233.76,357920348.71,736202353.55,918390226.40,778948232.32,575798459.32,613359279.95
经营活动现金流入小计,7258325200.00,8498274400.00,8623768379.98,10067197629.55,12311242261.64,13215229517.47,14727146487.30,14037083642.10,13543922088.92,16865773057.98,12223146974.86,13111255685.68,12543839523.44,12863251201.79
购买商品、接受劳务支付的现金,-1693402600.00,-1871843400.00,-2190589176.13,-2466951629.12,-3108284754.73,-3275556431.51,-4479481592.37,-4492202141.26,-3139513684.51,-758814368.95,-188216996.16,-189759552.95,-218167279.36,-125617577.37
支付给职工以及为职工支付的现金,-475891500.00,-528089900.00,-663898762.39,-1001990460.90,-886207952.34,-939377376.61,-1166170413.15,-1637587271.96,-1120417014.67,-1213435894.64,-1121961481.59,-903453814.60,-1000314479.16,-1034560064.69
支付的各项税费,-928327900.00,-1370806100.00,-1799130571.66,-2221042875.66,-1760317239.43,-2017450841.87,-2160718724.02,-1448464980.80,-1330294335.17,-2001622381.96,-1890037455.81,-1618454404.99,-1679204033.46,-1639950451.35
支付其他与经营活动有关的现金,-1615149300.00,-1758538900.00,-1452985179.75,-1746758848.99,-1756420272.44,-2826590262.42,-3137933612.64,-3028959377.69,-2730285377.85,-3301483522.83,-2323970015.82,-2721591159.54,-3004342540.94,-2854309678.57
经营活动现金流出小计,-4712771400.00,-5529278300.00,-6106603689.93,-7436743814.67,-7511230218.94,-9058974912.41,-10944304342.18,-10607213771.71,-8320510412.20,-7275356168.38,-5524185949.38,-5433258932.08,-5902028332.92,-5654437771.98
经营活动产生的现金流量净额,2545553900.00,2968996100.00,2517164690.05,2630453814.88,4800012042.70,4156254605.06,3782842145.12,3429869870.39,5223411676.72,9590416889.60,6698961025.48,7677996753.60,6641811190.52,7208813429.81
收回投资收到的现金,,,,,24830657.45,,340971270.67,69773295.35,346750629.69,815634780.83,732106699.98,3604408979.39,3090446060.19,2902622962.05
取得投资收益收到的现金,,,,,,74780861.38,129660961.49,125575436.91,146837532.86,79194038.86,190230746.23,130402617.53,113331238.70,72541835.92
处置固定资产、无形资产和其他长期资产收回的现金净额,608700.00,2399000.00,437661.72,3495966.90,225367.24,839330.35,6771879.91,1665738.46,2622881.37,4381546.88,767392.37,748830.99,1505253.16,2369184.36
处置子公司及其他营业单位收到的现金净额,,,,,,23534267.15,,,145667.60,0,,,,
收到其他与投资活动有关的现金,,,,3457119134.75,200000000.00,13569040000.00,12296370000.00,10593305239.27,8826448436.41,4442460000.00,16969584579.77,24976831514.83,29470340000.00,26222050495.43
投资活动现金流入小计,608700.00,2399000.00,437661.72,3460615101.65,225056024.69,13668194458.88,12773774112.07,10790319709.99,9322805147.93,5341670366.57,17892689418.35,28712391942.74,32675622552.05,29199584477.76
购建固定资产、无形资产和其他长期资产支付的现金,-109091800.00,-112284100.00,-103463698.44,-92819426.83,-94956319.61,-263317968.65,-1708830799.68,-342638318.42,-61129824.87,-249947082.71,-95172410.27,-273311792.80,-318344915.55,-157001279.43
投资支付的现金,-18484000.00,,-25000000.00,-465232161.20,-802976667.00,-971710296.00,-1241255729.77,-798473732.48,-3270722737.50,-1123743579.66,-2501523024.69,-984996800.00,-2917205221.83,-752419999.98
取得子公司及其他营业单位支付的现金净额,,,,-3523906773.00,-9704000.00,,,-15572398.43,,,,-34490452.81,-70858086.57,
支付其他与投资活动有关的现金,-255940000.00,-1942105300.00,-3013871.59,,-2222600000.00,-14470140000.00,-11206523316.31,-11215347186.88,-7949469910.00,-6397718302.83,-18204983987.33,-25696070000.00,-26760340000.00,-27890650495.43
投资活动现金流出小计,-383515800.00,-2054389300.00,-131477570.03,-4081958361.03,-3130236986.61,-15705168264.65,-14156609845.76,-12372031636.21,-11281322472.37,-7771408965.20,-20801679422.29,-26988869045.61,-30066748223.95,-28800071774.84
投资活动产生的现金流量净额,-382907100.00,-2051990300.00,-131039908.31,-621343259.38,-2905180961.92,-2036973805.77,-1382835733.69,-1581711926.22,-1958517324.44,-2429738598.63,-2908990003.94,1723522897.13,2608874328.10,399512702.92
吸收投资收到的现金,,33131700.00,,8394000.00,4862627464.35,33286617.58,40235965.50,90742082.32,2664050.00,5166275.49,5899033.01,25341573.10,32288481.88,126169565.99
取得借款收到的现金,,,,,652078000.00,1196855748.00,47455135.66,83698948.48,100000000.00,29248318.22,,67249044.77,108621129.28,262526548.64
收到其他与筹资活动有关的现金,,,,,,776327439.57,,,,70099652.05,,,70000000.00,
其中:子公司吸收少数股东投资收到的现金,,,,8394000.00,1830000.00,33286617.58,40235965.50,90742082.32,2664050.00,5166275.49,5899033.01,25341573.10,32288481.88,126169565.99
