# 分众传媒 派生比率 2012-2025 · 通用底=scripts/derived.py · 定制层=本脚本 · 比率为小数(0.6996=69.96%)标(%)行除外
"# A股分红现金流行含付息→当年分红率略偏高;2012-2015权益基数受借壳前大额分红/重组影响,ROE异常高属口径现象。"
科目,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
毛利率 Gross margin,0.6823,0.7015,0.7020,0.7056,0.7044,0.7272,0.6621,0.4521,0.6324,0.6753,0.5971,0.6548,0.6626,0.7048
净利率 Net margin,0.2148,0.3113,0.3224,0.3924,0.4355,0.4972,0.3981,0.1529,0.3307,0.4119,0.3012,0.4032,0.4136,0.2289
销售费用率 S&D exp ratio,0.2708,0.2770,0.2537,0.2004,0.1904,0.1663,0.1602,0.1859,0.1778,0.1792,0.1888,0.1851,0.1849,0.1899
管理/行政费用率 Admin exp ratio,0.0896,0.0692,0.0719,0.0506,0.0459,0.0438,0.0283,0.0475,0.0566,0.0339,0.0646,0.0372,0.0409,0.0434
研发费用率 R&D exp ratio,,,,,,,0.0157,0.0122,0.0085,0.0060,0.0073,0.0052,0.0041,0.0042
ROE(期末) Return on year-end equity,0.2257,0.4114,0.4343,0.7370,0.5570,0.5789,0.4100,0.1361,0.2353,0.3299,0.1646,0.2728,0.3028,0.2068
ROE(年均) Return on avg equity,,0.3783,0.4553,0.6673,0.7071,0.6540,0.4739,0.1340,0.2600,0.3426,0.1579,0.2787,0.2970,0.1884
经营现金流/净利 OCF/Net profit,1.9200,1.4289,1.0414,0.7769,1.0792,0.6958,0.6531,1.8489,1.3056,1.5692,2.3595,1.5997,1.3096,2.4688
Capex/净利 Capex/Net profit,0.0823,0.0540,0.0428,0.0274,0.0213,0.0441,0.2950,0.1847,0.0153,0.0409,0.0335,0.0569,0.0628,0.0538
应收/营收 AR/Revenue,0.2830,0.2867,0.2713,0.2529,0.2117,0.2481,0.3315,0.3436,0.2992,0.2008,0.1562,0.1530,0.1904,0.2798
存货/营收 Inventory/Revenue,,,,,,0.0006,0.0002,0.0003,0.0004,0.0007,0.0014,0.0008,0.0007,0.0005
资产负债率 Liabilities/Total assets,0.3310,0.3312,0.3566,0.6212,0.3278,0.3212,0.2431,0.2505,0.2021,0.2689,0.3147,0.2594,0.2403,0.2771
归母/净利 Parent/Net profit,1.0098,0.9996,0.9991,1.0010,1.0008,1.0052,1.0053,1.0109,1.0007,0.9921,0.9827,1.0057,1.0165,1.0090
扣非净利率 Adj net margin,0.1989,0.2824,0.2834,0.3558,0.3556,0.4039,0.3454,0.1056,0.3014,0.3649,0.2540,0.3674,0.3807,0.2131
应收账款周转天数 AR turnover days,103.2840,100.0826,96.1028,89.1801,77.6132,78.1132,97.8682,135.2306,117.4984,81.1573,86.1886,50.4941,61.8449,84.4579
存货周转天数 Inventory turnover days,,,,,,0.7795,0.3678,0.1949,0.3595,0.5626,1.1373,1.0104,0.7781,0.6839
应付账款周转天数 AP turnover days,16.8319,19.3298,19.7482,22.1521,21.5299,22.4923,24.2796,27.1779,42.0995,25.0392,16.5455,12.2197,10.2471,8.8294
现金及金融资产/总资产 Cash&financial/TA,0.6545,0.5687,0.5519,0.2541,0.3665,0.2527,0.1930,0.3319,0.2867,0.3028,0.3145,0.3635,0.2711,0.3737
固定资产PPE/总资产 PPE/TA,0.0440,0.0473,0.0377,0.0241,0.0220,0.0226,0.0939,0.0846,0.0535,0.0358,0.0235,0.0207,0.0279,0.0275
存货/总资产 Inventory/TA,,,,,,0.0004,0.0002,0.0002,0.0002,0.0004,0.0005,0.0004,0.0004,0.0003
(应收+预付)/总资产 Receivables&prepay/TA,0.2395,0.3026,0.2869,0.2228,0.2367,0.2383,0.3258,0.2695,0.1964,0.1210,0.0626,0.0792,0.1066,0.1811
当年分红率 Payout ratio,0.2783,1.7625,0.7901,0.1382,0.2465,0.5974,0.2178,0.7936,0.2619,0.7696,0.6811,1.2609,1.2055,1.8654
