# 分众传媒 合并资产负债表 2012-2025 · 单位:元 · 血缘同利润表
# 反向购买:合并报表股本=会计购买方口径(≠法定股本144.42亿股·后者见母公司报表);2018+其他应付款含应付股利/应付利息(其中项)。
科目,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
货币资金,5915213000.00,4406113700.00,4883818175.76,3176463258.75,4445486663.36,3930262816.10,3671590986.10,3860521939.04,4730286378.96,4295642365.99,3280167249.76,3492945241.68,3536558068.47,3238508082.40
交易性金融资产,,,,,,,,2341983125.78,1475959904.22,3442112702.46,4657152857.47,5361306595.88,2643951787.67,4315226720.59
应收票据,32214700.00,22676100.00,29667001.60,17106200.74,82514276.60,109668421.97,196539343.76,,,,,,,
应收账款,1746503800.00,1913784200.00,2034202237.12,2181654487.95,2161763099.85,2980245462.04,4823083296.52,4169529889.65,3618913011.41,2978809573.26,1472280919.98,1821240335.65,2334092969.51,3570414100.76
应收款项融资,,,,,,,,141291042.36,183466200.55,116362747.93,142012856.18,134177100.93,166325788.34,129952619.92
预付款项,418545000.00,430709200.00,504988439.84,604322260.73,709663383.94,726786839.16,1373773800.40,867147461.42,631566733.39,112330877.46,107216921.93,107539773.00,96194628.78,91213982.51
应收利息,41390500.00,76812900.00,150989641.37,203424019.38,302210229.01,390845359.04,,,,,,,,
其他应收款,146480700.00,163759100.00,315533514.17,4947124873.14,107172410.28,69526939.22,101262188.03,60278220.01,61677500.01,59500081.67,40095868.22,47070712.23,60064247.05,86891212.52
存货,,,,,,6997845.32,2909944.51,4190856.88,4568164.60,10280828.70,13383921.75,9367039.62,8271978.41,5839302.66
合同资产,,,,,,,,,177934038.11,147406420.14,32887408.58,5825065.95,69290704.84,66329411.68
一年内到期的非流动资产,,,,,,,,,,501671301.37,2705948891.67,110173452.06,2608128338.46,46105767.11
其他流动资产,9556500.00,6930900.00,31987.24,4562.23,2062852687.73,2949985647.87,1865044049.87,65685752.61,404735823.40,46527014.60,36899704.23,22523572.26,124425916.91,267871872.31
流动资产合计,8309904100.00,7020786200.00,7919230997.10,11130099662.92,9871662750.77,11164319330.72,12034203609.19,11510628287.75,11289107754.65,11710643913.58,12488046599.77,11112168889.26,11647304428.44,11818353072.46
可供出售金融资产,,,25000000.00,450706819.95,1295839436.00,2069114199.00,2902358986.81,,,,,,,
长期股权投资,,,,49342592.13,,733660143.69,792534760.28,1117250673.84,1372869799.62,1600082971.48,1880144644.14,2132535643.53,2953578527.31,875681582.62
其他权益工具投资,,,,,,,,849464175.16,1078844317.74,1323030471.62,921897223.15,869952610.16,852532005.03,680991927.44
其他非流动金融资产,,,,,,,,1842510202.69,2140888805.90,3217641031.10,2788812386.06,2718602260.86,2362689277.64,2128089235.36
固定资产,397268000.00,366445900.00,333719689.94,300677127.06,266333673.59,351244838.56,1785275925.19,1580744018.10,1158016412.49,915237372.69,592243950.55,503087092.49,636531364.56,555199929.77
在建工程,150000.00,,,,,,14272142.52,6870330.14,6146712.09,4532504.51,4664564.54,5201623.07,7554994.72,13188101.32
工程物资,11006300.00,9538400.00,9655217.24,9335382.19,2860421.83,6851326.85,,,,,,,,
使用权资产,,,,,,,,,,2958680389.28,2913100972.87,3442089795.77,3021695669.08,2664164492.22
无形资产,,,,,,33554444.45,46957739.45,44706301.47,21626261.88,14849283.80,11925339.07,65993588.04,87189894.38,76838098.70
商誉,115066900.00,115066900.00,115066910.85,115066910.85,155930944.05,149083646.11,149108937.20,168868626.63,168812741.79,167787923.02,168049963.64,134976424.77,171821374.96,171821374.96
