科目,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
营业收入,1577567358.94,2184134247.05,2406518403.67,2720804229.54,3737888401.79,4941441556.43,7459995050.92,8708385210.71,10121033282.03,9464483877.52,5895438735.4
营业成本,1210462734.44,1807560957.37,1917929680.97,2139691417.58,2938413282.23,3998904885.37,5896693379.33,7486208940.51,9033446329.88,8612371570.5,5530462187.62
毛利,367104624.5,376573289.68,488588722.7,581112811.96,799475119.56,942536671.06,1563301671.59,1222176270.2,1087586952.15,852112307.02,364976547.78
税金及附加,15353250.48,12901690.14,11854704.43,9469631.31,13287909.22,14857819.84,22311871.95,27542270.7,28397139.67,28443405.56,13179359.62
销售费用,273245183.15,181671398.38,169860831.6,215896189.49,295912107.12,376015816.87,575889115.79,604067535.13,651457623.41,509376143.81,294221233.01
管理费用,40209367.41,44046360.94,62334368.44,59923038.33,96447392.84,102508301.42,131169854.07,155389645.25,181236806.18,155143676.81,128473973.04
财务费用,10689813.75,5506928.48,18833989.81,12956414.43,23279201.26,15226446.7,13272029.07,21594141.82,26973982.23,49621405.66,28867235.41
其中:利息费用,,,17552684.57,17220377.18,34386210.85,20523907.45,15012824.21,32387776.77,45325259.33,53615112.19,35083679.25
利息收入,,,2171616.34,2835932.73,12380931.8,11248912.29,12288813.26,16523485.79,21462296.95,9221328.52,8173719.39
其他收益,,,36900263.76,19574044.7,26998078.43,33006869.82,19381367.45,27814783.72,61973883.5,20186488.36,45375474.15
投资收益,25088.97,,-101516.2,-26327.4,,1748633.88,1967213.11,4249863.01,5988153.15,5540980.0,4432784.0
信用减值损失,,,,,2920891.71,-554641.33,-3537029.17,-10648322.05,3315408.8,-9054479.27,-10111965.4
资产减值损失,-512457.26,-9335667.74,-3914161.52,-14205500.71,-13574245.43,6983336.41,-12773957.51,-14100300.26,-15179788.83,-39299748.54,-304635251.52
营业利润,27099784.68,123132098.84,258845244.5,288170013.78,386896287.25,475051841.33,825805282.84,420891310.11,255944301.83,87353642.84,-362501165.57
营业外收入,13855076.92,18055098.05,15951064.21,3640567.2,3292729.35,3146847.66,3370798.16,4278046.8,8335334.79,6573559.35,30187568.37
营业外支出,501375.26,1713004.3,9881802.79,270368.44,1489014.66,2175959.07,2856485.95,1857737.77,2062673.71,1945162.25,1072076.25
利润总额,40453486.34,139474192.59,264914505.92,291540212.54,388700001.94,476022729.92,826319595.05,423311619.14,262216962.91,91982039.94,-333385673.45
所得税费用,15430164.31,27070370.67,57423730.43,64045726.83,67778468.6,95788755.27,138182177.7,49796253.67,20348450.39,44734391.61,40958843.03
净利润,25023322.03,112403821.92,207490775.49,227494485.71,320921533.34,380233974.65,688137417.35,373515365.47,241868512.52,47247648.33,-374344516.48
归属于母公司股东的净利润,25023322.03,113000744.56,202700951.33,224872734.8,319444153.93,373168102.61,675531930.39,366328854.62,235271060.42,44445892.26,-368786977.35
少数股东损益,0,-596922.64,4789824.16,2621750.91,1477379.41,7065872.04,12605486.96,7186510.85,6597452.1,2801756.07,-5557539.13
扣非归母净利润,11674634.07,99912065.96,169162760.08,207492987.88,295628348.35,342367494.07,657543065.7,337558071.01,179368380.91,25173472.85,-440714827.55
基本每股收益(元/股),0.15,0.68,1.17,1.29,0.78,0.9,1.62,0.88,0.56,0.11,-0.9
