科目,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
销售商品、提供劳务收到的现金,1628668016.41,2429602189.25,2850767890.22,2960387050.65,4503233679.97,5645332356.48,8743748128.46,9627620340.35,11173462169.95,10615553967.91,6609139924.09
经营活动现金流入小计,1656707818.1,2470250350.7,2899231083.27,2988796409.09,4790598094.03,5724727352.23,8850636291.65,9866262341.6,11337670565.09,10760960943.96,7009988464.98
购买商品、接受劳务支付的现金,855604444.33,2172707526.92,2131816116.99,2804585409.36,4059124587.57,4757748478.72,7972353144.34,8220363951.34,8448761055.74,8194392679.28,5226799300.05
支付给职工以及为职工支付的现金,79813474.91,66898326.95,96300542.36,126140768.24,160650539.42,207503803.92,366683342.36,466235735.31,462796074.73,376903407.45,248543694.67
支付的各项税费,150882875.44,148540938.22,123527253.17,131038456.11,158567511.64,160613074.0,274784795.33,306651068.23,227602982.56,261091449.66,90449180.35
经营活动现金流出小计,1374923244.98,2569927884.81,2534135754.97,3230060918.33,4682442452.33,5399734085.13,9224130183.57,10196190867.83,11054793777.1,10324677428.94,6258286381.58
经营活动产生的现金流量净额,281784573.12,-99677534.11,365095328.3,-241264509.24,108155641.7,324993267.1,-373493891.92,-329928526.23,282876787.99,436283515.02,751702083.4
购建固定资产等支付的现金,7822174.58,2137423.43,2289130.6,1445760.49,55401583.15,57733510.67,72282700.2,178087591.81,18461200.84,5835245.75,1527153.83
投资活动产生的现金流量净额,-86919499.39,84812789.98,-1908390.6,-1329468.46,-95397083.15,-50768245.01,-88321001.44,-172217220.73,-14649842.98,3165145.16,5843612.0
取得借款收到的现金,251598240.0,645760000.0,265660000.0,646000000.0,764573875.0,359100000.0,584061800.0,1416092057.61,1617369132.8,2002429228.61,1463940124.17
偿还债务支付的现金,370000000.0,290400000.0,606996874.11,374587965.89,621000000.0,694000000.0,419100000.0,578070872.0,1665329983.96,1520901722.93,2535540113.24
分配股利、利润或偿付利息支付的现金,18201538.84,287062210.7,81381966.38,15775339.41,75245055.12,88228650.31,88714800.52,176788801.1,110995406.73,596252586.94,67841942.58
筹资活动产生的现金流量净额,-136603298.84,133197789.3,-408098840.49,257298171.7,977549972.73,-423202124.01,61876344.84,538168790.89,-96298666.43,-229368422.05,-1170936414.87
现金及现金等价物净增加额,59099653.73,118390591.12,-44931266.13,14651916.56,990159228.16,-149340263.72,-400471308.28,36206944.41,172163720.94,210136875.11,-413436479.55
期初现金及现金等价物余额,127107829.91,186207483.64,304598074.76,259666808.63,274318725.19,1264477953.35,1115137689.63,714666381.35,750873325.76,923037046.7,1133173921.81
期末现金及现金等价物余额,186207483.64,304598074.76,259666808.63,274318725.19,1264477953.35,1115137689.63,714666381.35,750873325.76,923037046.7,1133173921.81,719737442.26
