科目,2015末,2016末,2017末,2018末,2019末,2020末,2021末,2022末,2023末,2024末,2025末
货币资金,275745586.85,399144209.17,434517722.86,492816087.46,1355963860.08,1224765337.82,1141439255.33,1178380002.73,1093186563.55,1386281605.82,930062919.01
应收票据,,,,,,3413348.73,3810382.0,,200000.0,64759280.0,0
应收账款,165202651.77,301066097.1,75788523.18,132737548.91,62556771.24,119781753.1,137228677.84,293240179.45,207976755.17,146985242.13,123006592.97
预付款项,219621956.82,543298828.04,326326780.94,342098327.2,728634122.82,747335992.34,1951149392.77,2739188919.49,1791534688.97,1416529132.63,686265553.9
其他应收款,110934798.39,18157917.42,15835123.9,25467397.42,74323565.34,58759683.14,96980949.15,85131545.49,78668272.56,55861935.82,45338758.47
存货,1024505914.62,807580153.01,985847899.14,1510584191.56,1669894822.66,1892487261.95,3048011251.42,3429376872.11,3354534494.77,3258729737.18,2383465009.58
其他流动资产,29136764.43,77565325.15,53669189.46,88309605.96,122299339.41,94143629.7,121812811.77,212460532.65,135932482.34,236417045.75,208018389.14
流动资产合计,1825147672.88,2146812529.89,1900656803.08,2596745109.21,4015360251.55,4140687006.78,6500432720.28,7941874144.71,6672616168.29,6567149979.33,4376157223.07
其他权益工具投资,,,,,40000000.0,40000000.0,60409800.0,60409800.0,60409800.0,60409800.0,55409800.0
固定资产,8941265.73,7929915.98,7892732.68,7534710.77,9279602.77,43182555.94,41695193.11,247546808.67,233336797.39,239353324.24,224788560.94
使用权资产,,,,,,,56450907.17,52093637.27,77631383.19,62373729.62,12855925.86
无形资产,1623834.52,986749.73,567767.48,258333.5,4404910.44,6693352.26,6874663.06,9333191.97,7112039.78,4164902.31,2189631.61
长期待摊费用,35103880.7,18508771.44,17674669.58,14279542.95,20491328.63,53028561.7,35799574.53,23920750.39,14598908.59,9420208.3,5124211.75
递延所得税资产,72794680.19,63978945.72,50961945.77,53699929.85,48936346.94,36666561.16,68109423.78,101189678.17,167899889.27,170459176.82,129081979.61
非流动资产合计,118463661.14,91404382.87,77097115.51,75772517.07,123112188.78,179571031.06,330477561.65,499027351.83,578871586.65,546181141.29,429450109.77
资产总计,1943611334.02,2238216912.76,1977753918.59,2672517626.28,4138472440.33,4320258037.84,6830910281.93,8440901496.54,7251487754.94,7113331120.62,4805607332.84
短期借款,220000000.0,407660000.0,265660000.0,546000000.0,594000000.0,359100000.0,524061800.0,1365447591.01,1323816303.61,1862013868.79,745299659.25
应付票据,343055981.84,257147240.59,329820112.28,412678350.6,362706203.2,237785458.0,1469587846.0,2043551306.54,984541860.0,970865127.32,448204839.0
应付账款,,,,106085863.21,62870326.34,102165865.53,99594827.44,121061862.01,82971170.65,80084101.82,63897335.22
预收款项,70403367.9,195832656.88,66369502.12,57211905.44,309638718.36,,,,,0,0
合同负债,,,,,,278273290.55,605401012.4,654187787.1,413272427.98,419323954.76,272927500.49
应付职工薪酬,17692056.11,28942149.25,43128769.23,47330721.94,57640477.85,82794407.84,109592425.48,107733665.08,108685821.59,112955728.84,81229774.37
应交税费,22809782.58,20111920.02,13941470.95,22596493.77,37589137.19,53024238.0,86273880.3,37118865.59,56361444.94,28575494.07,9844062.51
其他应付款,205026512.59,373825850.71,90314974.85,78031979.97,147185561.74,289328671.93,322454463.02,254071215.21,245649349.19,224241458.29,202542319.15
流动负债合计,918170246.65,1309030883.33,829003030.97,1296092273.61,1580166745.97,1452326181.52,3317065898.76,4684524001.42,3290296345.66,3782708547.34,1975848555.09
租赁负债,,,,,,,32660860.54,36947635.31,58718815.36,51743146.73,3768548.69
非流动负债合计,0,0,0,0,0,0,32660860.54,37971883.79,58886204.62,68056825.15,6987798.45
负债合计,918170246.65,1309030883.33,829003030.97,1296092273.61,1580166745.97,1452326181.52,3349726759.3,4722495885.21,3349182550.28,3850765372.49,1982836353.54
股本,165000000.0,173666000.0,173666000.0,173666000.0,416798400.0,416798400.0,416798400.0,416798400.0,416798400.0,416798400.0,416798400.0
资本公积,162451999.34,213785999.34,213785999.34,213785999.34,857214871.48,857214871.48,857214871.48,857214871.48,857214871.48,857209118.05,857209118.05
减:库存股,,,,,,,,,,150039545.4,150039545.4
盈余公积,89471670.28,89471670.28,89471670.28,89471670.28,107069889.99,122119540.6,157532531.45,176836253.54,184768335.66,197465151.41,197465151.41
未分配利润,607773448.39,445774192.95,648475144.28,873347879.08,1128882879.9,1420313587.9,1981199298.35,2190680958.88,2344663418.78,1839264536.76,1433251470.1
归属于母公司所有者权益合计,1024041087.37,920882952.07,1125037986.1,1348626001.38,2507611114.43,2816265452.92,3413569724.06,3639055301.91,3800351925.09,3156460588.09,2751927141.71
少数股东权益,1400000.0,8303077.36,23712901.52,27799351.29,50694579.93,51666403.4,67613798.57,79350309.42,101953279.57,106105160.04,70843837.59
所有者权益合计,1025441087.37,929186029.43,1148750887.62,1376425352.67,2558305694.36,2867931856.32,3481183522.63,3718405611.33,3902305204.66,3262565748.13,2822770979.3
