报告日,流动资产,货币资金,结算备付金,拆出资金,交易性金融资产,买入返售金融资产,衍生金融资产,应收票据及应收账款,应收票据,应收账款,应收款项融资,预付款项,应收股利,应收利息,应收保费,应收分保账款,应收分保合同准备金,应收出口退税,应收补贴款,应收保证金,内部应收款,其他应收款,其他应收款(合计),存货,划分为持有待售的资产,待摊费用,待处理流动资产损益,一年内到期的非流动资产,其他流动资产,流动资产合计,非流动资产,发放贷款及垫款,债权投资,其他债权投资,以公允价值计量且其变动计入其他综合收益的金融资产,以摊余成本计量的金融资产,可供出售金融资产,长期股权投资,投资性房地产,长期应收款,其他权益工具投资,其他非流动金融资产,其他长期投资,固定资产原值,累计折旧,固定资产净值,固定资产减值准备,在建工程合计,在建工程,工程物资,固定资产净额,固定资产清理,固定资产及清理合计,生产性生物资产,公益性生物资产,油气资产,合同资产,使用权资产,无形资产,开发支出,商誉,长期待摊费用,股权分置流通权,递延所得税资产,其他非流动资产,非流动资产合计,资产总计,流动负债,短期借款,向中央银行借款,吸收存款及同业存放,拆入资金,交易性金融负债,衍生金融负债,应付票据及应付账款,应付票据,应付账款,预收款项,合同负债,卖出回购金融资产款,应付手续费及佣金,应付职工薪酬,应交税费,应付利息,应付股利,应付保证金,内部应付款,其他应付款,其他应付款合计,其他应交款,担保责任赔偿准备金,应付分保账款,保险合同准备金,代理买卖证券款,代理承销证券款,国际票证结算,国内票证结算,预提费用,预计流动负债,应付短期债券,划分为持有待售的负债,一年内的递延收益,一年内到期的非流动负债,其他流动负债,流动负债合计,非流动负债,长期借款,应付债券,应付债券：优先股,应付债券：永续债,租赁负债,长期应付职工薪酬,长期应付款,长期应付款合计,专项应付款,预计非流动负债,长期递延收益,递延所得税负债,其他非流动负债,非流动负债合计,负债合计,所有者权益,实收资本(或股本),其他权益工具,优先股,永续债,资本公积,减:库存股,其他综合收益,专项储备,盈余公积,一般风险准备,未确定的投资损失,未分配利润,拟分配现金股利,外币报表折算差额,归属于母公司股东权益合计,少数股东权益,所有者权益(或股东权益)合计,负债和所有者权益(或股东权益)总计,数据源,是否审计,公告日期,币种,类型,更新日期
20260331,,14515715094.68,,,200460273.97,,,92928929.89,,92928929.89,3036044251.97,148110419.05,,,,,,,,,,,56380888.99,10462631408.08,,,,,311318383.45,28823589650.08,,,,,,,,12480029.13,15436936.45,,76088577.12,,,,,,,132055983.37,,,,,9072892422.73,,,,,87157813.14,1125735774.55,,246753998.67,409957104.63,,620293003.2,209341.0,11799060983.99,40622650634.07,,134732375.44,,,,,,2960824453.94,817272214.13,2143552239.81,,2304796934.0,,,1271024245.86,1201337465.66,,,,,,3202811016.38,,,,,,,,,,,,,,72033227.37,1393545232.56,12541104951.21,,312499589.94,,,,74635202.12,,,,,,158961356.21,306433046.55,,852529194.82,13393634146.03,,528600000.0,,,,6229111206.22,,1642096.27,,269402260.27,,,19095296459.19,,,26124052021.95,1104964466.09,27229016488.04,40622650634.07,定期报告,未审计,20260429,CNY,合并期末,2026-04-28T20:14:05
20251231,,14187463729.81,,,0.0,,,53996692.68,,53996692.68,895658760.56,115292227.12,0.0,0.0,,,,,,,,45651277.81,45651277.81,10739794676.82,,,,,392926614.98,26430783979.78,,,,,,,,11574463.54,16036411.82,,73526017.72,,,12645924355.16,3515810178.06,9130114177.1,8145136.16,160290473.75,160290473.75,,9121969040.94,0.0,9121969040.94,,,,,92161801.76,1133507983.04,,246753998.67,417315747.85,,487647921.96,5465160.95,11766249022.0,38197033001.78,,184830263.45,,,,,,3775128982.16,1472240813.01,2302888169.15,,1519882489.7,,,1276935454.81,605968561.52,0.0,0.0,,,2816680849.01,2816680849.01,,,,,,,,,,,,,,61253882.81,1043957560.69,11284638044.15,,260199589.94,,,,76138828.43,,,,,,162588721.38,309468453.8,,808395593.55,12093033637.7,,528600000.0,,,,6229111206.22,,6080513.09,,269402260.27,,,18017022962.78,,,25050216942.36,1053782421.72,26103999364.08,38197033001.78,定期报告,是,20260429,CNY,合并期末,2026-04-28T20:14:05
20250930,,14403385449.42,,,50405625.78,,,64141004.9,,64141004.9,774092760.98,197929705.08,,,,,,,,,,,60714952.55,9846548269.21,,,,,821800696.29,26219018464.21,,,,,,,,11709217.24,27074037.48,,72798327.61,,,,,,,631733715.43,,,,,8575494845.02,,,,,96785708.57,1128370242.47,,561364385.01,387957825.94,,511894242.07,0.0,12005182546.84,38224201011.05,,154841992.3,,,,,,3372417810.33,1180508888.58,2191908921.75,,1344038758.28,,,996476359.62,634386018.42,,,,,,3107877803.59,,,,,,,,,,,,,,46942500.71,1365981867.57,11022963110.82,,192450000.0,,,,79156265.22,,,,,,116374807.73,266282377.46,,654263450.41,11677226561.23,,528600000.0,,,,6229111206.22,,6306965.74,,269402260.27,,,18428117795.91,,,25461538228.14,1085436221.68,26546974449.82,38224201011.05,定期报告,未审计,20251031,CNY,合并期末,2025-10-30T16:50:09
20250630,,15576297562.07,,,125528360.62,,,72164678.13,,72164678.13,737338297.08,143179563.74,,,,,,,,,,50938157.65,50938157.65,9403858553.61,,,,,368868677.1,26478173850.0,,,,,,,,11926665.23,23624095.16,,73675265.03,,,11785849545.8,3161823956.82,8624025588.98,3123142.4,511153592.86,511153592.86,,8620902446.58,,8620902446.58,,,,,91489024.0,1128213173.93,,561364385.01,376750705.22,,558043166.23,3864745.03,11961007264.28,38439181114.28,,115785121.33,,,,,,2720648048.95,419531822.56,2301116226.39,,1428005776.79,,,1082761156.0,1263712228.32,,,,,3356132934.98,3356132934.98,,,,,,,,,,,,,,44646878.17,1489923860.57,11501616005.11,,166450000.0,,,,73315213.16,,,,,,119116940.71,267917046.76,,626799200.63,12128415205.74,,528600000.0,,,,6229111206.22,,6446394.5,,269402260.27,,,18129500218.38,,,25163060079.37,1147705829.17,26310765908.54,38439181114.28,定期报告,未审计,20250830,CNY,合并期末,2025-08-29T21:32:05
20250331,,16497506210.71,,,230553014.15,,,114083384.16,,114083384.16,4603935096.63,109770750.58,,,,,,,,,,,104722368.86,9272246925.47,,,,,337400521.42,31270218271.98,,,,,,,,11461754.45,24156799.92,,72930557.56,,,,,,,1078829680.61,,,,,7830707881.82,,,,,95831511.03,1134946966.22,,561364385.01,368884261.66,,524190656.9,0.0,11703304455.18,42973522727.16,,120076388.88,,,,,,2873035587.86,245674301.98,2627361285.88,,3673602948.84,,,1177366176.31,1392531542.06,,,,,,3245191120.4,,,,,,,,,,,,,,90054153.33,2235331146.23,14807189063.91,,136173098.85,,,,84027720.36,,,,,,119134811.18,268751158.49,,608086788.88,15415275852.79,,528600000.0,,,,6229111206.22,,-6589466.06,,269402260.27,,,19440758372.43,,,26461282372.86,1096964501.51,27558246874.37,42973522727.16,定期报告,未审计,20250428,CNY,合并期末,2025-04-27T16:32:11
20241231,,15894104466.53,,,60184353.81,,,69819734.99,,69819734.99,2966732807.75,278472276.28,,,,,,,,,,86894981.69,86894981.69,9264220836.58,,,,,191503861.97,28811933319.6,,,,,,,,11732641.44,43893659.88,,69500830.82,,,10721522843.47,2821398233.96,7900124609.51,3129204.89,1038780764.86,1038780764.86,,7896995404.62,,7896995404.62,,,,,100293500.73,1129272763.98,,561364385.01,374605387.89,,483333690.76,707352.5,11710480382.49,40522413702.09,,50038194.44,,,,,,3531703591.68,589364409.55,2942339182.13,,3514800038.8,,,1121224782.28,1163171843.49,,,,,3146672513.57,3146672513.57,,,,,,,,,,,,,,89836200.57,1691188287.4,14308635452.23,,41600000.0,,,,84453588.3,,,,,,122142913.25,271795024.98,,519991526.53,14828626978.76,,528600000.0,,,,6229111206.22,,-9604119.74,,269402260.27,,,17639514432.44,,,24657023779.19,1036762944.14,25693786723.33,40522413702.09,定期报告,是,20260429,CNY,合并期末,2025-04-27T16:02:51
20240930,,16903911302.02,,,50200664.41,,,71131178.4,,71131178.4,1152646851.15,151379088.76,,,,,,,,,,,45449322.59,7998847138.36,,,,,107650658.95,26481216204.64,,,,,,,,10166100.46,43630441.43,,71247359.27,,,,,,,2134801435.29,,,,,6374948399.18,,,,,103337612.14,1131820258.83,,561364385.01,342642464.59,,594863184.58,4412486.0,11373234126.78,37854450331.42,,70014544.52,,,,,,3100501988.78,553311293.65,2547190695.13,,1935545492.86,,,1030411776.0,1450287108.93,,,,,,2870035770.08,,,,,,,,,,,,,,61133754.24,1892786562.14,12410716997.55,,83400000.0,,,,86991461.66,,,,,,100024175.79,276133361.69,,546548999.14,12957265996.69,,528600000.0,,,,6224747667.1,,3043165.29,,269402260.27,,,16868757185.53,,,23894550278.19,1002634056.54,24897184334.73,37854450331.42,定期报告,未审计,20241031,CNY,合并期末,2024-10-30T20:00:03
20240630,,16158396761.58,,,0.0,,,59519246.91,,59519246.91,1581346121.5,115234646.94,,,,,,,,,,37020138.26,37020138.26,7758323363.84,,,,,134701510.6,25844541789.63,,,,,,,,10437313.99,44627931.01,,68799632.92,,,7312354267.81,2584654712.1,4727699555.71,3156170.49,3228411813.84,3228411813.84,,4724543385.22,,4724543385.22,,,,,104188743.84,1107445540.6,,561364385.01,236660533.33,,627263071.31,4412486.0,10718154837.07,36562696626.7,,40014544.52,,,,,,2508202105.42,418126347.55,2090075757.87,,2218413969.3,,,1152665323.59,1304481154.79,,,,,3032063462.12,3032063462.12,,,,,,,,,,,,,,65734379.46,1964535477.83,12286110417.03,,83400000.0,,,,84363974.83,,,,,,101700136.2,276292048.38,,545756159.41,12831866576.44,,528600000.0,,,,6224747667.1,,2373236.52,,269402260.27,,,15695054954.49,,,22720178118.38,1010651931.88,23730830050.26,36562696626.7,定期报告,未审计,20240831,CNY,合并期末,2024-08-30T20:00:16
20240331,,17316097008.78,,,0.0,,,68612715.84,,68612715.84,4768470137.13,139662891.96,,,,,,,,,,,145795792.77,7573447339.64,,,,,98433971.03,30111356357.03,,,,,,,,10053918.85,45627098.76,,67661019.78,,,,,,,3157505998.29,,,,,4596251164.14,,,,836499.88,77153555.01,1112921597.94,,561364385.01,74533945.09,,712849982.89,4453486.0,10420376151.76,40531732508.79,,20004433.36,,,,,,2567662139.14,264848865.34,2302813273.8,,4616921217.53,,,1283342023.3,1388625062.11,,,,,,3380502679.44,,,,,,,,,,,,,,79844523.15,2048296927.93,15385199005.96,,107106256.94,,,,67685550.71,,,,,,102271805.34,330812980.88,,607876593.87,15993075599.83,,528600000.0,,,,6224747667.1,,-15137059.55,,269402260.27,,,16566799764.16,,,23574412631.98,964244276.98,24538656908.96,40531732508.79,定期报告,未审计,20240427,CNY,合并期末,2024-04-27T01:25:05
20231231,,15966371744.19,,,719987547.42,,,68607919.27,,68607919.27,957560115.73,91607342.18,,,,,,,,,,49178194.7,49178194.7,7519682536.51,,,,,135071255.36,25508066655.36,,,,,,,,10367078.26,46622910.19,,63105658.07,,,6982601069.57,2382007312.78,4600593756.79,4549699.87,2910735155.39,2910735155.39,,4596044056.92,,4596044056.92,,,,0.0,81038100.24,1123186836.65,,561364385.01,59102583.98,,455588567.46,5685287.46,9912840619.63,35420907274.99,,0.0,,,,,,4167379794.68,1353187723.44,2814192071.24,,1401122249.53,,,1180605773.29,1179368855.69,,,,,3267292222.01,3267292222.01,,,,,,,,,,,,,,80825022.51,1132018451.1,12408612368.81,,107106256.94,,,,68380767.78,,,,,,100811404.82,321723514.56,,598021944.1,13006634312.91,,528600000.0,,,,6224747667.1,,1596322.73,,269402260.27,,,14500963359.34,,,21525309609.44,888963352.64,22414272962.08,35420907274.99,定期报告,是,20250428,CNY,合并期末,2024-04-27T01:25:05
