# 分部数据（安踏体育 02020.HK）· 单位：人民币百万元
# 来源：各年年报「收入及分部報告」附註；按品牌分部自公司开始披露之年起
# 校验：收入/毛利各分部合计 = 利润表同名科目；业绩合计(含总部未分配) = 经营溢利
# 「业绩」= 分部经营利润（公司口径「分部業績」），未分配项目多为负数
分部,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
按品类·鞋类,,,,,2521.552,3315.3,3824.9,4334.8,3706,3420.7,4110.473,5074.112,6000.766,7048.853,8631.427,11409.662,12700,19139,22471,25332,29202,31499
按品类·服装,,,,,1932.19,2409.9,3333,4288.4,3677.3,3574.5,4451.233,5591.695,6885.698,9116.068,14709.172,21397.721,21671,28632,29523,35067,39385,45814
按品类·配饰,,,,,173.04,149.4,250.4,281.6,239.5,286.1,360.986,460.134,459.297,527.571,759.44,1120.462,1141,1557,1657,1957,2239,2906
按品牌收入·安踏品牌,,,,,,,,,,,,,,,,17449.786,15749,24012,27723,30306,33522,34754
按品牌收入·FILA品牌,,,,,,,,,,,,,,,,14770.101,17450,21822,21523,25103,26626,28469
按品牌收入·所有其他品牌,,,,,,,,,,,,,,,,1707.958,2313,3494,4405,6947,10678,16996
按品牌收入·总部及未分配,,,,,,,,,,,,,,,,,,0,,,0,0
按品牌毛利·安踏品牌,,,,,,,,,,,,,,,,7200.56,7035,12528,14872,16648,18274,18621
按品牌毛利·FILA品牌,,,,,,,,,,,,,,,,10402.546,12092,15394,14283,17315,18051,18916
按品牌毛利·所有其他品牌,,,,,,,,,,,,,,,,1055.847,1524,2482,3163,5065,7707,12197
按品牌毛利·总部及未分配,,,,,,,,,,,,,,,,,,0,,,0,0
按品牌业绩·安踏品牌,,,,,,,,,,,,,,,,4676.171,4449,5145,5925,6731,7035,7211
按品牌业绩·FILA品牌,,,,,,,,,,,,,,,,4022.814,4494,5339,4301,6916,6738,7418
按品牌业绩·所有其他品牌,,,,,,,,,,,,,,,,-58.24,195,644,907,1886,3050,4736
按品牌业绩·总部及未分配,,,,,,,,,,,,,,,,,,-139,,,-228,-274
