# 利润表（安踏体育 02020.HK）· 单位：人民币百万元；负数=流出/减项；空=该期财报无此科目
# 来源：report/安踏体育/ 招股说明书(2004-2006) + 各年年报(2007-2025) 逐行解析
科目,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
营业额,311.499,670.349,1250.142,3182.453,4626.782,5874.596,7408.309,8904.767,7622.808,7281.263,8922.692,11125.941,13345.761,16692.492,24100.039,33927.845,35512,49328,53651,62356,70826,80219
销售成本,-267.724,-544.478,-936.914,-2127.166,-2778.209,-3401.702,-4237.755,-5142.37,-4729.642,-4242.009,-4895.876,-5940.521,-6886.719,-8451.345,-11412.761,-15268.892,-14861,-18924,-21333,-23328,-26794,-30485
毛利,43.775,125.871,313.228,1055.287,1848.573,2472.894,3170.554,3762.397,2893.166,3039.254,4026.816,5185.42,6459.042,8241.147,12687.278,18658.953,20651,30404,32318,39028,44032,49734
其他收益,0.5,1.509,2.046,137.812,21.139,29.399,44.626,75.639,125.432,110.282,97.233,,,,,,,,,,,
其他净收入,,,0.521,,-0.784,-0.718,-0.903,-1.211,2.893,-7.995,-11.251,227.066,259.784,457.883,760.021,1069.683,1389,1266,2128,1705,2408,2999
销售及分销开支,-40.727,-61.162,-132.26,-476.147,-758.415,-889.893,-1186.84,-1452.088,-1037.724,-1199.445,-1697.102,-2211.77,-2830.811,-3809.311,-6524.92,-9721.329,-10766,-17753,-19629,-21673,-25647,-28456
行政开支,-8.645,-15.082,-35.256,-114.468,-179.854,-216.905,-290.626,-373.241,-420.457,-376.497,-396.833,-504.034,-684.643,-901,-1222.594,-1312.606,-2122,-2928,-3587,-3693,-4198,-5186
经营溢利,-5.097,51.136,148.279,600.877,930.659,1394.777,1736.811,2011.496,1563.31,1565.599,2018.863,2696.682,3203.372,3988.719,5699.785,8694.701,9152,10989,11230,15367,16595,19091
净融资收入,-1.452,-0.922,-0.259,-1.745,39.563,51.226,106.258,148.584,166.2,187.156,223.845,132.62,107.524,321.839,67.56,-53.084,-462,332,97,991,1388,1151
分占联营公司损益,,,,,,,,,,,,,,,,,,,,,198,1203
分占合营公司损益,,,,,,,,,,,,,,,,-633.13,-601,-81,28,-718,,
Amer上市权益摊薄利得,,,,,,,,,,,,,,,,,,,,,1579,
Amer配售权益摊薄利得,,,,,,,,,,,,,,,,,,,,,2090,
可换股债券购回利得,,,,,,,,,,,,,,,,,,,,,34,1
持续经营业务溢利,,,,,902.649,1249.29,,,,,,,,,,,,,,,,
非持续经营业务损益,,,,,-7.858,,,,,,,,,,,,,,,,,
除税前溢利,-6.549,50.214,148.02,599.132,970.222,1446.003,1843.069,2160.08,1729.51,1752.755,2242.708,2829.302,3310.896,4310.558,5767.345,8008.487,8089,11240,11355,15640,21884,21446
税项,-1.854,-2.181,-0.603,-61.339,-67.573,-196.713,-296.644,-435.999,-373.697,-423.249,-510.112,-741.075,-866.327,-1151.666,-1533.153,-2384.416,-2520,-3021,-3110,-4363,-4895,-5784
年内溢利,-8.403,48.033,147.417,537.793,894.791,1249.29,1546.425,1724.081,1355.813,1329.506,1732.596,2088.227,2444.569,3158.892,4234.192,5624.071,5569,8219,8245,11277,16989,15662
股东应占溢利,-8.403,48.033,147.417,537.793,894.791,1250.941,1551.113,1730.122,1358.701,1314.835,1700.31,2040.573,2385.546,3087.843,4102.855,5344.148,5162,7720,7590,10236,15596,13588
非控股权益应占溢利,,,,,,-1.651,-4.688,-6.041,-2.888,14.671,32.286,47.654,59.023,71.049,131.337,279.923,407,499,655,1041,1393,2074
每股盈利-基本,-0.005,0.027,0.082,0.253,0.359,0.502,0.622,0.694,0.545,0.527,0.681,0.817,0.954,1.17,1.528,1.987,1.919,2.87,2.82,3.69,5.55,4.89
每股盈利-摊薄,,,,0.252,0.359,0.501,0.62,0.692,0.544,0.526,0.68,0.815,0.952,1.168,1.527,1.985,1.894,2.81,2.76,3.6,5.41,4.8
