# 现金流量表（安踏体育 02020.HK）· 单位：人民币百万元；负数=流出/减项；空=该期财报无此科目
# 来源：report/安踏体育/ 招股说明书(2004-2006) + 各年年报(2007-2025) 逐行解析
科目,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
除税前溢利,-6.549,50.214,148.02,599.132,,,1843.069,2160.08,1729.51,1752.755,2242.708,2829.302,3310.896,4310.558,5767.345,8008.487,8089,11240,11355,15640,21884,21446
折旧,4.522,8.373,11.482,28.855,42.282,58.574,66.797,69.476,77.353,100.403,128.025,154.075,186.978,207.929,291.303,388.818,414,443,860,1018,1023,1371
使用权资产折旧,,,,,,,,,,,,,,,,1031.971,1589,2694,3481,3844,4305,4787
无形资产摊销,0.127,0.189,0.187,0.344,0.797,4.481,16.766,19.472,24.806,25.634,26.637,27.603,30.376,33.816,40.88,48.046,76,129,123,125,143,177
经营产生的现金,-17.438,42.451,156.116,64.385,990.498,1772.23,1573.112,1702.393,2247.61,1288.636,2003.365,2422.277,3270.584,4040.774,5513.906,9418.306,9381,14184,14668,22177,20018,24657
已付所得税,-2.222,-1.909,-0.953,-38.481,-67.917,-130.317,-224.124,-386.68,-445.941,-366.729,-522.364,-737.58,-948.229,-1013.109,-1288.046,-2133.174,-2181,-2677,-3046,-3584,-4532,-5242
已收利息,0.296,0.492,1.258,107.397,93.249,46.831,83.86,131.837,163.313,206.146,204.857,218.166,145.225,153.799,213.85,199.852,258,354,525,1041,1255,1581
经营活动现金净额,-19.66,40.542,155.163,25.904,1015.83,1688.744,1432.848,1447.55,1964.982,1128.053,1685.858,1902.863,2467.58,3181.464,4439.71,7484.984,7458,11861,12147,19634,16741,20996
购建物业厂房设备,-5.936,-30.121,-28.253,-87.832,-73.34,-44.826,-50.818,-37.054,-25.645,-93.169,-142.394,-144.951,-378.029,-63.547,-182.066,-350.188,-424,-779,-974,-744,-1412,-1208
支付在建工程,-32.199,-27.851,-54.053,-102.092,-99.009,-67.813,-38.045,-89.602,-120.67,-80.802,-97.794,-85.571,-194.618,-483.333,-280.31,-161.633,-225,-581,-647,-417,-846,-1297
购买无形资产,,,,-4.035,-1.228,-5.227,-61.132,-28.737,-12.378,-3.638,-9.099,-2.418,-54.965,-38.149,-35.864,-56.465,-84,-94,-115,-160,-133,-145
投资活动现金净额,-38.369,-72.193,-83.352,-156.987,-410.294,-1870.278,496.17,-738.149,-975.667,620.126,-864.707,-413.041,-514.544,-1578.516,-1201.1,-13065.053,-1923,-4669,-4774,-25793,-14864,-7046
已付股东股息,,,-1.568,-21.286,-400.341,-658.368,-940.103,-1054.861,-995.548,-878.274,-1071.761,-1333.703,-1540.914,-1936.764,-2425.058,-1416.617,-1404,-2411,-3752,-4022,-6072,-6585
融资活动现金净额,65.512,63.019,34.657,3186.984,-400.341,-651.266,-939.054,-1059.349,-2.835,-1407.527,-238.158,-1293.726,-1398.229,-2.427,-1136.382,4669.717,1229,-4947,-7841,3471,-5761,-13116
现金净变动,7.483,31.368,106.468,3055.901,205.195,-832.8,989.964,-349.948,986.48,340.652,582.993,196.096,554.807,1600.521,2102.228,-910.352,6764,2245,-468,-2688,-3884,834
期初现金,32.248,39.731,69.916,176.335,3231.515,3271.674,2437.089,3391.151,3018.233,4007.535,4344.262,4933.742,5165.859,5829.959,6967.589,9283.676,8221,15323,17592,17378,15228,11390
汇率影响,,-1.183,-0.049,-0.721,-165.036,-1.785,-35.902,-22.97,2.822,-3.925,6.487,36.021,109.293,-462.891,213.859,-152.576,338,24,254,538,46,-43
期末现金,39.731,69.916,176.335,3231.515,3271.674,2437.089,3391.151,3018.233,4007.535,4344.262,4933.742,5165.859,5829.959,6967.589,9283.676,8220.748,15323,17592,17378,15228,11390,12181
