# 财务比率（安踏体育 02020.HK）· 派生自本目录三表，非财报直接披露
# 通用底 = scripts/derived.py compute_common_ratios()；其余为安踏定制层
# 比率为小数（0.62 = 62%）；天数为天；标(百万元)者为金额
# ⚠️ 应收/应付口径：2018 年拆行、2020 年更名，已按「贸易+其他」合并成连续口径
# ⚠️ 分红率分母用「已付股东股息」(现金流量表·年内实付)，与「宣派」口径有跨年时间差
指标,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
毛利率 Gross margin,0.1405,0.1878,0.2506,0.3316,0.3995,0.4209,0.428,0.4225,0.3795,0.4174,0.4513,0.4661,0.484,0.4937,0.5264,0.55,0.5815,0.6164,0.6024,0.6259,0.6217,0.62
净利率 Net margin,-0.027,0.0717,0.1179,0.169,0.1934,0.2127,0.2087,0.1936,0.1779,0.1826,0.1942,0.1877,0.1832,0.1892,0.1757,0.1658,0.1568,0.1666,0.1537,0.1808,0.2399,0.1952
销售费用率 S&D exp ratio,0.1307,0.0912,0.1058,0.1496,0.1639,0.1515,0.1602,0.1631,0.1361,0.1647,0.1902,0.1988,0.2121,0.2282,0.2707,0.2865,0.3032,0.3599,0.3659,0.3476,0.3621,0.3547
管理/行政费用率 Admin exp ratio,0.0278,0.0225,0.0282,0.036,0.0389,0.0369,0.0392,0.0419,0.0552,0.0517,0.0445,0.0453,0.0513,0.054,0.0507,0.0387,0.0598,0.0594,0.0669,0.0592,0.0593,0.0646
ROE(期末) Return on year-end equity,-0.0524,0.4326,0.6196,0.1296,0.1997,0.2463,0.2732,0.2715,0.2012,0.1838,0.2181,0.2378,0.2498,0.2253,0.26,0.2661,0.215,0.2669,0.2206,0.1989,0.2527,0.2066
ROE(年均) Return on avg equity,,0.3538,0.8449,0.2451,0.2073,0.2617,0.2884,0.2872,0.2071,0.1891,0.2275,0.2492,0.2632,0.2656,0.2783,0.2981,0.2341,0.2917,0.2397,0.2384,0.2756,0.2131
经营现金流/净利 OCF/Net profit,2.3396,0.844,1.0525,0.0482,1.1353,1.3518,0.9266,0.8396,1.4493,0.8485,0.973,0.9112,1.0094,1.0071,1.0485,1.3309,1.3392,1.4431,1.4733,1.7411,0.9854,1.3406
Capex/净利 Capex/Net profit,-4.5383,1.2069,0.5583,0.3532,0.1926,0.0902,0.0575,0.0735,0.1079,0.1309,0.1386,0.1104,0.2343,0.1731,0.1092,0.091,0.1165,0.1655,0.1966,0.103,0.1329,0.1599
应收/营收 AR/Revenue,0.3041,0.1582,0.1617,0.147,0.1133,0.09,0.1337,0.1919,0.1801,0.2655,0.1906,0.1984,0.1979,0.2236,0.1925,0.1859,0.1862,0.1402,0.1081,0.1101,0.102,0.1042
存货/营收 Inventory/Revenue,0.0837,0.0883,0.1236,0.1366,0.0719,0.0637,0.0613,0.0694,0.0902,0.0947,0.0972,0.0913,0.097,0.1291,0.12,0.1298,0.1545,0.155,0.1582,0.1156,0.1519,0.1515
资产负债率 Liabilities/Total assets,0.4601,0.7511,0.7222,0.1037,0.0934,0.1583,0.1876,0.2167,0.3092,0.2737,0.2968,0.295,0.3042,0.2471,0.3222,0.489,0.5021,0.4948,0.4532,0.3927,0.4074,0.4175
归母/净利 Parent/Net profit,1,1,1,1,1,1.0013,1.003,1.0035,1.0021,0.989,0.9814,0.9772,0.9759,0.9775,0.969,0.9502,0.9269,0.9393,0.9206,0.9077,0.918,0.8676
应收账款周转天数 AR turnover days,111.0096,54.6611,44.9852,38.4132,39.1188,32.7108,37.4291,55.3161,73.773,82.8601,74.3239,64.1016,66.301,69.6868,63.3896,58.8834,66.4105,50.0499,43.2481,37.0731,36.3114,35.4562
存货周转天数 Inventory turnover days,35.5356,28.5757,41.6175,50.5549,50.4036,37.9088,35.6543,38.043,50.3759,59.2296,58.0206,57.8576,61.2439,74.5043,80.7179,87.2259,121.4695,126.6236,138.0235,122.8245,122.3977,137.1639
应付账款周转天数 AP turnover days,64.7957,48.2503,82.106,66.9889,58.6521,67.4197,81.4003,90.2192,125.2321,157.6018,132.0806,111.9451,133.8265,151.9752,153.6867,172.3123,137.0415,53.2533,50.4392,46.509,51.2681,50.8258
现金及金融资产/总资产 Cash&financial/TA,0.1337,0.16,0.2116,0.6982,0.7068,0.6565,0.6097,0.5422,0.5194,0.4996,0.5485,0.5386,0.5285,0.5009,0.4822,0.3059,0.3923,0.3922,0.4001,0.5261,0.4636,0.4427
固定资产PPE/总资产 PPE/TA,0.2098,0.3096,0.1878,0.0709,0.0915,0.083,0.0714,0.0577,0.0891,0.0856,0.0813,0.0897,0.0823,0.0631,0.0733,0.0521,0.0421,0.0455,0.0537,0.0449,0.0416,0.0432
存货/总资产 Inventory/TA,0.0877,0.1327,0.1804,0.0939,0.0673,0.0613,0.0643,0.0754,0.0685,0.0681,0.0762,0.0813,0.091,0.113,0.1187,0.1069,0.1058,0.122,0.1227,0.0782,0.0955,0.0978
(应收+预付)/总资产 Receivables&prepay/TA,0.3188,0.2377,0.236,0.101,0.106,0.0867,0.1404,0.2085,0.1368,0.1911,0.1494,0.1765,0.1857,0.1957,0.1903,0.1531,0.1275,0.1103,0.0838,0.0745,0.0642,0.0673
当年分红率 Payout ratio,,,0.0106,0.0396,0.4474,0.5263,0.6061,0.6097,0.7327,0.668,0.6303,0.6536,0.6459,0.6272,0.5911,0.2651,0.272,0.3123,0.4943,0.3929,0.3893,0.4846
经营溢利率 Operating margin,-0.0164,0.0763,0.1186,0.1888,0.2011,0.2374,0.2344,0.2259,0.2051,0.215,0.2263,0.2424,0.24,0.239,0.2365,0.2563,0.2577,0.2228,0.2093,0.2464,0.2343,0.238
经调整股东应占溢利率(剔联营及一次性) Adj parent margin,-0.027,0.0717,0.1179,0.169,0.1934,0.2129,0.2094,0.1943,0.1782,0.1806,0.1906,0.1834,0.1787,0.185,0.1702,0.1762,0.1623,0.1581,0.1409,0.1757,0.1651,0.1544
经调整股东应占溢利 Adj parent profit(百万元),-8.403,48.033,147.417,537.793,894.791,1250.941,1551.113,1730.122,1358.701,1314.835,1700.31,2040.573,2385.546,3087.843,4102.855,5977.278,5763,7801,7562,10954,11695,12384
有息负债/总资产 Borrowings/TA,0.1009,,0.0584,,,,,,0.0993,0.0485,0.1184,0.1064,0.0659,0.0078,0.0539,0.1941,0.2781,0.2102,0.1834,0.162,0.1848,0.1875
净现金 Net cash(百万元),9.731,71.391,131.235,3233.105,3493.498,4006.729,4300.791,4442.967,4215.767,4564.493,4895.844,5403.385,6579.234,9406.05,10440.135,4604.513,5923,11408,14998,33573,31395,31719
净现金/总资产 Net cash/TA,0.0327,0.16,0.1532,0.6982,0.7068,0.6565,0.6097,0.5422,0.4201,0.4511,0.4301,0.4322,0.4626,0.4931,0.4283,0.1117,0.1142,0.182,0.2167,0.364,0.2788,0.2552
