# 资产负债表（安踏体育 02020.HK）· 单位：人民币百万元；负数=流出/减项；空=该期财报无此科目
# 来源：report/安踏体育/ 招股说明书(2004-2006) + 各年年报(2007-2025) 逐行解析
科目,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
物业厂房及设备,62.343,138.127,160.806,328.44,452.154,506.42,503.474,472.606,894.527,865.751,924.987,1121.191,1170.363,1203.104,1787.33,2147.665,2184,2853,3716,4143,4687,5366
在建工程,54.49,29.812,76.463,67.832,86.541,123.827,149.628,207.603,22.991,69.296,142.85,44.544,157.024,705.539,749.03,420.933,545,926,1058,822,1465,2532
使用权资产,,,,,,,,,,,,,,,,3236.901,4108,6611,8015,8085,9826,10926
租赁预付款项,11.392,24.715,24.331,23.784,27.581,28.024,35.835,35.036,153.529,149.098,163.498,303.031,341.752,430.723,420.697,,,,,,,
土地使用权预付款项,,,,70.52,22.101,36.647,42.807,96.715,151.417,152.48,146.838,255.822,153.506,15.878,325.878,52.753,46,43,,,,
购买其他非流动资产预付款项,,,,,,,,,,,,,245.874,89.534,40.94,,,,,,,
无形资产,0.693,1.657,3.566,4.213,4.087,486.983,531.349,540.614,528.857,506.861,489.323,464.138,477.52,705.332,685.449,678.25,1579,1531,1480,2089,2034,4253
联营公司投资,,,,,,,,,,,,,,,,,,,,,14669,16453
合营公司投资,,,,,,,,,,,,,,,,10550.966,9658,9027,9343,9283,,
其他投资-非流动,,,,,,,,20.535,31.12,38.9,19.9,24.875,49.35,151.967,677.689,63.686,70,722,1065,1896,3164,4428
已抵押存款-非流动,,,,,,,,,,,,,,,,,,,,,122,53
定期存款-非流动,,,,,,,,,,,,,,,,,,,,11836,21542,17853
递延税项资产,0.598,,,,,11.75,46.343,51.501,151.148,148.622,149.358,131.656,175.036,330.198,402.834,746.427,960,1053,1378,1367,1633,1933
其他非流动资产,,,,,,,,,,,,,,,,,,,544,567,991,842
非流动资产合计,129.516,194.311,265.166,494.789,592.464,1193.651,1309.436,1424.61,1933.589,1931.008,2036.754,2345.257,2770.425,3632.275,5089.847,17897.581,19150,22766,26599,40088,60133,64639
存货,26.065,59.189,154.466,434.787,332.51,374.09,453.823,618.13,687.404,689.321,867.182,1016.128,1294.939,2155.262,2892.486,4405.281,5486,7644,8490,7210,10760,12152
应收贸易账款及其他应收款项,94.738,106.04,202.113,467.74,524.01,528.936,990.441,1708.61,1372.801,1933.096,1700.706,2207.186,2641.237,3732.718,,,,,,,,
应收贸易账款,,,,,,,,,,,,,,,2504.898,3896.274,3731,3296,2978,3732,4463,4616
其他应收款项,,,,,,,,,,,,,,,2133.302,2412.301,,,,,,
其他流动资产,,,,,,,,,,,,,,,,,2883,3618,2822,3135,2762,3744
应收关联方款项,7.156,15.172,52.175,0.317,,,,,,,,,,,,,,,,49,81,109
其他投资-流动,,,1.2,,,,,,830,510,535,200,,,,,270,763,618,1333,3869,1920
已抵押存款-流动,,1.475,4.9,1.59,0.184,9.64,9.64,14.734,224.734,215.46,210.366,202.526,194.576,149.957,1662.24,4.304,1,4,5,5,120,659
定期存款-流动,,,,,221.64,1560,900,1410,980,495,1100,1365,1492.405,2436.415,807.778,4381.906,5023,6985,10305,21448,19037,24275
现金及现金等价物,39.731,69.916,176.335,3231.515,3271.674,2437.089,3391.151,3018.233,4007.535,4344.262,4933.742,5165.859,5829.959,6967.589,9283.676,8220.748,15323,17592,17378,15228,11390,12181
流动资产合计,167.69,251.792,591.189,4135.949,4350.018,4909.755,5745.055,6769.707,8102.474,8187.139,9346.996,10156.699,11453.116,15441.941,19284.38,23320.814,32717,39902,42596,52140,52482,59656
资产总值,297.206,446.103,856.355,4630.738,4942.482,6103.406,7054.491,8194.317,10036.063,10118.147,11383.75,12501.956,14223.541,19074.216,24374.227,41218.395,51867,62668,69195,92228,112615,124295
借贷-流动,30,,50,,,,,,996.502,490.229,1348.264,1330,937.706,147.911,1243.559,1358.85,1968,1748,12198,3996,8583,11532
应付贸易账款及其他应付款项,47.527,96.425,325.089,455.714,437.151,819.516,1070.646,1471.495,1774,1889.277,1654.011,1989.893,3060.11,3977.671,,,,,,,,
应付贸易账款,,,,,,,,,,,,,,,1792.253,2962.645,2376,3146,2750,3195,4332,4158
应付票据及其他应付款项,,,,,,,,,,,,,,,3840.976,5820.666,,,,,,
即期应付税项,0.675,0.3,,22.858,22.908,52.061,90.002,130.979,124.977,187.308,176.189,234.386,267.19,353.306,649.886,1224.962,1507,1816,2169,2825,3386,3698
应付关联方款项,12.607,2.141,1.597,1.472,1.551,0.883,2.745,1.9,2.43,6.84,6.229,8.983,7.499,19.464,21.199,25.886,19,27,25,32,96,59
租赁负债-流动,,,,,,,,,,,,,,,,1018.533,1273,2237,2867,2701,3179,3687
其他流动负债,,,,,,,,,,,,,,,,,4539,6930,6145,7813,9017,10224
流动负债合计,136.732,335.019,618.444,480.044,461.61,872.46,1163.393,1604.374,2897.909,2573.654,3184.693,3563.262,4272.505,4498.352,7547.873,12411.542,11715,15943,26207,20591,28593,33358
流动资产净值,30.958,-83.227,-27.255,,3888.408,4037.295,4581.662,5165.333,5204.565,5613.485,6162.303,6593.437,7180.611,10943.589,11736.507,10909.272,21002,23959,16389,31549,23889,26298
资产总值减流动负债,160.474,111.084,237.911,4150.694,4480.872,5230.946,5891.098,6589.943,7138.154,7544.493,8199.057,8938.694,9951.036,14575.864,16826.354,28806.853,40152,46725,42988,71637,84022,90937
借贷-非流动,,,,,,,,,,,,,,,70,6643.595,12456,11425,492,10948,12233,11770
租赁负债-非流动,,,,,,,,,,,,,,,,845.896,1246,2908,3938,3824,4125,4775
递延税项负债,,,,,,49.612,118.784,132.284,166.883,158.546,158.149,85.745,14.419,215.33,236.493,256.252,527,655,691,855,925,1984
非流动负债合计,,,,,,93.618,160.366,171.393,205.448,195.368,194.477,124.451,54.705,215.33,306.493,7745.743,14328,15062,5149,15627,17283,18532
负债总值,136.732,335.068,618.444,,,966.078,1323.759,1775.767,3103.357,2769.022,3379.17,3687.713,4327.21,4713.682,7854.366,20157.285,26043,31005,31356,36218,45876,51890
资产净值,160.474,111.035,237.911,4150.694,4480.872,5137.328,5730.732,6418.55,6932.706,7349.125,8004.58,8814.243,9896.331,14360.534,16519.861,21061.11,25824,31663,37839,56010,66739,72405
股本,157.349,61.06,51.216,241.654,241.654,241.838,241.991,242.019,242.019,242.113,242.238,242.579,242.698,259.01,259.038,260.554,261,261,262,272,271,269
储备,3.125,49.975,186.695,3909.04,4239.218,4838.101,5436.04,6129.871,6510.221,6911.875,7552.919,8337.087,9305.93,13447.395,15518.292,19821.122,23752,28662,34138,51188,61458,65513
股东应占权益,160.474,111.035,237.911,4150.694,4480.872,5079.939,5678.031,6371.89,6752.24,7153.988,7795.157,8579.666,9548.628,13706.405,15777.33,20081.676,24013,28923,34400,51460,61729,65782
非控股权益,,,,,,57.389,52.701,46.66,180.466,195.137,209.423,234.577,347.703,654.129,742.531,979.434,1811,2740,3439,4550,5010,6623
负债及权益总值,297.206,446.103,856.355,4630.738,4942.482,6103.406,7054.491,8194.317,10036.063,10118.147,11383.75,12501.956,14223.541,19074.216,24374.227,41218.395,51867,62668,69195,92228,112615,124295
