维度|科目,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
按地区|省内,,946184507.69,,1408514147.35,,2703548069.97,,3627723132.95,,2324123087.21,,3572399250.31,,5784755210.47,5995685500.0,8070359649.94,,12083797181.81,13500235100.0,13390549706.8
按地区|省外,,889255113.1,,734937719.37,,1784600033.87,,2411565553.64,,1757812543.56,,2409351490.18,,5960446654.93,7852359300.0,11737905415.59,,19659203751.51,22374427700.0,25202184766.32
按地区|省外占比(%·派生·全国化指标),,48.45,,34.29,,39.76,,39.93,,43.06,,40.28,,50.75,56.7,59.26,,61.93,62.37,65.3
按产品|白酒(口径I·07-13),,1713872980.74,,2013586375.64,,4165637862.93,5965695084.11,5684019301.92,,,,,,,,,,,,
按产品|配制酒,,121482226.38,,129865491.08,,301027029.05,477730309.04,355269384.67,,161025424.85,,222335518.93,,547788438.1,,1250032421.14,,,,
按产品|其他(产品档),,613919.67,,,,,,,,,,,,,,,,,,
按产品|中高价白酒(口径II·14-17),,,,,,,,,,2792784114.99,,3741177914.72,,,,,,,,
按产品|低价白酒(口径II·14-17),,,,,,,,,,1128126090.93,,2018237306.84,,,,,,,,
"按产品|汾酒(口径III/V·19-21,24-25)",,,,,,,,,,,,,,10297367177.25,,17920305412.77,,,,37441361212.24
按产品|系列酒(口径III·19-21),,,,,,,,,,,,,,900046250.05,,637927231.62,,,,
按产品|中高价酒类(口径IV·22-23),,,,,,,,,,,,,,,,,,23203237509.41,,
按产品|其他酒类(口径IV/V·22-25),,,,,,,,,,,,,,,,,,8539763423.91,,1151373260.88
按产品|主营小计,,,,,,,6443425393.15,6039288686.59,,,,,,11745201865.4,,,,,,
按渠道|直销(含团购),,,,,,,,,,,,,,,756362800.0,442380600.0,156481100.0,194614400.0,,
按渠道|电商,,,,,,,,,,,,,,,759492900.0,952671600.0,1715902500.0,1667762200.0,,
按渠道|直销团购电商(合并口径24-25),,,,,,,,,,,,,,,,,,,2338499300.0,2499695600.0
按渠道|批发代理,,,,,,,,,,,,,,,12332189100.0,18413212900.0,24167562300.0,29880624300.0,33536163500.0,36093038800.0
