科目,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
营业总收入,1527431574.66,1846793769.92,1584519277.39,2143451866.72,3016625047.55,4488148103.84,6478763909.72,6087199948.02,3916067368.51,4128558454.69,4404948311.55,6037481699.12,9444337822.85,11880073342.11,13989804850.8,19970986258.92,26213860718.3,31928483054.02,36010992321.46,38718257657.74
营业收入,1527431574.66,1846793769.92,1584519277.39,2143451866.72,3016625047.55,4488148103.84,6478763909.72,6087199948.02,3916067368.51,4128558454.69,4404948311.55,6037481699.12,9444337822.85,11880073342.11,13989804850.8,19970986258.92,26213860718.3,31928483054.02,36010992321.46,38718257657.74
营业总成本,1024153542.04,1161717889.51,1098603950.57,1472769124.63,2127461038.96,3123055508.99,4463623802.0,4602648039.66,3407242491.32,3356857257.73,3474408752.32,4653530463.42,7213736444.82,8945331007.61,9712703696.75,13057188877.26,15700702343.58,18215461810.06,19814309946.45,22360566105.63
营业成本,406458515.5,422198638.06,372882180.69,538752760.67,706153649.66,1077192250.84,1634439471.33,1517651240.53,1275222467.5,1347209064.86,1379535580.68,1821019657.65,2957850359.49,3335713287.21,3895511990.82,5010580087.91,6459916317.19,7884347411.62,8569676942.47,9736672076.79
税金及附加,280847612.89,287587803.17,244887873.97,368199574.19,512659110.08,811490372.44,1082692810.29,990111632.37,587594162.08,682342905.8,869232851.92,1237807972.41,1916243148.92,2253368730.74,2503306673.4,3729986292.01,4601530950.69,5831983338.91,5932892279.38,6915505044.54
销售费用,212845278.48,362904745.77,309972225.27,363877980.26,581480040.21,921366133.57,1378306935.97,1666894751.12,1114147984.03,915468116.93,775093338.84,1080253631.01,1657446762.84,2581288185.55,2276161799.77,3160087855.34,3403570626.2,3216783733.5,3726362850.16,4101573343.57
管理费用,129459791.67,92055993.02,149448195.65,201930258.81,304320545.56,320330475.39,429467592.9,460389738.89,447835045.6,420034142.61,442367228.68,545581855.46,698119494.7,855402611.99,1089080994.5,1166660087.77,1214479993.81,1202102624.62,1447347068.33,1452560287.3
研发费用,,,,,,,,,,,,,12152023.67,22251634.53,16666449.46,22994706.69,57998937.41,88182472.58,147795963.97,174280861.29
财务费用,-1708439.72,-3523641.76,-647834.28,-2003964.3,-4437108.21,-11654592.07,-43410184.36,-40332666.12,-16594777.32,-13086314.24,-17688330.31,-14548537.86,-28075344.8,-102693442.41,-68024211.2,-33120152.46,-36794481.72,-7937771.17,-9765157.86,-20025507.86
利息费用,,,,,,,,,,,,,3030844.58,,6987929.96,992415.11,1040628.58,39707391.43,33691726.42,13175169.6
利息收入,,,,,,,,,,,,,34197763.74,105088509.72,80437334.39,39913190.84,40581525.68,49805491.52,45348644.05,34817249.04
资产减值损失,-3749216.78,494351.25,22061309.27,2012515.0,27284801.66,4330868.82,-17872824.13,7933342.87,-962390.57,4889341.77,25868082.51,-16584115.25,2013493.85,,,,-444910.56,,-2139029.12,-1263669.12
信用减值损失,,,,,,,,,,,,,,5002395.13,3949892.93,1674664.38,16977159.42,-3202417.42,9394623.97,853188.03
