科目,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
销售商品、提供劳务收到的现金,1664541073.13,1569112940.79,2114056156.04,2438659685.71,3856992824.16,5537705167.92,6965635844.39,5708740539.71,4186494448.95,4031638088.92,4459354327.09,5968803592.12,8913817388.52,13463146531.37,13594921471.08,25048091975.76,28712665309.89,30131095571.49,36609130569.36,35456808289.34
收到的税费返还,,,,,,,4536.89,,,,,,668358.73,2141315.94,24172281.32,31042767.01,53136533.13,20369578.93,40115888.29,45019580.02
收到其他与经营活动有关的现金,15730569.55,21202425.53,56565263.2,40302617.69,33694748.74,30442150.41,102133177.34,121128384.59,90738809.73,70880931.88,167888519.05,195791498.41,168216709.2,63317086.87,139807485.96,273524746.18,592286697.91,427834806.53,256887559.65,242500269.16
经营活动现金流入小计,1680271642.68,1590315366.32,2170621419.24,2478962303.4,3890687572.9,5568147318.33,7067773558.62,5829868924.3,4277233258.68,4102519020.8,4627242846.14,6164595090.53,9082702456.45,13528604934.18,13758901238.36,25352659488.95,29358088540.93,30579299956.95,36906134017.3,35744328138.52
购买商品、接受劳务支付的现金,320226661.84,344998624.21,379162023.24,484766424.36,819470789.55,1197746011.78,1653079585.63,1868863435.68,1062378235.68,1003125466.37,1110119403.09,1420190833.74,3182524215.09,3463374476.71,4148951099.17,5226450609.0,4794535083.62,5667454822.04,4689823161.81,5875263257.23
支付给职工及为职工支付的现金,,,,,,,,,,,,,1338223856.26,1462368306.21,2197862351.97,2759858970.87,3075901972.03,3474100285.7,3749492361.13,3964213047.84
支付的各项税费,606651328.96,756600663.8,712280211.75,937469002.82,1132942593.35,1535063516.21,2726612089.38,2312662745.23,1551113285.08,1387871881.17,1701070294.24,2460282164.6,3014780775.18,4645670171.95,4733990922.66,8709398074.61,9964660726.61,12633071841.37,14379462195.91,14786530279.14
支付其他与经营活动有关的现金,231562592.06,257572790.79,330455852.84,420239174.44,735689125.82,805350879.07,1016324078.42,1238464544.93,537268385.65,485484563.66,464550617.47,413029655.52,591471750.17,880640895.29,668276460.76,1011846756.5,1212786781.23,1579589547.45,1915032961.24,2104801732.16
经营活动现金流出小计,1289678514.01,1514811306.45,1580916988.69,2030591278.86,3075920512.83,3971400250.48,6028568561.55,6135796628.32,3860971909.11,3674686459.18,4041320844.54,5268143089.21,8127000596.7,10452053850.16,11749080834.56,17707554410.98,19047884563.49,23354216496.56,24733810680.09,26730808316.37
经营活动产生的现金流量净额,390593128.67,75504059.87,589704430.55,448371024.54,814767060.07,1596747067.85,1039204997.07,-305927704.02,416261349.57,427832561.62,585922001.6,896452001.32,955701859.75,3076551084.02,2009820403.8,7645105077.97,10310203977.44,7225083460.39,12172323337.21,9013519822.15
收回投资收到的现金,,1230000.0,,,,,,,,,10000000.0,122836543.46,53371840.93,1412503372.79,5168700000.0,11246070000.0,40992000000.0,27464000000.0,40269227257.93,44620300000.0
取得投资收益收到的现金,131869.01,132587.86,,,,,,,11501.6,375348.2,596373.87,1460119.53,23989629.86,92847592.83,50103401.3,98035908.81,365085291.25,356182779.07,366283765.13,453081218.39
处置固定资产、无形资产等收回的现金净额,72055.5,,,,161942.4,1179077.72,,186839.0,3089753.9,34804.0,,,183114.0,20995812.08,417704.22,348662.73,,2868244.4,2715789.75,1278558.54
收到其他与投资活动有关的现金,,,,,,,,,,,,,,8067069.27,,8854054.9,,,,
投资活动现金流入小计,203924.51,1362587.86,101478.54,169130.9,-258386.53,1790702.91,4313.1,471152.1,3101255.5,410152.2,10596373.87,124296662.99,77544584.79,1534413846.97,5219221105.52,11353308626.44,41357085291.25,27823051023.47,40638226812.81,45074659776.93
