科目,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
营收增速(%),,20.91,-14.2,35.27,40.74,48.78,44.35,-6.04,-35.67,5.43,6.69,37.06,56.43,25.79,17.76,42.75,31.26,21.8,12.79,7.52
归母净利增速(%),,37.97,-31.81,44.79,39.3,57.85,70.05,-27.64,-62.96,46.34,16.24,56.02,59.63,28.63,58.85,72.56,52.36,28.93,17.29,0.03
扣非归母增速(%),,31.23,-20.17,31.85,41.56,56.59,68.7,-27.55,-62.28,42.26,16.13,56.38,55.24,30.47,59.41,72.81,53.77,29.15,17.24,0.06
毛利率(%),73.39,77.14,76.47,74.87,76.59,76.0,74.77,75.07,67.44,67.37,68.68,69.84,68.68,71.92,72.15,74.91,75.36,75.31,76.2,74.85
净利率(%),20.8,22.48,19.86,21.36,19.95,20.6,21.41,16.19,9.14,13.12,14.56,16.63,16.99,17.29,22.27,26.99,31.12,32.76,34.03,31.76
归母净利率(%),17.06,19.47,15.47,16.56,16.39,17.39,20.49,15.78,9.08,12.61,13.74,15.64,15.96,16.32,22.01,26.61,30.88,32.69,34.0,31.63
"ROE(归母÷期末归母权益,%)",23.14,27.85,16.72,21.53,25.67,31.34,37.37,25.08,9.14,11.77,12.71,18.03,23.34,26.03,31.49,34.91,37.97,37.5,35.23,30.9
"ROE(归母÷年均归母权益,%)",,29.75,17.78,22.79,27.66,35.34,43.93,26.02,9.22,12.52,13.18,18.89,25.78,27.89,35.76,42.51,44.31,42.47,39.12,32.93
销售费用率(%),13.93,19.65,19.56,16.98,19.28,20.53,21.27,27.38,28.45,22.17,17.6,17.89,17.55,21.73,16.27,15.82,12.98,10.07,10.35,10.59
管理费用率(%),8.48,4.98,9.43,9.42,10.09,7.14,6.63,7.56,11.44,10.17,10.04,9.04,7.39,7.2,7.78,5.84,4.63,3.76,4.02,3.75
研发费用率(%),,,,,,,,,,,,,0.13,0.19,0.12,0.12,0.22,0.28,0.41,0.45
税金及附加/营收(%·消费税雷达),18.39,15.57,15.46,17.18,16.99,18.08,16.71,16.27,15.0,16.53,19.73,20.5,20.29,18.97,17.89,18.68,17.55,18.27,16.48,17.86
经营现金流/净利润(现金含量),1.23,0.182,1.874,0.979,1.354,1.727,0.749,-0.31,1.163,0.79,0.913,0.893,0.596,1.498,0.645,1.418,1.264,0.691,0.993,0.733
销售收现/营收,1.09,0.85,1.334,1.138,1.279,1.234,1.075,0.938,1.069,0.977,1.012,0.989,0.944,1.133,0.972,1.254,1.095,0.944,1.017,0.916
capex/净利润(%·正数口径),12.08,15.12,29.17,8.15,30.73,27.85,19.41,48.94,84.09,32.65,16.62,6.65,5.91,7.85,6.28,2.9,10.12,4.64,5.2,9.71
(合同负债+预收)/营收(%·蓄水池),2.36,0.27,6.1,10.99,26.62,25.75,18.73,6.2,9.93,9.41,12.21,15.11,17.6,23.9,22.21,36.93,26.35,22.02,24.08,18.1
应收账款/营收(%),5.02,8.88,2.47,2.1,0.85,0.52,0.29,0.02,0.04,0.26,1.4,0.2,0.13,0.05,0.01,0.01,0.0,0.0,0.0,0.0
(应收票据+应收款项融资)/营收(%·银票),21.04,31.02,17.89,16.88,15.88,12.83,14.01,19.0,27.49,29.73,33.03,36.23,40.56,22.96,30.59,22.09,3.86,5.01,4.89,5.32
资产负债率(%),27.1,25.68,24.96,28.56,40.4,47.45,40.7,33.36,31.98,32.97,34.78,40.28,45.45,52.55,49.11,47.97,40.73,35.88,34.19,28.74
归母/净利润(%·少数股东leak),82.04,86.6,77.93,77.52,82.15,84.42,95.69,97.46,99.41,96.09,94.32,94.02,93.91,94.4,98.82,98.59,99.25,99.8,99.92,99.6
扣非/归母(%·非经常leak),99.2,94.35,110.46,100.59,102.22,101.41,100.6,100.73,102.56,99.71,99.62,99.85,97.1,98.49,98.84,98.98,99.89,100.06,100.02,100.05
存货周转天数,368.0,429.3,677.2,547.5,525.1,423.5,317.7,449.0,543.3,519.6,507.7,460.9,410.2,575.4,595.3,596.5,545.2,535.7,565.2,539.5
应收账款周转天数,18.3,32.4,9.0,7.7,3.1,1.9,1.1,0.1,0.1,1.0,5.1,0.7,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0
应付账款周转天数,33.1,53.9,42.7,43.5,48.8,44.1,43.5,77.7,91.6,157.5,196.3,182.2,104.3,215.9,136.3,129.7,129.0,105.5,163.8,121.0
分配股利利润偿息/归母(%·正数口径·含息近似分红率),39.34,63.28,52.18,69.22,51.31,51.48,20.32,76.06,88.05,0.25,50.42,53.71,37.21,33.08,25.65,3.28,27.13,38.63,43.69,60.37
货币资金/总资产(%),23.15,9.12,25.63,28.21,31.28,41.13,40.59,16.93,13.07,15.6,16.42,13.67,11.48,24.67,23.29,20.52,30.53,8.56,11.75,17.34
