科目,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
货币资金,385463519.19,172013325.78,542096174.62,707582537.56,1081101770.3,2020358378.46,2480804314.29,984851927.92,756496918.01,1046072721.81,1217904235.65,1222314883.37,1421612554.97,3963599835.71,4606714042.74,6145803124.58,11201219039.2,3774745389.98,6284730706.32,9766895738.57
交易性金融资产,,,,,,,,,,,,,,,,6030525824.03,1059147146.12,50237698.63,,
应收票据,321315292.91,572891103.67,283544310.25,361909152.0,479040416.6,576029971.14,907653785.45,1156712378.05,1076409124.88,1227435986.32,1454937260.93,2187506229.03,3831010206.52,,,,,,,
应收账款,76742724.48,163990908.27,39138410.76,44962847.6,25738199.99,23145910.95,18879202.8,1012045.72,1444155.61,10915604.4,61613341.32,11820054.61,12493727.49,6234063.24,1682997.2,1253666.75,542856.16,231112.47,75276.0,96807.5
应收款项融资,,,,,,,,,,,,,,2727971880.3,4280178031.48,4411532296.88,1012520059.76,1600685238.84,1761800769.64,2060271766.71
预付款项,38227518.83,14405556.62,15130394.42,42411718.2,222515479.98,133136653.88,101320859.42,82063799.93,61613626.94,37255148.34,46849989.19,188491466.23,100047284.49,129579151.24,116692392.44,162980503.45,132848735.62,113573908.86,98581925.12,182037851.5
应收利息,,,,,,,,,,,5277772.23,3733827.4,,,,,,,,
其他应收款,7820289.62,7102796.28,7891247.69,11352507.36,10314000.41,10964167.22,7211519.81,6478633.74,10901802.27,17253701.54,27129550.88,38199417.64,38866653.06,34741502.9,140781985.58,102626207.07,32241456.1,36412560.46,33121182.61,35930309.98
存货,409846240.12,496526870.93,691822714.69,808165703.66,1015851955.83,1249734003.57,1422801193.3,1866808821.32,1898168166.99,1917807342.11,1918731720.49,2299397693.4,3324023366.68,5258121138.72,6353550235.1,8188997235.88,9649546343.88,11572556779.71,13270210934.11,14391528589.51
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,1590534209.07,
其他流动资产,,,,,,168569.96,1607493.82,,1577937.53,7340402.49,54474869.42,292037133.18,737564199.61,522165369.87,308356521.53,241947747.26,6113948293.06,17459360643.24,20994682428.48,19473816179.55
流动资产合计,1239415585.15,1426930561.55,1579623252.43,1976384466.38,2834561823.11,4013537655.18,4940278368.89,4097927606.68,3806611732.23,4264080907.01,4786918740.11,6243500704.86,9465617992.82,12642412941.98,15807956206.07,25285666605.9,29202013929.9,34607803332.19,44033737431.35,45910577243.32
可供出售金融资产,,,,,,,,,3835937.04,11808952.56,9968882.04,9006943.11,8807610.36,,,,,,,
长期股权投资,6004083.83,4774083.83,4774083.83,4774083.83,4774083.83,3835937.04,3835937.04,3835937.04,,4000000.0,2652710.46,3404383.71,4283539.2,,39427869.84,76355697.78,80448591.0,94175803.36,95602700.54,118769623.6
其他权益工具投资,,,,,,,,,,,,,,12805376.91,12980274.67,12805376.91,11559230.37,12062061.43,7055792.44,6968343.56
投资性房地产,,,,,,,,,,,,,13924937.8,13459730.78,16030326.14,15466961.51,14925310.41,14361231.56,13977106.07,13511899.07
固定资产,320889117.31,330245410.57,420934906.33,464507992.98,436196146.49,609649869.28,655242127.59,786762999.37,769563230.68,1523558108.44,1709408904.57,1650672715.44,1674669347.24,1620394492.66,1762443649.04,2246596650.33,2124848943.68,1926330261.97,2854881201.12,3250444974.87
