# 单位:千元人民币(RMB thousands·与20-F印刷一致);费用/损失=负数;EPS=元/股(1 ADS=4股);覆盖2016-2025;来源:一手申报印刷报表逐行转录(F-1/424B4 2018-07-26 + 20-F FY2018-FY2025·report/拼多多/)·SEC XBRL companyfacts 逐格独立核通过
科目,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
收益合计 Total revenues,504864,1744076,13119990,30141886,59491865,93949939,130557589,247639205,393836097,431845713
销售成本 Total costs of revenues,-577870,-722830,-2905249,-6338778,-19278641,-31718093,-31462298,-91723577,-153900374,-188801753
毛利 Gross profit (2023起报表不再单列),-73006,1021246,10214741,23803108,40213224,62231846,99095291,,,
销售及营销开支 Sales and marketing expenses,-168990,-1344582,-13441813,-27174249,-41194599,-44801720,-54343719,-82188870,-111300533,-125287932
行政管理开支 General and administrative expenses,-14793,-133207,-6456612,-1296712,-1507297,-1540774,-3964935,-4075622,-7552967,-8157733
研发开支 Research and development expenses,-29421,-129181,-1116057,-3870358,-6891653,-8992590,-10384716,-10952374,-12659361,-16496164
长期投资减值(经营开支内) Impairment of a long-term investment,,-10000,,,,,,,,
总经营开支 Total operating expenses,-213204,-1616970,-21014482,-32341319,-49593549,-55335084,-68693370,-97216866,-131512861,-149941829
经营利润 Operating profit/(loss),-286210,-595724,-10799741,-8538211,-9380325,6896762,30401921,58698762,108422862,93102131
"利息及投资收益净额 Interest and investment income, net (2016-17为利息收入)",4460,80783,584940,1541825,2455366,3061662,3997100,10238080,20553493,25583848
利息费用 Interest expenses,,,,-145858,-757336,-1231002,-51655,-43987,,
汇兑损益 Foreign exchange gain/(loss),475,-11547,10037,63179,225197,71750,-149710,35721,587866,-1966622
权证公允价值变动 Change in FV of warrant liability,-8668,,,,,,,,,
"其他收益净额 Other income/(loss), net",-2034,1373,-12361,82786,193702,656255,2221358,2952579,3119847,2726933
除税及权益法前利润 Profit/(loss) before income tax and equity investees,-291977,-525115,-10217125,-6996279,-7263396,9455427,36419014,71881155,132684068,119446290
所得税 Income tax expenses,0,0,0,0,0,-1933585,-4725667,-11849904,-20266781,-21732756
权益法投资损益 Share of results of equity investees,,,,28676,83654,246828,-155285,-4707,17225,129005
净利润 Net income/(loss) (无少数股东·即归母),-291977,-525115,-10217125,-6967603,-7179742,7768670,31538062,60026544,112434512,97842539
优先股视同分配/(股东注资) Deemed distribution/(contribution),-30430,26413,-80496,,,,,,,
归属普通股股东净利润 Net income/(loss) attributable to ordinary shareholders,-322407,-498702,-10297621,-6967603,-7179742,7768670,31538062,60026544,112434512,97842539
——外币折算差异(OCI) FX translation difference,20001,-47681,1058884,412447,-2495958,-1472172,5860304,1332984,2605982,-5476543
——AFS债券未实现损益(OCI) Unrealized g/(l) on AFS debt securities,,,,,,,-18166,68538,494803,-232319
全面收益 Comprehensive income/(loss),-271976,-572796,-9158241,-6555156,-9675700,6296498,37380200,61428066,115535297,92133677
每股基本盈利(元/股) Basic EPS,-0.18,-0.28,-3.47,-1.51,-1.51,1.55,6.24,11.08,20.31,17.50
每股摊薄盈利(元/股) Diluted EPS,-0.18,-0.28,-3.47,-1.51,-1.51,1.36,5.48,10.29,19.00,16.50
加权平均股数-基本(股) Weighted avg shares basic,1815200000,1764799346,2968319549,4627278394,4768343300,5012651334,5057540124,5416106022,5536049000,5590930000
加权平均股数-摊薄(股) Weighted avg shares diluted,1815200000,1764799346,2968319549,4627278394,4768343300,5713764297,5761291439,5839629562,5916592000,5929576000
