# 单位:千元人民币;费用/流出=负数;覆盖2023Q1-2026Q2
# 来源:一手 SEC 6-K 业绩新闻稿 Ex-99.1 未经审计简明报表逐行解析(report/拼多多/_业绩6K/)
# 🔴 单位断点:2023Q1-2025Q4 原披露为千元;2026Q1 起原披露改为百万元,本表统一折千元、2026 各季末三位系补零非真精度(见 _原始披露单位 行)
# ⚠️ 未经审计:季度数与 20-F 审计年报存在重分类差(见 README「口径决策」)
科目,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1,2026Q2
_原始披露单位,千元,千元,千元,千元,千元,千元,千元,千元,千元,千元,千元,千元,百万元,百万元
_6K发布日,2023-05-30,2023-08-29,2023-11-28,2024-03-21,2024-05-22,2024-08-26,2024-11-21,2025-03-20,2025-05-27,2025-08-25,2025-11-18,2026-03-26,2026-05-28,2026-08-25
收益合计,37637050,52280748,68840371,88881036,86812059,97059531,99354401,110610106,95672175,103984832,108276512,123912194,106229000,112358000
销售成本,-11125285,-18689787,-26830233,-35078272,-32694686,-33698098,-39709214,-47798376,-40947100,-45858933,-46840159,-55155561,-46893000,-48017000
毛利,26511765,33590961,,,,,,,,,,,,
销售及营销开支,-16259688,-17542209,-21748449,-26638524,-23410655,-26049137,-30483800,-31356941,-33402741,-27209896,-30322947,-34352348,-33773000,-29668000
行政管理开支,-816402,-596033,-758345,-1904842,-1823445,-1838550,-1805576,-2085396,-1658943,-1531825,-1755309,-1689726,-1579000,-2342000
研发开支,-2506657,-2733964,-2847323,-2864430,-2909620,-2909210,-3063353,-3777178,-3577828,-3591279,-4332173,-4994884,-4418000,-4567000
总经营开支,-19582747,-20872206,-25354117,-31407796,-28143720,-30796897,-35352729,-37219515,-38639512,-32333000,-36410429,-41036958,-39770000,-36577000
经营利润,6929018,12718755,16656021,22394968,25973653,32564536,24292458,25592215,16085563,25792899,25025924,27719675,19566000,27764000
利息及投资收益净额,1463599,2287741,2127356,4359384,5048589,4855592,5416080,5233232,223125,10422628,8565241,6372854,-632000,13505000
利息费用,-11687,-11937,-12208,-8155,0,0,0,0,0,0,0,0,0,0
汇兑损益,-16037,155717,94860,-198819,214518,60165,-547343,860526,-242140,-799350,-265200,-659932,-145000,-558000
其他收益净额,1227520,1106471,290384,328204,1881248,493258,18606,726735,3261292,119106,-48382,-605083,-2031000,-7399000
除税及权益法前利润,9592413,16256747,19156413,26875582,33118008,37973551,29179801,32412708,19327840,35535283,33277583,32827514,16758000,33312000
权益法投资损益,106389,9781,-105811,-15066,-52430,-49583,2513,116725,-105180,37097,37287,159801,-96000,-38000
所得税,-1597775,-3158442,-3513480,-3580207,-5067752,-5914613,-4201620,-5082796,-4480831,-4818923,-3986686,-8446316,-4115000,-6092000
净利润,8101027,13108086,15537122,23280309,27997826,32009355,24980694,27446637,14741829,30753457,29328184,24540999,12547000,27182000
股权薪酬合计,1533402,1890629,1469819,2184944,2578542,2422762,2478005,2404255,2174133,1954894,2053520,1754424,1524000,1307000
