# 派生自 季度利润表.csv / 季度分部营收.csv / 季度资产负债与现金流.csv；金额单位=千元人民币，比率=%，倍数=倍
# 同比 = 与上年同季对比（本库季度序列自 2023Q1 起，故 2023 各季同比留空）
# ⚠️ 2026 各季原始披露为百万元，本表金额末三位系折算补零、非千元精度
指标,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1,2026Q2
经营利润率(%),18.41,24.33,24.20,25.20,29.92,33.55,24.45,23.14,16.81,24.80,23.11,22.37,18.42,24.71
净利率(%),21.52,25.07,22.57,26.19,32.25,32.98,25.14,24.81,15.41,29.57,27.09,19.81,11.81,24.19
毛利率(%),70.44,64.25,61.03,60.53,62.34,65.28,60.03,56.79,57.20,55.90,56.74,55.49,55.86,57.26
销售费用率(%),43.20,33.55,31.59,29.97,26.97,26.84,30.68,28.35,34.91,26.17,28.01,27.72,31.79,26.40
研发费用率(%),6.66,5.23,4.14,3.22,3.35,3.00,3.08,3.41,3.74,3.45,4.00,4.03,4.16,4.06
交易服务占营收(%),27.61,27.44,42.35,45.24,51.09,49.40,50.33,48.46,49.07,46.43,50.73,51.57,52.99,48.70
营收同比(%),,,,,130.66,85.65,44.33,24.45,10.21,7.14,8.98,12.03,11.03,8.05
经营利润同比(%),,,,,274.85,156.04,45.85,14.28,-38.07,-20.79,3.02,8.31,21.64,7.64
净利同比(%),,,,,245.61,144.20,60.78,17.90,-47.35,-3.92,17.40,-10.59,-14.89,-11.61
交易服务同比(%),,,,,326.80,234.15,71.52,33.31,5.85,0.70,9.85,19.22,19.90,13.34
在线营销同比(%),,,,,55.83,29.48,24.35,17.12,14.76,13.41,8.10,5.26,2.49,3.47
经营现金流/净利(倍),0.17,1.78,2.09,1.58,0.75,1.37,1.10,1.08,1.05,0.70,1.56,0.98,1.31,0.94
营收同比增量中交易服务占比(%),,,,,69.07,75.03,68.33,61.64,29.28,4.88,55.21,77.45,88.50,76.91
营收同比增量中在线营销占比(%),,,,,30.93,24.97,31.67,38.36,70.72,95.12,44.79,22.55,11.50,23.09
无息浮存(商家应付+保证金+客户预收),73105132,77885765,86426521,94020608,94022924,99079969,102501670,111063588,112080204,116260471,121339240,128494146,130577000,132110000
类现金及短投(现金+受限+短投),207933553,231563719,259260163,279195270,301244649,344287779,368854816,399986277,429632708,453808724,494772210,496139093,512284000,533688000
股东权益合计,126510117,145344079,162050015,187241607,218705969,253978218,278504920,313313124,329701399,361863656,391402976,414907086,423427000,447787000
--- 净利同比桥(本季−上年同季) ---,,,,,,,,,,,,,,
净利同比变动(千元),,,,,19896799,18901269,9443572,4166328,-13255997,-1255898,4347490,-2905638,-2194829,-3571457
——经营利润贡献,,,,,19044635,19845781,7636437,3197247,-9888090,-6771637,733466,2127460,3480437,1971101
——利息及投资收益贡献,,,,,3584990,2567851,3288724,873848,-4825464,5567036,3149161,1139622,-855125,3082372
——利息费用贡献,,,,,11687,11937,12208,8155,0,0,0,0,0,0
——汇兑贡献,,,,,230555,-95552,-642203,1059345,-456658,-859515,282143,-1520458,97140,241350
——其他收益净额贡献,,,,,653728,-613213,-271778,398531,1380044,-374152,-66988,-1331818,-5292292,-7518106
——权益法贡献,,,,,-158819,-59364,108324,131791,-52750,86680,34774,43076,9180,-75097
——所得税贡献,,,,,-3469977,-2756171,-688140,-1502589,586921,1095690,214934,-3363520,365831,-1273077
