# 单位:千元人民币;费用/流出=负数;覆盖2023Q1-2026Q2
# 来源:一手 SEC 6-K 业绩新闻稿 Ex-99.1 未经审计简明报表逐行解析(report/拼多多/_业绩6K/)
# 🔴 单位断点:2023Q1-2025Q4 原披露为千元;2026Q1 起原披露改为百万元,本表统一折千元、2026 各季末三位系补零非真精度(见 _原始披露单位 行)
# ⚠️ 未经审计:季度数与 20-F 审计年报存在重分类差(见 README「口径决策」)
# 资产负债项=季末时点数;现金流项=当季发生额
科目,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1,2026Q2
_原始披露单位,千元,千元,千元,千元,千元,千元,千元,千元,千元,千元,千元,千元,百万元,百万元
_6K发布日,2023-05-30,2023-08-29,2023-11-28,2024-03-21,2024-05-22,2024-08-26,2024-11-21,2025-03-20,2025-05-27,2025-08-25,2025-11-18,2026-03-26,2026-05-28,2026-08-25
现金及现金等价物,19771265,31379326,54939761,59794469,55591888,56756329,65295431,57768053,70126217,63222442,92386547,108900587,123041000,128918000
受限资金,50898735,52055133,56413498,61985436,59113029,59360600,60393064,68426368,65131872,66677640,71002923,73830824,76213000,77274000
短期投资,137263553,148129260,147906904,157415365,186539732,228170850,243166321,273791856,294374619,323908642,331382740,313407682,313030000,327496000
支付平台应收,693111,1559765,2547134,3914117,4769048,5491131,4633683,3679309,5475075,6007506,5998462,5109129,5758000,6079000
流动资产合计,215810923,241206173,271575816,294750472,316469963,359726252,386831287,415648232,447774103,476042545,516359817,518979892,536555000,556780000
物业设备及软件净额,948095,1064374,1065180,979597,881008,863494,875513,879327,810743,843211,1249613,1306044,1153000,4752000
其他非流动资产,20344866,28325561,36293655,47951276,56455110,67819245,73974101,83407238,76226396,84971006,90469308,104707713,95179000,96383000
非流动资产合计,24255327,33079184,42675316,53327648,61356164,73018090,79962582,89386084,82739142,91113751,97364501,111064435,101149000,106627000
资产总计,240066250,274285357,314251132,348078120,377826127,432744342,466793869,505034316,530513245,567156296,613724318,630044327,637704000,663407000
客户预收及递延收入,1543135,1639290,2043857,2144610,2281087,2413577,2951591,2947041,2945057,3601464,3331621,3378789,3521000,3641000
商家应付款,55878527,60115463,68099716,74997252,74493746,78707764,82780215,91655947,92515127,95521629,100578026,107407160,109151000,109924000
商家保证金,15683470,16131012,16282948,16878746,17248091,17958628,16769864,16460600,16620020,17137378,17429593,17708197,17905000,18545000
流动负债合计,111022616,125994097,148124266,152900901,151398009,170833104,179996922,188422853,197024748,201962497,219218182,212215238,211642000,212714000
负债合计,113556133,128941278,152201117,160836513,159120158,178766124,188288949,191721192,200811846,205292640,222321342,215137241,214277000,215620000
股东权益合计,126510117,145344079,162050015,187241607,218705969,253978218,278504920,313313124,329701399,361863656,391402976,414907086,423427000,447787000
留存收益,23294062,36402148,51939270,75118597,103116423,135125778,160106472,187421411,202163240,232916697,262244881,285685299,296710000,323892000
经营活动现金流净额,1338022,23395981,32537857,36890671,21067179,43792640,27522313,29547160,15516943,21641656,45660545,24119546,16445000,25670000
投资活动现金流净额,-22620247,-11519860,-4820500,-16470671,-28290121,-42622100,-16898558,-30545257,-6383976,-27021892,-11555616,1538248,2082000,-19974000
融资活动现金流净额,53,7233,385,-8968297,30,728,132,274,219,353,551,-5228476,0,0
汇率影响,-348245,881105,201058,-1025057,147924,240744,-1052321,1503749,-69518,21876,-616092,-1087377,-2005000,1242000
现金净变动,-21630417,12764459,27918800,10426646,-7074988,1412012,9571566,505926,9063668,-5358007,33489388,19341941,16522000,6938000
期初现金及受限资金,92300417,70670000,83434459,111353259,121779905,114704917,116116929,125688495,126194421,135258089,129900082,163389470,182732000,199254000
期末现金及受限资金,70670000,83434459,111353259,121779905,114704917,116116929,125688495,126194421,135258089,129900082,163389470,182731411,199254000,206192000
