# 单位:千元人民币;流出=负数;含投融资分项与补充披露;覆盖2016-2025;来源:一手申报印刷报表逐行转录(F-1/424B4 2018-07-26 + 20-F FY2018-FY2025·report/拼多多/)·SEC XBRL companyfacts 逐格独立核通过
科目,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
经营活动现金流量净额 Net cash from operating activities,879777,9686328,7767927,14820976,28196627,28783011,48507860,94162531,121929292,106938690
投资活动现金流量净额 Net cash from investing activities,-307301,71651,-7548509,-28319678,-38357901,-35562365,-22361670,-55431278,-118356036,-43423236
融资活动现金流量净额 Net cash from financing activities,486538,1398860,17344357,15854731,51798996,-1875154,10079,-8960626,1164,-5227353
汇率变动影响 Exchange rate effect,20397,-47681,546910,450142,-139943,-145157,100177,-291139,840096,-1751111
现金及受限现金净变动 Net increase/(decrease) in cash & restricted cash,1079411,11109158,18110685,2806171,41497779,-8799665,26256446,29479488,4414516,56536990
年初现金及受限现金 Beginning balance,240432,1319843,12429001,30539686,33345857,74843636,66043971,92300417,121779905,126194421
年末现金及受限现金 Ending balance,1319843,12429001,30539686,33345857,74843636,66043971,92300417,121779905,126194421,182731411
--- 补充:经营内关键非现金/调整项 ---,,,,,,,,,,
折旧及摊销 Depreciation and amortization,756,2265,497003,637831,651523,1495380,2224169,786235,708763,601483
股权薪酬 Share-based compensation,4064,13380,6841573,2557706,3613043,4774730,7718365,7078794,9883564,7936971
投资公允价值变动(收益) Fair value change of investments,,,,,104068,-22170,-242236,1013475,6816454,10405890
--- 投资活动分项 ---,,,,,,,,,,
"资本开支(购置物业设备软件及无形) Purchase of property, equipment, software & intangibles",-2301,-8921,-27331,-27436,-43046,-3287232,-635716,-583879,-967137,-1145077
购买短期投资(含定期存款/持有至到期) Purchase of short-term investments,-320000,-1393000,-7516370,-52451615,-86438068,-116639550,-160414453,-147131673,-210272769,-209632316
出售/回收短期投资 Proceeds from short-term investments,30000,1633000,50000,24797630,55083390,97547038,141928351,130317231,147287723,230909306
购买长期投资(含长期定期存款) Purchase of long-term investments,-15000,,-184637,-214100,-6722228,-13628052,-6795838,-25051222,-43847005,-42382910
出售/回收长期投资 Proceeds from long-term investments,,,5000,,,,7137814,,2000000,709199
购买AFS债券 Purchase of available-for-sale debt securities,,,,,,,-3581868,-17318333,-13732957,-28544366
出售AFS债券 Proceeds from AFS debt securities,,,,,,,,4206359,1140417,6862682
--- 融资活动分项 ---,,,,,,,,,,
IPO募资(净发行成本前) Proceeds from IPO,,,11879944,,,,,,,
IPO发行成本 IPO costs,,,-356313,,,,,,,
增发净额 Net proceeds from follow-on offerings,,,,7993828,26805438,,,,,
私募配售 Proceeds from private placements,,,,,11063339,,,,,
可转债发行净额 Net proceeds from convertible bonds,,,,6963881,13024199,,,,,
可转债偿还/回购 Repayment or repurchase of convertible bonds,,,,,,,,-8968817,-91,-5228716
优先股发行 Proceeds from issuance of convertible preferred shares,511911,1446906,5824568,,,,,,,
优先股发行成本 Costs for issuance of preferred shares,-7047,-15369,-3842,,,,,,,
回购B类普通股 Repurchase of Class B ordinary shares,,-32677,,,,,,,,
视同分配 Deemed distribution,-18326,,,,,,,,,
短期借款取得 Proceeds from short-term borrowings,,,,897022,1828923,,,,,
短期借款偿还 Repayment of short-term borrowings,,,,,-922897,-1875472,,,,
其他融资项 Others (financing),,,,,-6,318,10079,8191,1255,1363
已付股息 Dividends paid (上市以来从未分红),,,,,,,,,,
--- 补充披露 ---,,,,,,,,,,
利息已收 Interest received,3992,52150,433390,1211443,1881812,2936860,3567738,7273373,9429226,12323119
所得税已付 Income taxes paid,,,,,,,4881252,5764435,17492828,21602615
