# 派生比率(比率=小数;金额行=千元;周转=天);通用底 scripts/derived.py + 拼多多定制层;覆盖2016-2025;US GAAP 无扣非披露线故扣非行 n/a(公司自报 Non-GAAP 净利未入库);上市以来分红=0故分红率行空
科目,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
毛利率 Gross margin,-0.1446,0.5856,0.7786,0.7897,0.6759,0.6624,0.7590,0.6296,0.6092,0.5628
净利率 Net margin,-0.5783,-0.3011,-0.7787,-0.2312,-0.1207,0.0827,0.2416,0.2424,0.2855,0.2266
销售费用率 S&D exp ratio,0.3347,0.7709,1.0245,0.9015,0.6924,0.4769,0.4162,0.3319,0.2826,0.2901
管理/行政费用率 Admin exp ratio,0.0293,0.0764,0.4921,0.0430,0.0253,0.0164,0.0304,0.0165,0.0192,0.0189
研发费用率 R&D exp ratio,0.0583,0.0741,0.0851,0.1284,0.1158,0.0957,0.0795,0.0442,0.0321,0.0382
ROE(期末) Return on year-end equity,0.6849,0.5294,-0.5428,-0.2827,-0.1193,0.1034,0.2678,0.3206,0.3589,0.2367
ROE(年均) Return on avg equity,,0.7405,-1.1460,-0.3206,-0.1693,0.1148,0.3270,0.3936,0.4492,0.2693
经营现金流/净利 OCF/Net profit,-3.0132,-18.4461,-0.7603,-2.1271,-3.9272,3.7050,1.5381,1.5687,1.0844,1.0930
Capex/净利 Capex/Net profit,-0.0079,-0.0170,-0.0027,-0.0039,-0.0060,0.4231,0.0202,0.0097,0.0086,0.0117
应收/营收 AR/Revenue,0.0204,0.0506,0.0189,0.0349,0.0123,0.0072,0.0045,0.0158,0.0093,0.0118
存货/营收 Inventory/Revenue,,,,,,,,,,
资产负债率 Liabilities/Total assets,1.2407,1.0745,0.5641,0.6759,0.6213,0.5855,0.5033,0.4621,0.3796,0.3439
归母/净利 Parent/Net profit,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
扣非净利率(估) Adj net margin est,,,,,,,,,,
应收账款周转天数 AR turnover days,7.434,10.302,4.670,7.862,5.462,2.726,1.763,3.318,3.519,3.714
存货周转天数 Inventory turnover days,,,,,,,,,,
应付账款周转天数 AP turnover days,705.403,2765.997,1703.258,1359.007,792.913,669.420,729.868,275.200,197.623,192.419
现金及金融资产/总资产 Cash&financial/TA,0.9091,0.9373,0.8839,0.9024,0.8772,0.8419,0.8747,0.8021,0.7920,0.7875
固定资产PPE/总资产 PPE/TA,0.0013,0.0007,0.0007,0.0005,0.0013,0.0122,0.0044,0.0028,0.0017,0.0021
存货/总资产 Inventory/TA,,,,,,,,,,
(应收+预付)/总资产 Receivables&prepay/TA,0.0288,0.0162,0.0278,0.0263,0.0371,0.0226,0.0122,0.0233,0.0160,0.0201
当年分红率 Payout ratio,,,,,,,,,,
经营利润率 Operating margin,-0.5669,-0.3416,-0.8232,-0.2833,-0.1577,0.0734,0.2329,0.2370,0.2753,0.2156
累计股权及可转债净融资(千元·含上市前优先股·截至该年末),504864,1903724,19248081,34205790,85098766,85098766,85098766,76129949,76129858,70901142
累计分红+回购(千元·负=流出;含2017回购B类与视同分配),-18326,-51003,-51003,-51003,-51003,-51003,-51003,-51003,-51003,-51003
股权薪酬/营收 SBC/Revenue,0.0080,0.0077,0.5215,0.0849,0.0607,0.0508,0.0591,0.0286,0.0251,0.0184
自由现金流FCF(千元) OCF−Capex,877476,9677407,7740596,14793540,28153581,25495779,47872144,93578652,120962155,105793613
FCF/净利 FCF/Net income,-3.0053,-18.4291,-0.7576,-2.1232,-3.9213,3.2819,1.5179,1.5590,1.0758,1.0813
有效税率 Effective tax rate,,,,,,0.2045,0.1298,0.1649,0.1527,0.1819
无息浮存(商家应付+保证金+客户预收)(千元),1338424,11673057,21655689,38373370,67183490,77254030,79764579,94020608,111063588,128494146
无息浮存/营收 Float/Revenue,2.6511,6.6930,1.6506,1.2731,1.1293,0.8223,0.6110,0.3797,0.2820,0.2975
类现金及投资(现金+受限+短投+其他非流动)(千元)【注:其他非流动以定期存款/HTM债券为主】,1609843,12484001,38353042,69137804,146670035,168986555,224275088,327146546,483393515,600846806
净现金(现金+受限+短投−短借−可转债)(千元),1609843,12479001,38170375,62529254,123095622,140771682,191951465,273315177,394676680,496139093
净现金/总资产 Net cash/TA,0.9091,0.9373,0.8839,0.8221,0.7746,0.7768,0.8095,0.7852,0.7815,0.7875
