# 单位:千元人民币;覆盖2016-2025(2016年末BS独家来自F-1);来源:一手申报印刷报表逐行转录(F-1/424B4 2018-07-26 + 20-F FY2018-FY2025·report/拼多多/)·SEC XBRL companyfacts 逐格独立核通过
科目,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
现金及现金等价物 Cash and cash equivalents,1319843,3058152,14160322,5768186,22421189,6426715,34326192,59794469,57768053,108900587
受限资金 Restricted cash,0,9370849,16379364,27577671,52422447,59617256,57974225,61985436,68426368,73830824
应收在线支付平台款 Receivables from online payment platforms,10282,88173,247586,1050974,729548,673737,587696,3914117,3679309,5109129
短期投资 Short-term investments,290000,50000,7630689,35288827,64551094,86516618,115112554,157415365,273791856,313407682
应收关联方款 Amounts due from related parties (current),92647,442912,1019033,2365528,4240069,4250155,6318830,7428070,7569180,10205128
预付款项及其他流动资产 Prepayments and other current assets,40731,127742,953989,950277,5159531,3424687,2298379,4213015,4413466,7526542
流动资产合计 Total current assets,1753503,13137828,40390983,73001463,149523878,160909168,216617876,294750472,415648232,518979892
"物业设备及软件净额 Property, equipment and software, net",2248,9279,29075,41273,202853,2203323,1044847,979597,879327,1306044
无形资产 Intangible assets,,,2579338,1994292,1276751,701220,134002,21148,19170,15387
使用权资产 Right-of-use assets,,,,517188,629827,938537,1416081,4104889,5064351,4863332
递延所得税资产 Deferred tax assets,,,,,,31504,1045030,270738,15998,171959
长期投资 Long-term investment (2016仅F-1列示;2017起按FY2018口径并入其他非流动),15000,,,,,,,,,
关联方长期借款 Loan to a related party (non-current),,162363,,,,,,,,
其他非流动资产 Other non-current assets,,5000,182667,503120,7275305,16425966,16862117,47951276,83407238,104707713
非流动资产合计 Total non-current assets,17248,176642,2791080,3055873,9384736,20300550,20502077,53327648,89386084,111064435
资产总计 Total Assets,1770751,13314470,43182063,76057336,158908614,181209718,237119953,348078120,505034316,630044327
应付关联方款 Amounts due to related parties,24976,76057,478113,1502892,3385863,1963007,1676391,1238776,801859,1086540
客户预收及递延收入 Customer advances and deferred revenues,2154,56453,191482,605970,2423190,1166764,1389655,2144610,2947041,3378789
商家应付款 Payable to merchants,1116798,9838519,17275934,29926488,53833981,62509714,63316695,74997252,91655947,107407160
应计费用及其他流动负债 Accrued expenses and other liabilities,41832,360393,2225667,4877062,11193372,14085513,20960723,55351399,69141831,81657839
商家保证金 Merchant deposits,219472,1778085,4188273,7840912,10926319,13577552,15058229,16878746,16460600,17708197
权证负债 Warrant liability,9064,,,,,,,,,
短期借款 Short-term borrowings,,,,898748,1866316,,,,,
"可转债-流动 Convertible bonds, current portion",,,,,,,13885751,648570,5309597,
租赁负债-流动 Lease liabilities (current),,,,115734,253036,427164,602036,1641548,2105978,2498643
流动负债合计 Total current liabilities,1414296,12109507,24359469,45767806,83882077,93729714,116889480,152900901,188422853,213737168
可转债-非流动 Convertible bonds (non-current),,,,5206682,14432792,11788907,1575755,5231523,,
租赁负债-非流动 Lease liabilities (non-current),,,,428593,414939,544263,870782,2644260,3191565,2880152
递延所得税负债 Deferred tax liabilities,,,,,,31291,13025,59829,106774,41851
其他非流动负债 Other non-current liabilities,,,,7389,2918,996,,,,
非流动负债合计 Total non-current liabilities,0,0,0,5642664,14850649,12365457,2459562,7935612,3298339,2922003
负债合计 Total liabilities,1414296,12109507,24359469,51410470,98732726,106095171,119349042,160836513,191721192,216659171
夹层权益(可赎回可转优先股) Mezzanine equity,782733,2196921,,,,,,,,
普通股(A类+B类·2021起仅A类) Ordinary shares,56,54,142,148,159,161,170,177,180,182
资本公积 Additional paid-in capital,21531,61326,29114527,41493949,86698660,95340819,99250468,107293091,117829308,125767661
法定储备 Statutory reserves,,,,,,,5000,105982,237680,1338261
累计其他全面收益 Accumulated other comprehensive income/(loss),24580,-23101,1035783,1448230,-1047728,-2519900,3322238,4723760,7824545,2115683
留存收益/(累计亏损) Retained earnings/(accumulated deficits),-472445,-1030237,-11327858,-18295461,-25475203,-17706533,15193035,75118597,187421411,284163369
股东权益合计 Total shareholders' equity/(deficits),-426278,-991958,18822594,24646866,60175888,75114547,117770911,187241607,313313124,413385156
"负债、夹层及权益合计 Total liabilities, mezzanine equity and equity",1770751,13314470,43182063,76057336,158908614,181209718,237119953,348078120,505034316,630044327
