# 利润表（李宁 02331.HK）· 单位：人民币百万元；负数=流出/减项；空=该期财报无此科目
# 来源：report/李宁/ 招股说明书(2001-2003)+各年年报(2004-2025) 逐行解析；各年取该年年报本年列(as-reported)，比较列仅用于跨年交叉核
科目,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
营业额,734.935,958.005,1276.224,1878.102,2450.536,3180.543,4348.747,6690.073,8386.91,9478.527,8928.526,6738.911,5824.11,6727.601,7089.495,8015.293,8873.912,10510.898,13869.63,14456.971,22572.281,25803.383,27598.491,28675.643,29598.417
销售成本,-447.736,-528.148,-670.305,-1004.578,-1297.991,-1671.991,-2265.901,-3469.699,-4417.046,-4996.928,-4814.013,-4188.977,-3230.134,-3724.092,-3896.836,-4310.065,-4697.429,-5458.124,-7064.168,-7362.627,-10603.183,-13318.59,-14246.436,-14519.54,-15109.58
毛利,287.199,429.857,605.919,873.524,1152.545,1508.552,2082.846,3220.374,3969.864,4481.599,4114.513,2549.934,2593.976,3003.509,3192.659,3705.228,4176.483,5052.774,6805.462,7094.344,11969.098,12484.793,13352.055,14156.103,14488.837
其他收入及收益净额,7.263,7.126,8.146,17.399,32.626,29.561,30.985,64.887,127.111,194.631,143.433,168.792,146.702,34.279,30.92,74.047,43.636,94.546,138.823,361.867,400.348,805.165,523.667,154.191,228.433
销售及分销开支,-128.557,-222.581,-335.717,-545.985,-690.527,-900.865,-1221.619,-1883.206,-2152.15,-2511.175,-2909.922,-2635.404,-2674.235,-2863.516,-2720.361,-2969.341,-3273.375,-3708.446,-4445.07,-4424.718,-6138.077,-7314.303,-9080.121,-9198.907,-9189.675
行政开支,-88.846,-104.561,-121.049,-168.658,-223.147,-234.73,-282.357,-441.842,-602.929,-618.28,-717.068,-1675.656,-235.86,-703.145,-346.149,-424.129,-501.066,-679.873,-968.264,-805.058,-1110.675,-1113.218,-1256.152,-1427.907,-1630.412
其他经营开支,-11.858,-6.494,-38.19,15.163,,,,,,,,,,,,,,,,,,,,,
金融资产减值拨备净额,,,,,,,,,,,,,,,,,,18.176,12.258,-30.466,15.682,24.321,19.638,-5.274,1.025
经营溢利,65.201,103.347,119.109,191.443,271.497,402.518,609.855,960.213,1341.896,1546.775,630.956,-1592.334,-169.417,-528.873,157.069,385.805,445.678,777.177,1543.209,2195.969,5136.376,4886.758,3559.087,3678.206,3898.208
财务收入净额,-6.111,-7.392,-4.546,0.821,1.954,-1.365,8.677,-30.975,-58.766,-37.261,-82.052,-201.182,-149.997,-143.106,-133.203,-107.575,18.04,9.511,-30.132,-31.591,32.639,327.187,319.11,175.104,33.118
应占联营合营溢利,,,,,,,,,,,-1.527,-11.508,2.242,7.352,6.948,9.716,73.806,63.633,343.469,83.487,159.222,201.155,377.972,256.299,257.897
除税前溢利,59.09,95.955,114.563,192.264,273.451,401.153,618.532,929.238,1283.13,1509.514,547.377,-1805.024,-317.172,-664.627,30.814,287.946,537.524,850.321,1856.546,2247.865,5328.237,5415.1,4256.169,4109.609,4189.223
所得税开支,-8.634,-28.13,-22.029,-57.486,-85.106,-106.09,-144.535,-201.938,-313.799,-377.378,-136.408,-150.375,-42.219,-78.877,-73.768,-32.435,-22.369,-135.058,-357.403,-549.381,-1317.349,-1351.329,-1069.207,-1096.691,-1253.48
持续经营溢利,,,,,,,,,,,,,,,-42.954,255.511,515.155,,,,,,,,
终止经营溢利,,,,,,,,,,,,,,,104.559,445.358,,,,,,,,,
年内溢利,50.456,67.825,92.534,134.778,188.345,295.063,473.997,727.3,969.331,1132.136,410.969,-1955.399,-359.391,-743.504,61.605,700.869,515.155,715.263,1499.143,1698.484,4010.888,4063.771,3186.962,3012.918,2935.743
母公司拥有人应占溢利,49.62,66.889,93.96,133.439,186.8,294.846,473.606,721.267,944.524,1108.487,385.813,-1979.114,-391.54,-781.481,14.309,643.254,515.155,715.263,1499.139,1698.484,4010.881,4063.834,3186.91,3012.918,2935.743
非控股权益应占溢利,0.836,0.936,-1.426,1.339,1.545,0.217,0.391,6.033,24.807,23.649,25.156,23.715,32.149,37.977,47.296,57.615,,,0.004,,0.007,-0.063,0.052,,
