# 现金流量表（李宁 02331.HK）· 单位：人民币百万元；负数=流出/减项；空=该期财报无此科目
# 来源：report/李宁/ 招股说明书(2001-2003)+各年年报(2004-2025) 逐行解析；各年取该年年报本年列(as-reported)，比较列仅用于跨年交叉核
科目,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
经营所得现金(税前),56.842,65.763,,191.484,206.562,395.367,565.912,944.798,1649.776,1474.588,427.477,-794.846,-17.594,-348.691,735.429,1059.481,1185.933,1680.942,3646.974,3352.676,6981.667,5230.021,5843.038,6542.252,6071.206
已付所得税,-20.088,-14.558,,-57.067,-67.957,-101.977,-172.988,-245.831,-343.108,-483.693,-411.907,-136.294,4.063,-45.664,-48.386,-64.005,-26.79,-9.073,-143.505,-589.34,-456.332,-1316.417,-1155.102,-1274.317,-1219.674
经营活动所得现金净额,29.312,43.057,,134.417,138.605,293.39,392.924,698.967,1306.668,990.895,15.57,-931.14,-13.531,-394.355,687.043,995.476,1159.143,1671.869,3503.469,2763.336,6525.335,3913.604,4687.936,5267.935,4851.532
投资活动所得现金净额,-10.115,-7.141,,-408.546,-41.69,246.488,-311.756,-402.066,-309.757,-324.371,-402.346,-217.897,-218.975,-334.082,-362.745,-320.306,-342.516,-482.937,-573.343,-991.555,-6538.7,-9481.433,-2449.105,-839.616,6633.971
融资活动所得现金净额,-17.387,-20.114,,371.965,-38.34,-78.868,-67.245,-355.538,-519.495,-454.244,120.034,1200.576,291.767,474.673,636.375,-509.027,-232.493,-65.643,-648.624,-513.491,7596.15,-1887.435,-4216.951,-2324.279,-2155.034
购买物业厂房设备,-12.332,-13.972,,-31.145,-38.546,-97.881,-223.112,-202.545,-140.058,-188.872,-298.021,-124.17,-93.801,-242.459,-311.22,-382.944,-389.37,-430.795,-635.974,-593.976,-985,-1756.744,-1727.144,-1430.834,-1222.386
购买无形资产,-0.24,-0.855,,-7.655,-3.375,-9.582,-19.946,-39.934,-67.183,-80.224,-89.612,-93.173,-119.871,-84.769,-77.451,-93.213,-38.243,-44.321,-49.831,-52.945,-42.754,-73.681,-88.13,-72.205,-63.885
购买土地使用权,,,,,,,,-17.939,-64.907,-3.25,-0.15,,,,,,,,,-98.713,,,,,
已付利息,-7.442,-8.148,,-4.369,-1.102,,-5.224,-39.26,-24.954,-10.891,-49.104,-134.782,-96.687,,-83.604,-55.817,-7.76,,,,,,-16.006,-28.176,-26.828
已付股息,-30,-7.162,,-105.772,-69.402,-88.27,-138.41,-576.209,-255.945,-465.463,-325.605,,,,,,,,-214.695,-377.821,,,-2174.829,-1443.945,-1399.89
现金净变动,1.81,15.802,,97.836,58.575,461.01,13.923,-58.637,477.416,212.28,-266.742,51.539,59.261,-253.764,960.673,166.143,584.134,1123.289,2281.502,1258.29,7582.785,-7455.264,-1978.12,2104.04,9330.469
期初现金,110.04,111.85,127.652,224.488,322.568,378.368,838.867,849.887,788.04,1264.343,1470.435,1196.474,1241.304,1280.684,1031.386,1989.265,1953.588,2529.222,3671.542,5961.445,7187.039,14744.899,7382.218,5443.883,7498.596
划归持作出售之现金,,,,,,,,,,,,,,,-176.693,-204.314,,,,,,,,,
汇率影响,,,,0.244,-2.775,-0.511,-2.903,-3.21,-1.113,-6.188,-7.219,0.58,-19.881,4.466,-2.794,2.494,-8.5,19.031,8.401,-32.696,-24.925,92.583,39.785,-49.327,-112.514
期末现金,111.85,127.652,224.488,322.568,378.368,838.867,849.887,788.04,1264.343,1470.435,1196.474,1248.593,1280.684,1031.386,1812.572,1953.588,2529.222,3671.542,5961.445,7187.039,14744.899,7382.218,5443.883,7498.596,16716.551
