# 财务比率（李宁 02331.HK）· 派生自本目录三表；比率为小数(0.49=49%)，天数为日；空=所需科目该年缺失
# 通用底 = scripts/derived.py compute_common_ratios()；其余为李宁定制层（运动服饰/品牌零售）
指标,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
毛利率 Gross margin,0.3908,0.4487,0.4748,0.4651,0.4703,0.4743,0.479,0.4814,0.4733,0.4728,0.4608,0.3784,0.4454,0.4464,0.4503,0.4623,0.4706,0.4807,0.4907,0.4907,0.5303,0.4838,0.4838,0.4937,0.4895
净利率 Net margin,0.0687,0.0708,0.0725,0.0718,0.0769,0.0928,0.109,0.1087,0.1156,0.1194,0.046,-0.2902,-0.0617,-0.1105,0.0087,0.0874,0.0581,0.068,0.1081,0.1175,0.1777,0.1575,0.1155,0.1051,0.0992
销售费用率 S&D exp ratio,0.1749,0.2323,0.2631,0.2907,0.2818,0.2832,0.2809,0.2815,0.2566,0.2649,0.3259,0.3911,0.4592,0.4256,0.3837,0.3705,0.3689,0.3528,0.3205,0.3061,0.2719,0.2835,0.329,0.3208,0.3105
管理/行政费用率 Admin exp ratio,0.1209,0.1091,0.0948,0.0898,0.0911,0.0738,0.0649,0.066,0.0719,0.0652,0.0803,0.2487,0.0405,0.1045,0.0488,0.0529,0.0565,0.0647,0.0698,0.0557,0.0492,0.0431,0.0455,0.0498,0.0551
ROE(期末) Return on year-end equity,0.3337,0.3103,0.2415,0.1321,0.1609,0.2107,0.2715,0.3803,0.3532,0.329,0.1111,-1.2265,-0.1459,-0.4004,0.0045,0.161,0.1016,0.123,0.2105,0.1955,0.1901,0.167,0.1306,0.1154,0.1063
ROE(年均) Return on avg equity,,0.3673,0.3108,0.1908,0.1721,0.2303,0.3013,0.3962,0.4133,0.3668,0.1128,-0.7783,-0.1822,-0.3371,0.0056,0.1793,0.1136,0.1314,0.2317,0.2149,0.2693,0.1789,0.1308,0.1193,0.1093
经营现金流/净利 OCF/Net profit,0.5809,0.6348,,0.9973,0.7359,0.9943,0.829,0.961,1.348,0.8752,0.0379,0.4762,0.0376,0.5304,11.1524,1.4203,2.2501,2.3374,2.337,1.6269,1.6269,0.963,1.471,1.7484,1.6526
Capex/净利 Capex/Net profit,0.2444,0.206,,0.2311,0.2047,0.3317,0.4707,0.2785,0.1445,0.1668,0.7252,-0.0635,-0.261,-0.3261,5.0519,0.5464,0.7558,0.6023,0.4242,0.3497,0.2456,0.4323,0.5419,0.4749,0.4164
应收/营收 AR/Revenue,0.0789,0.0867,0.0941,0.1158,0.1523,0.1821,0.1575,0.163,0.1275,0.1701,0.2346,0.2207,0.2354,0.1873,0.203,0.171,0.1282,0.0884,0.0495,0.0456,0.04,0.0395,0.0437,0.035,0.0469
存货/营收 Inventory/Revenue,0.2449,0.2389,0.2321,0.1695,0.1186,0.1102,0.1182,0.0973,0.0753,0.085,0.1269,0.1365,0.1618,0.1916,0.1354,0.1204,0.1242,0.1179,0.1015,0.0931,0.0785,0.0941,0.0903,0.0906,0.091
资产负债率 Liabilities/Total assets,0.6629,0.5919,0.4726,0.3066,0.2556,0.3455,0.3726,0.5183,0.4678,0.4576,0.5,0.6996,0.5194,0.6408,0.5055,0.4105,0.307,0.3332,0.4322,0.4046,0.3029,0.2768,0.2865,0.269,0.2674
归母/净利 Parent/Net profit,0.9834,0.9862,1.0154,0.9901,0.9918,0.9993,0.9992,0.9917,0.9744,0.9791,0.9388,1.0121,1.0895,1.0511,0.2323,0.9178,1,1,1,1,1,1,1,1,1
扣非净利率(估) Adj net margin est,,,,,,,,,,,,,,,,,,,,,,,,,
应收账款周转天数 AR turnover days,28.7809,26.8571,29.0419,32.8087,43.9989,54.6471,53.0397,48.4289,47.0014,51.6412,75.7741,97.0017,89.5763,71.3813,69.4951,63.9755,51.5852,35.8879,21.2572,16.9839,12.6262,13.6023,14.719,14.0659,14.7566
存货周转天数 Inventory turnover days,146.7008,141.2524,142.9561,111.647,85.6185,69.9836,69.6278,61.2592,52.9787,52.4873,73.4912,89.4227,105.1986,109.365,105.3264,81.5129,80.3424,78.3174,68.3842,68.2345,53.6723,57.5627,63.0423,63.9956,63.9193
应付账款周转天数 AP turnover days,53.3997,66.8392,81.545,78.5857,66.8083,69.7064,73.6859,71.212,69.8221,73.6801,100.5892,105.5787,105.9343,91.5132,91.3663,86.5823,85.1784,76.1824,64.1091,63.8357,48.6477,43.6252,43.2245,42.9231,42.5985
现金及金融资产/总资产 Cash&financial/TA,0.2287,0.2237,0.2924,0.2177,0.239,0.3874,0.3056,0.1817,0.2351,0.2241,0.1633,0.207,0.2128,0.1708,0.2628,0.2881,0.3455,0.4207,0.4751,0.4925,0.487,0.2194,0.1591,0.21,0.4432
固定资产PPE/总资产 PPE/TA,0.1747,0.1405,0.1061,0.0603,0.0605,0.0725,0.1223,0.1451,0.1187,0.1098,0.1135,0.1422,0.1315,0.1426,0.1073,0.1221,0.1145,0.0951,0.0828,0.073,0.0537,0.0961,0.1206,0.1291,0.126
存货/总资产 Inventory/TA,0.3679,0.401,0.3858,0.2149,0.1836,0.1619,0.1848,0.15,0.1174,0.1228,0.1546,0.1525,0.1566,0.2135,0.1391,0.1424,0.1506,0.1421,0.1122,0.0922,0.0586,0.0722,0.0729,0.0728,0.0714
(应收)/总资产 Receivables/TA,0.1185,0.1455,0.1564,0.1469,0.2358,0.2675,0.2462,0.2515,0.1989,0.2458,0.2858,0.2466,0.2279,0.2086,0.2087,0.2021,0.1554,0.1064,0.0547,0.0451,0.0298,0.0303,0.0352,0.0281,0.0368
