# 资产负债表（李宁 02331.HK）· 单位：人民币百万元；负数=流出/减项；空=该期财报无此科目
# 来源：report/李宁/ 招股说明书(2001-2003)+各年年报(2004-2025) 逐行解析；各年取该年年报本年列(as-reported)，比较列仅用于跨年交叉核
科目,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
物业、厂房及设备,85.449,80.173,81.484,89.399,95.796,156.887,340.036,629.305,638.181,720.578,831.693,857.616,791.071,861.173,740.305,827.677,838.185,830.085,1038.588,1065.058,1625.887,3234.563,4123.948,4610.454,4753.734
使用权资产,,,,,,,,,,,,,,,,,,,981.422,1065.979,1332.765,2022.229,2184.054,1576.667,1561.724
投资物业,,,,,,,,,,,,,,,,,,,119.278,115.2,1850.045,1802.227,1560.455,2913.826,2557.64
土地使用权,4.678,4.471,4.264,4.057,3.857,25.583,25.008,324.764,386.705,380.55,371.696,362.763,351.352,372.113,79.788,77.887,75.986,74.092,72.233,166.377,162.579,158.781,154.654,150.864,147.074
无形资产,1.48,1.845,3.775,9.363,9.96,81.551,87.834,329.035,869.911,814.08,751.836,423.382,380.935,446.399,265.57,282.696,257.947,233.921,193.261,190.746,187.68,217.236,220.867,234.736,156.823
以权益法入账的投资,,,,,,,,,,,11.303,4.275,13.496,20.848,27.796,625.008,689.071,728.499,1056.866,1101.116,1267.071,1369.403,1606.601,1743.938,1827.94
递延所得税资产,,,,,,12.455,29.601,69.441,193.109,297.86,445.857,364.951,345.61,311.081,230.868,207.458,234.327,239.047,431.715,590.635,707.575,693.402,800.96,949.424,984.539
非流动资产总额,,,,,,,,1518.985,2215.895,2368.205,2547.218,2105.107,2055.201,2077.087,1413.942,2130.054,2210.967,2341.051,4008.158,4817.309,11602.962,21251.624,20554.82,15180.164,14764.445
存货,179.954,228.825,296.239,318.326,290.617,350.544,513.947,650.715,631.528,805.598,1132.965,919.58,942.368,1289.332,959.652,965.422,1102.538,1239.741,1407.257,1345.539,1772.803,2428.04,2493.206,2598.226,2693.793
贸易应收款项,57.951,83.031,120.059,217.574,373.226,579.143,684.727,1090.576,1069.404,1612.69,2094.44,1487.401,1371.24,1260.131,1439.513,1370.254,1138.034,928.895,686.606,658.796,902.857,1020.346,1205.532,1004.591,1388.679
其他应收款及预付款项,47.756,44.636,37.469,81.424,67.824,109.951,114.071,182.938,194.446,411.026,432.43,266.438,488.45,418.75,353.004,455.184,441.318,140.256,154.188,193.91,267.577,356.602,412.57,411.951,401.264
受限制银行存款,,,,66.212,,,,105.675,2.254,2.045,13.194,13.688,2.149,2.593,0.495,1.001,0.721,0.2,1.126,1.084,1.061,0.97,0.806,23.261,0.2
定期/长期银行存款,,,,372.508,353.161,10.304,11.167,,,,,,,,,,,,,254.966,3736.187,11666.62,12530.829,10642.331,3256.889
现金及现金等价物,111.85,127.652,224.488,322.568,378.368,838.867,849.887,788.04,1264.343,1470.435,1196.474,1248.593,1280.684,1031.386,1812.572,1953.588,2529.222,3671.542,5961.445,7187.039,14744.899,7382.218,5443.883,7498.596,16716.551
流动资产总额,,,,,,,,2817.944,3161.975,4193.587,4781.6,3926.903,3961.65,3962.719,5483.516,4650.44,5110.382,6386.254,8539.316,9776.556,18671.854,12394.895,13652.983,20528.242,22949.622
资产总计,489.118,570.633,767.778,1481.431,1582.811,2165.285,2780.851,4336.929,5377.87,6561.792,7328.818,6032.01,6016.851,6039.806,6897.458,6780.494,7321.349,8727.305,12547.474,14593.865,30274.816,33646.519,34207.803,35708.406,37714.067
股本,0.006,0.006,0.008,108.563,108.889,109.503,110.023,110.323,110.898,111.364,111.604,111.622,136.613,141.698,177.492,188.021,203.347,204.435,214.3,228.285,238.759,240.32,239.546,235.853,235.854
股份溢价,,,,,,462.911,352.83,200.758,243.553,293.988,312.379,315.972,1146.845,1298.537,2168.867,2539.355,3189.792,3249.389,3547.682,4037.767,12637.277,11580.718,10172.638,9011.394,9003.738
储备合计(旧版式),148.683,215.572,389.024,901.454,1052.035,,,,,,,,,,,,,,,,,,,,
其他储备,,,,,,182.484,211.889,257.61,332.378,346.647,370.106,489.485,1101.347,984.398,1308.23,1171.526,1086.613,1314.569,1153.645,874.574,1241.767,1792.412,2021.513,2251.666,2375.19
持作限制性股份计划之股份,,,,,,-6.367,-44.089,-84.118,-53.239,-64.508,-52.415,-41.185,-31.509,-3.719,-2.084,-50.605,-69.6,-168.809,-276.664,-148.995,-37.84,-180.839,-1037.927,-290.896,-248.744
保留溢利/累计亏损,,,,,,650.959,1113.948,1411.84,2040.918,2681.811,2730.169,737.703,330.934,-469.056,-472.602,146.302,660.895,1217.456,2482.676,3695.232,7021.583,10896.819,13010.871,14895.672,16261.461
非控股权益,16.197,17.295,15.869,17.208,17.372,17.589,,192.535,187.603,190.08,192.816,198.644,207.534,217.583,230.637,2.55,2.55,2.55,2.554,2.554,2.561,2.498,,,
母公司拥有人应占权益,148.689,215.578,389.032,1010.017,1160.924,1399.49,1744.601,1896.413,2674.508,3369.302,3471.843,1613.597,2684.23,1951.858,3179.903,3994.599,5071.047,5817.04,7121.639,8686.863,21101.546,24329.43,24406.641,26103.689,27627.499
权益总额,164.886,232.873,404.901,1027.225,1178.296,1417.079,1744.601,2088.948,2862.111,3559.382,3664.659,1812.241,2891.764,2169.441,3410.54,3997.149,5073.597,5819.59,7124.193,8689.417,21104.107,24331.928,24406.641,26103.689,27627.499
贸易应付款项,65.504,127.926,171.581,260.997,214.162,424.46,490.417,863.47,826.433,1190.96,1462.398,960.982,913.988,953.429,997.473,1047.323,1145.113,1133.314,1348.206,1227.129,1599.282,1584.424,1789.796,1625.132,1901.694
其他应付款项及应计费用,89.005,66.88,91.608,138.102,161.196,207.281,340.577,541.865,570.78,646.024,662.48,744.781,836.611,1104.541,696.168,807.885,929.263,1383.118,2173.658,2500.991,4024.662,3648.72,3255.71,4049.422,4093.38
合同负债,,,,,,,,,,,,,,,,,,97.979,293.926,286.134,345.835,252.09,552.537,368.518,369.001
借款,144.114,131,85,40,,,100,607.48,259.97,312.248,838.059,1447.157,400,849.023,566.499,200,,,,,,,,,
可换股债券,,,,,,,,,,,,651.632,645.727,676.421,710.033,567.986,,,,,,,,,
租赁负债,,,,,,,,,,,,,,,,,,,894.321,1049.537,1323.443,2141.667,2541.953,1936.137,2055.154
特许权使用费应付款,,,,,,,,,,,,,,,,,,,,,,,,,34.652
递延所得税负债,,,,,,,1.217,79.141,90.401,85.508,81.269,79.318,75.316,76.41,11.503,6.799,18.323,34.73,45.002,102.738,426.873,518.731,627.231,568.753,514.968
流动负债总额,,,,,,,,2086.843,1864.928,2371.642,3063.067,3276.565,2017.723,2679.141,2471.786,2673.915,2127.81,2777.471,4716.62,5015.057,7703.848,7240.833,7268.476,7585.946,8061.082
非流动负债总额,,,,,,,,161.138,650.831,630.768,601.092,943.204,1107.364,1191.224,1015.132,109.43,119.942,130.244,706.661,889.391,1466.861,2073.758,2532.686,2018.771,2025.486
负债总额,324.232,337.76,362.877,454.206,404.515,748.206,1036.25,2247.981,2515.759,3002.41,3664.159,4219.769,3125.087,3870.365,3486.918,2783.345,2247.752,2907.715,5423.281,5904.448,9170.709,9314.591,9801.162,9604.717,10086.568
