# 泡泡玛特(09992.HK)分部营收 · 单位:人民币千元(RMB'000)
# 口径:严格「当年年报当年列」(方案X · 2026-07 一手重构)· 各维度口径逐年演变,已分组标注,不跨年混用、不采后续年报追溯值
# 【IP】2020-2021 旧口径(自有/独家/非独家),仅列当年报单列的主IP(艺术家IP小计/其他残差此两年留空);2022 起新口径(艺术家IP/授权IP),2022 取 2023 报首次新口径披露(比较列)
#   单IP「空」= 当年报未单列: CRYBABY 2024 才单列(2023 前含在其他)· Twinkle 2025 才单列 · PINO JELLY 仅 2022-23 单列后并回 · Zsiga 仅 2024 单列
# 【区域】2020-2021 年报不披露(海外<10%不呈列);2022-2024 两分法(内地/港澳台及海外);2025 四分法(中国PRC含港澳台/亚太/美洲/欧洲)——2024≠2025口径(港澳台归属不同)
# 【渠道】2020-2021 全公司口径;2022-2024 中国内地口径;2025 中国PRC口径(港澳台并入)· 三口径不可跨年直接比
# 数据源:report/泡泡玛特/{2020..2025}.pdf 各年 MD&A;勾稽自查见 _check_segments.py
=== 按 IP 划分 ===
IP,2020,2021,2022,2023,2024,2025
自主产品合计 Proprietary products,2136196,3977797,4189971,5857957,12721506,36788244
艺术家IP小计 Artist IPs(新口径2022起),,,3639705,4822226,11120848,33406250
  THE MONSTERS (LABUBU家族),204828,304431,263002,367871,3040664,14161064
  SKULLPANDA,39065,595256,851611,1024788,1308262,3539542
  MOLLY,356918,705098,802155,1020305,2093172,2897084
  DIMOO,315248,566735,577948,737666,909561,2776695
  CRYBABY,,,,,1164885,2929006
  HIRONO 小野,,,140768,351201,726525,1735235
  HACIPUPU,,,42797,151758,224288,848021
  Twinkle 星星人,,,,,,2055580
  PINO JELLY,,,76870,158074,,
  Zsiga,,,,,244519,
  Sweet Bean 小甜豆,,161526,147940,203614,,
  PUCKY,300009,182245,,,,
  BOBO&COCO,67415,,,,,
  Bunny,,167883,,,,
  其他艺术家IP Other artist IPs(新口径残差),,,736614,806949,1408972,2464023
授权IP Licensed(2020-21=非独家IP),444352,620463,550266,1035731,1600658,3381994
外采及其他 External procurement,368400,442886,427353,443045,316243,331808
其他 Others,8875,69968,,,,
总计 Total,2513471,4490651,4617324,6301002,13037749,37120052
=== 按区域划分 ===
区域,2020,2021,2022,2023,2024,2025
中国内地(两分法·2022-24),,,4163386,5234901,7972074,
港澳台及海外(两分法·2022-24),,,453938,1066101,5065675,
中国PRC含港澳台(四分法·2025),,,,,,20851717
亚太 Asia Pacific(四分法·2025),,,,,,8011027
美洲 Americas(四分法·2025),,,,,,6806189
欧洲及其他 Europe(四分法·2025),,,,,,1451119
总计 Total,,,4617324,6301002,13037749,37120052
=== 按渠道划分 ===
渠道,2020,2021,2022,2023,2024,2025
零售店(全公司·2020-21),1002054,1673386,,,,
线上(全公司·2020-21),951875,1879189,,,,
机器人商店(全公司·2020-21),328679,469803,,,,
批发及其他(全公司·2020-21),230863,468273,,,,
中国内地-线下(2022-24),,,2069942,3027815,4526277,
中国内地-线上(2022-24),,,1829809,1710469,2697619,
中国内地-批发(2022-24),,,263635,496617,748178,
中国PRC-线下零售(2025),,,,,,10075432
中国PRC-线下机器人(2025),,,,,,1345930
中国PRC-线上(2025),,,,,,8522321
中国PRC-批发(2025),,,,,,908034
=== 线上平台明细(2020-21全公司·2022-24内地·2025中国PRC口径)===
平台,2020,2021,2022,2023,2024,2025
泡泡玛特抽盒机 Pop Draw,466364,898014,954678,729280,1113741,3423456
天猫旗舰店 Tmall,406110,598865,462394,321966,627788,1785332
京东 JD,36173,143229,137885,,,
抖音 DouYin,,,,283318,601231,1589842
其他线上 Other online,43228,239081,274852,375905,354859,1723691
=== 龙头 IP 占比时间序列 (%) ===
指标,2020,2021,2022,2023,2024,2025
第一大IP,MOLLY 14.2%,MOLLY 15.7%,SKULLPANDA 18.4%,SKULLPANDA 16.3%,THE MONSTERS 23.3%,THE MONSTERS 38.1%
自主产品占比 %,85.0,88.6,90.8,93.0,97.6,99.1
海外收入占比 %,,,9.8,16.9,38.9,43.8
