"# 单位: 人民币千元 (RMB'000), 中报 H1 序列 (半年口径), 泡泡玛特(09992.HK)"
科目,2020H1,2021H1,2022H1,2023H1,2024H1,2025H1
收益 Revenue,817791,1772577,2358818,2813812,4557831,13876276
销售成本 Cost of sales,-284352,-655512,-988411,-1115452,-1638726,-4115212
毛利 Gross profit,533439,1117065,1370407,1698360,2919105,9761064
经销及销售开支 Distribution and selling expenses,-223030,-419780,-693230,-878319,-1353206,-3192590
一般及行政开支 G&A expenses,-125397,-239673,-322679,-331252,-434410,-770405
金融资产减值(-)/拨回(+),977,-3296,80,-95,-2589,-746
其他收入 Other income,31369,25425,24335,37433,31586,67232
其他收益/(亏损)-净,-8990,6946,67144,11635,-34069,179186
经营溢利 Operating profit,208368,486687,446057,537762,1126417,6043741
财务收入 Finance income,699,13888,22992,79613,105993,93870
财务开支 Finance expenses,-4624,-8160,-15981,-16174,-22218,-28364
可换股优先股公平值变动,-6436,,,,,
权益法投资溢利,-1125,4140,4868,17346,18246,47625
除所得税前溢利 Profit before income tax,196882,496555,457936,618547,1228438,6156872
所得税开支 Income tax expense,-55598,-137757,-124991,-141305,-264296,-1475159
期内溢利 Profit for the period,141284,358798,332945,477242,964142,4681713
归母溢利 Attributable to parent,141358,358742,332820,476575,921333,4574368
非控股权益溢利 Non-controlling interests,-74,56,125,667,42809,107345
每股基本盈利(人民币分) Basic EPS RMB cents,122,26.04,24.18,35.46,69.49,344.17
