"# 单位: 人民币千元 (RMB'000), 来源: 招股书附录一会计师报告(2017-2019,经审计) + 一手年报 PDF(2020-2025), 泡泡玛特(09992.HK)"
科目,2017,2018,2019,2020,2021,2022,2023,2024,2025
收益 Revenue,158074,514511,1683434,2513471,4490651,4617324,6301002,13037749,37120052
销售成本 Cost of sales,-82820,-216486,-593100,-919363,-1732027,-1962781,-2436931,-4329984,-10355136
毛利 Gross profit,75254,298025,1090334,1594108,2758624,2654543,3864071,8707765,26764916
经销及销售开支 Distribution and selling expenses,-51047,-125721,-363819,-630069,-1106078,-1470753,-2004706,-3650464,-8082433
一般及行政开支 G&A expenses,-20897,-43599,-142468,-279967,-557509,-686280,-707300,-947093,-1770114
金融资产减值(-)/拨回(+) Impairment of financial assets,-344,-270,-3086,398,-1435,-4500,-745,-3446,-11805
其他收入 Other income,1362,5484,17013,45420,54425,45572,74900,84288,149921
其他收益/(亏损)-净 Other gains/(losses)-net,51,-305,820,-11107,1785,44798,4426,-36778,-160011
经营溢利 Operating profit,4379,133614,598794,718783,1149812,583380,1230646,4154272,16890474
财务收入 Finance income,9,142,424,1953,28609,67682,184217,212335,158966
财务开支 Finance expenses,-1764,-2455,-5813,-10946,-21246,-38579,-32337,-48983,-82471
可换股优先股公平值变动 FVC of convertible pref shares,,,,-6260,,,,,
权益法投资溢利 Share of profit from equity method,-351,959,4970,3873,14016,27046,33229,48188,69653
除所得税前溢利 Profit before income tax,2273,132260,598375,707403,1171191,639529,1415755,4365812,17036622
所得税开支 Income tax expense,-704,-32739,-147257,-184091,-316624,-163728,-326984,-1057467,-4024580
年内溢利 Profit for the year,1569,99521,451118,523312,854567,475801,1088771,3308345,13012042
归母溢利 Attributable to parent,1569,99521,451118,523505,854339,475660,1082344,3125473,12775689
非控股权益溢利 Non-controlling interests,0,0,0,-193,228,141,6427,182872,236353
经调整净利(Non-IFRS) Adjusted net profit,1671,100303,469123,591000,1001635,573540,1190519,3403162,13083646
每股基本盈利(元) Basic EPS RMB,0.01,0.86,3.91,0.44,0.62,0.35,0.79,2.28,9.32
