"# 单位: 人民币千元 (RMB'000), 中报 H1 序列 (半年口径), 泡泡玛特(09992.HK)"
科目,2020H1,2021H1,2022H1,2023H1,2024H1,2025H1
经营所得现金 Cash generated from operations,219855,554706,523391,1113479,1908029,6975420
已收利息,699,13888,1811,76715,191283,191679
已付所得税,-98363,-126937,-151624,-97857,-194041,-1189626
经营活动所得现金净额 Net cash from operating,122191,441657,373578,1092337,1905271,5977473
购买 PPE,-56700,-114350,-135860,-186617,-157858,-353623
购买无形资产,-16827,-12460,-26253,-27462,-28587,-20900
购买 FVTPL 金融资产,-225000,-1017806,-1084688,-861298,-946588,-3092500
存入定期存款,,,,,-3534913,-3946911
"定期存款净变(存入-赎回, 2021-2023 中报合并列示)",,-4263666,-3985022,289998,,
赎回定期存款,,,,,4027140,5470472
处置 FVTPL 所得款项,275000,882445,1010949,867141,956534,3106184
处置 PPE/无形/使用权资产所得,0,15930,4951,272,2240,5373
按公平值计入损益的金融资产投资收入(旧格式),1102,11500,6021,,,
于一家联营公司的投资,-27424,,,,,
收到合营企业股息,,,,,15623,
收购附属公司现金流入净额,1590,,,,,65995
投资活动净额 Net cash from investing,-48259,-4498407,-4209902,82034,333591,1234090
租赁负债付款,-56495,-94201,-139351,-192416,-249860,-263592
已付股息,0,-26797,-221202,-118995,-373025,-1083288
股份回购付款,,,-120008,-246876,-78031,
偿还借款,,,,,-15058,
非控股权益注资,,,,,,33663
收购附属公司非控股权益,,,,,,-46760
已付非控股股东股息,,,,,,-44974
上市开支付款,-119,,,,,
股东注资,398375,,,,,
视作分派予当时股东,-4566,,,,,
发行可换股可赎回优先股,86561,,,,,
融资活动净额 Net cash from financing,423756,-120998,-480561,-558287,-715974,-1404951
现金及等价物增加/(减少)净额,497688,-4177748,-4316885,616084,1522888,5806612
期初现金及等价物,324614,5680235,5264710,685314,2077927,6109017
汇兑损益,-616,1135,127555,171984,7859,7065
期末现金及等价物,821686,1503622,1075380,1473382,3608674,11922694
