"# 单位: 人民币千元 (RMB'000), 来源: 招股书附录一会计师报告(2017-2019,经审计) + 一手年报 PDF(2020-2025), 泡泡玛特(09992.HK)"
科目,2017,2018,2019,2020,2021,2022,2023,2024,2025
经营所得现金 Cash generated from operations,15512,187644,603437,899881,1042075,1133500,2143208,5415453,14704780
已收利息 Interest received,10,143,424,1953,28609,1656,109457,227247,237628
已付所得税 Income tax paid,-15,-12787,-100972,-198476,-291587,-244134,-262069,-688480,-4077256
经营活动所得现金净额 Net cash from operating,15507,175000,502889,703358,779097,891022,1990596,4954220,10865152
购买 FVTPL 金融资产 Purchases of FVTPL assets,-37000,-140000,-255000,-230500,-1272757,-1515016,-812601,-4351977,-11344669
购买物业厂房设备 Purchases of PPE,-11555,-35470,-104951,-175984,-287502,-266132,-324179,-372668,-985250
购买无形资产 Purchases of intangibles,-2735,-15552,-12551,-47608,-46246,-81491,-68287,-144022,-186287
处置 FVTPL 金融资产所得 Proceeds from FVTPL,42328,90512,256981,281653,950988,1443524,810236,4386142,11486858
存入定期存款 Placement of term deposits,,,,,,-4290194,-8528257,-4945685,-5593675
赎回定期存款 Redemption of term deposits,,,,,,,9140811,5413742,5576234
其他投资活动净流入/(流出) Other investing net,78,0,-2746,-45596,7513,10902,15264,22475,57893
投资活动所用/(所得)现金净额 Net cash from investing,-8884,-100510,-118267,-216935,-648002,-4698408,233940,8957,-988896
租赁负债付款 Payment of lease liabilities,-17602,-30985,-75773,-147995,-220126,-323041,-384999,-505104,-608288
已付股息 Dividends paid,0,0,-80000,-377580,-208834,-220086,-121609,-378015,-1083288
回购自身股份 Purchase of own shares,,,,,,-634310,-333709,-78031,
上市所得款项(净) IPO net proceeds,,,,4910712,,,,,
其他融资活动净流出/(流入) Other financing net,0,39703,189,485237,-6867,,-1240,2647,-75984
融资活动所得/(所用)现金净额 Net cash from financing,-17602,8718,-155584,4870374,-435827,-1177437,-841557,-958503,-1767352
现金及等价物增加/(减少)净额 Net increase in cash,-10979,83208,229038,5356797,-304732,-4984823,1382979,4004674,8108904
年初现金及等价物 Cash beginning,24571,13592,96802,324614,5680235,5264710,685314,2077927,6109017
汇兑损益 Exchange gains/(losses) on cash,0,2,-1226,-1176,-110793,405427,9634,26416,-442834
年末现金及等价物 Cash end,13592,96802,324614,5680235,5264710,685314,2077927,6109017,13775087
