"# 单位: 人民币千元 (RMB'000), 中报 H1 序列 (半年口径), 泡泡玛特(09992.HK)"
科目,2020H1,2021H1,2022H1,2023H1,2024H1,2025H1
物业厂房设备 PPE,135222,270221,403986,499814,627083,941575
无形资产 Intangible assets,85271,90206,119378,122354,123135,207473
使用权资产 Right-of-use assets,209420,380204,640044,630452,789368,1366773
权益法投资 Equity method investments,45979,54205,67969,102225,112928,107024
FVTPL金融资产(非流动),,83974,471235,462037,429972,421934
预付款项及其他非流动资产,13697,52342,14676,79430,122746,127886
递延所得税资产,22344,25881,30633,89971,96906,333432
非流动资产合计,511933,957033,1747921,1986283,2302138,3506097
贸易应收款,41374,135390,132442,208911,263722,971579
其他应收款 (独立列示),69014,117509,197104,174190,,
存货,224050,315962,957448,758774,916686,2273691
预付款项及其他流动资产,117569,304613,374916,364863,497621,748214
FVTPL金融资产(流动),,39959,13926,10701,7409,11393
受限现金(流动),3548,3230,3494,22011,19954,79994
定期存款(3-12个月),,4263666,4087243,4066222,3401275,1843017
现金及等价物,821686,1503622,1075380,1473382,3608674,11922694
流动资产合计,1277241,6683951,6841953,7079054,8715341,17850582
总资产,1789174,7640984,8589874,9065337,11017479,21356679
股本,86,923,920,891,882,882
股份奖励计划持股,,-16,-15,-13,-11,-8
其他储备,675439,5014059,4984732,4556606,4159062,3213856
保留盈利,564426,1298094,2126511,2745926,4239103,10969312
归母权益,1239951,6313060,7112148,7303410,8399036,14184042
非控股权益,1828,1617,2035,2568,53621,245532
总权益,1241779,6314677,7114183,7305978,8452657,14429574
应付授权费(非流动),36132,24694,28160,12223,14188,7647
租赁负债(非流动),100134,209447,421409,385774,466001,996260
递延所得税负债,,,,15667,16290,
非流动负债合计,136266,234141,449569,413664,496479,1003907
贸易应付款,77191,222935,308470,349477,555137,1627664
应付授权费(流动),22699,58831,106465,160710,273026,546245
其他应付款,105982,399279,196189,351438,535472,1445057
合约负债(预收),58343,156428,93331,92531,151536,855216
借款(流动),,,,,,
租赁负债(流动),111052,181412,256051,292116,356175,414939
即期所得税负债,35862,73281,65616,99423,196997,1034077
流动负债合计,411129,1092166,1026122,1345695,2068343,5923198
总负债,547395,1326307,1475691,1759359,2564822,6927105
总权益及负债,1789174,7640984,8589874,9065337,11017479,21356679
