"# 单位: 人民币千元 (RMB'000), 来源: 招股书附录一会计师报告(2017-2019,经审计) + 一手年报 PDF(2020-2025), 泡泡玛特(09992.HK)"
科目,2017,2018,2019,2020,2021,2022,2023,2024,2025
物业厂房设备 PPE,12096,35874,103559,238325,366281,448884,653278,739378,1417556
无形资产 Intangible assets,2580,17641,18620,92731,134032,146507,115888,135400,208665
使用权资产 Right-of-use assets,35078,70816,178938,287799,609517,701627,726053,927558,2791171
权益法投资 Equity method investments,10839,11798,22101,50380,61539,83333,107001,136783,128124
FVTPL金融资产(非流动) Financial assets FVTPL non-current,,,,16900,328688,459034,471769,411880,356906
预付款项及其他非流动资产 Prepayments non-current,316,3903,10443,6177,30727,44165,127989,136563,274473
受限现金(非流动) Restricted cash non-current,,,,,,,,,256265
递延所得税资产 Deferred income tax assets,15569,7766,16219,23087,35553,80977,83416,147029,1753551
非流动资产合计 Total non-current assets,76478,147798,349880,715399,1566337,1964527,2285394,2634591,7186711
贸易应收款 Trade receivables,5489,14295,45636,78334,171334,194369,321337,477723,921240
其他应收款 Other receivables (独立列示),11279,23759,59696,90781,154939,187831,,,
存货 Inventories,15540,29061,96302,225369,788829,866985,904708,1524521,5472839
预付款项及其他流动资产 Prepayments other current,19901,40777,140353,177918,353580,298722,467561,576594,1283154
FVTPL金融资产(流动) Financial assets FVTPL current,,50303,50000,,20544,12829,8415,11434,9743
受限现金(流动) Restricted cash current,,,,3263,3353,13265,18159,25649,2658
定期存款(3-12个月) Term deposits 3-12M,,,,,,4356220,3885362,3511143,3449922
现金及等价物 Cash and cash equivalents,13592,96802,324614,5680235,5264710,685314,2077927,6109017,13775087
流动资产合计 Total current assets,65801,254997,716601,6255900,6757289,6615535,7683469,12236081,24914643
总资产 Total assets,142279,402795,1066481,6971299,8323626,8580062,9968863,14870672,32101354
股本 Share capital,0,0,82,923,923,908,885,882,882
股份奖励计划持股 Shares held for share award,,,,-16,-15,-14,-12,-9,-7
其他储备 Other reserves,75889,126800,169631,5189115,5023583,4693043,4438448,4280527,3123058
保留盈利 Retained earnings,2935,92030,423068,939352,1793691,2269351,3330606,6402105,19153802
归母权益 Equity attributable to parent,78824,218830,592781,6129374,6818182,6963288,7769927,10683505,22277735
非控股权益 Non-controlling interests,0,0,0,1628,1824,2037,10455,201134,374632
总权益 Total equity,78824,218830,592781,6131002,6820006,6965325,7780382,10884639,22652367
应付授权费(非流动) License fees payables non-current,0,3804,1318,27934,46371,21306,14807,14536,5525
租赁负债(非流动) Lease liabilities non-current,19436,35287,90812,147050,364543,447564,425954,601469,2275301
递延所得税负债 Deferred income tax liabilities,,,,,,15120,14419,,
非流动负债合计 Total non-current liabilities,19436,39091,92130,174984,410914,483990,455180,616005,2280826
贸易应付款 Trade payables,6359,29256,49406,115804,266098,259006,444944,1010109,1858216
应付授权费(流动) License fees payables current,773,3377,15177,58880,86004,133517,179393,341835,437247
其他应付款 Other payables,16599,49746,122050,202297,266902,308791,514841,904274,1777317
合约负债(预收) Contract liabilities,695,10039,35167,83941,119624,88797,112143,188577,393119
借款(流动) Borrowing current,,,,,,,15058,,
租赁负债(流动) Lease liabilities current,19296,40011,92586,144724,256909,293567,351799,363092,586274
即期所得税负债 Current income tax liabilities,297,12445,67184,59667,97169,47069,115123,562141,2115988
流动负债合计 Total current liabilities,44019,144874,381570,665313,1092706,1130747,1733301,3370028,7168161
总负债 Total liabilities,63455,183965,473700,840297,1503620,1614737,2188481,3986033,9448987
总权益及负债 Total equity and liabilities,142279,402795,1066481,6971299,8323626,8580062,9968863,14870672,32101354
